THEYSURRENDER_SETUP;When a wargoal is enforced;Wenn ein Kriegsziel durchgesetzt wird;Wenn ein Kriegsziel durchgesetzt wird;;;;;;;;;;x;;x
THEYSURRENDER_HEADER;$foreign_minister$ reports;$foreign_minister$ berichtet;$foreign_minister$ berichtet;;;;;;;;;;x;;x
THEYSURRENDER_1;$AGRESSOR$ enforced;$AGRESSOR$ durchgesetzt;$AGRESSOR$ siegreich;;;;;;;;;;x;;x
THEYSURRENDER_2;$WARGOAL$;$WARGOAL$;$WARGOAL$;;;;;;;;;;x;;x
THEYSURRENDER_3;on $TARGET$;gegen $TARGET$;gegen $TARGET$;;;;;;;;;;x;;x
THEYSURRENDER_4;*;*;*;;;;;;;;;;x;;x
THEYSURRENDER_5;*;*;*;;;;;;;;;;x;;x
THEYSURRENDER_6;*;*;*;;;;;;;;;;x;;x
THEYSURRENDER_LOG;$TARGET$ surrendered;$TARGET$ kapitulierte;$TARGET$ kapitulierte;;;;;;;;;;x;;x
THEYSURRENDER_BTN1;OK;OK;OK;;Aceptar;;;;;;;;x;;x
THEYSURRENDER_BTN2;OK;OK;OK;;Aceptar;;;;;;;;x;;x
THEYSURRENDER_BTN3;GOTO;GEHE ZU;GEHE ZU;;Ir a;;;;;;;;x;;x
THEYSURRENDER_MAP;Surrender!;Kapitulation!;Kapitulation!;;;;;;;;;;x;;x
THEYSURRENDERUS_SETUP;When we enforce a wargoal;Wenn wir ein Kriegsziel durchsetzen;Wenn wir ein Kriegsziel durchsetzen;;;;;;;;;;x;;x
THEYSURRENDERUS_HEADER;$foreign_minister$ reports;$foreign_minister$ berichtet;$foreign_minister$ berichtet;;;;;;;;;;x;;x
THEYSURRENDERUS_1;We enforced;Wir setzten;Wir setzten;;;;;;;;;;x;;x
THEYSURRENDERUS_2;$WARGOAL$;$WARGOAL$;$WARGOAL$;;;;;;;;;;x;;x
THEYSURRENDERUS_3;on $TARGET$;gegen $TARGET$ durch;gegen $TARGET$ durch;;;;;;;;;;x;;x
THEYSURRENDERUS_4;*;*;*;;;;;;;;;;x;;x
THEYSURRENDERUS_5;*;*;*;;;;;;;;;;x;;x
THEYSURRENDERUS_6;*;*;*;;;;;;;;;;x;;x
THEYSURRENDERUS_LOG;$TARGET$ surrendered to us;$TARGET$ hat vor uns kapituliert;$TARGET$ hat vor uns kapituliert;;;;;;;;;;x;;x
THEYSURRENDERUS_BTN1;OK;OK;OK;;Aceptar;;;;;;;;x;;x
THEYSURRENDERUS_BTN2;OK;OK;OK;;Aceptar;;;;;;;;x;;x
THEYSURRENDERUS_BTN3;GOTO;GEHE ZU;GEHE ZU;;Ir a;;;;;;;;x;;x
THEYSURRENDERUS_MAP;Surrender!;Kapitulation!;Kapitulation!;;;;;;;;;;x;;x
WESURRENDER_SETUP;When a wargoal is enforced on us;Wenn ein Kriegsziel gegen uns durchgesetzt wird;Wenn ein Kriegsziel gegen uns durchgesetzt wird;;;;;;;;;;x;;x
WESURRENDER_HEADER;$foreign_minister$ reports;$foreign_minister$ berichtet;$foreign_minister$ berichtet;;;;;;;;;;x;;x
WESURRENDER_1;$AGRESSOR$ enforced;$AGRESSOR$ setzte;$AGRESSOR$ setzte;;;;;;;;;;x;;x
WESURRENDER_2;$WARGOAL$;$WARGOAL$;$WARGOAL$;;;;;;;;;;x;;x
WESURRENDER_3;on us;gegen uns durch;gegen uns durch;;;;;;;;;;x;;x
WESURRENDER_4;*;*;*;;;;;;;;;;x;;x
WESURRENDER_5;*;*;*;;;;;;;;;;x;;x
WESURRENDER_6;*;*;*;;;;;;;;;;x;;x
WESURRENDER_LOG;We surrendered to $AGRESSOR$;Wir kapitulierten vor $AGRESSOR$;Wir kapitulierten vor $AGRESSOR$;;;;;;;;;;x;;x
WESURRENDER_BTN1;OK;OK;OK;;Aceptar;;;;;;;;x;;x
WESURRENDER_BTN2;OK;OK;OK;;Aceptar;;;;;;;;x;;x
WESURRENDER_BTN3;GOTO;GEHE ZU;GEHE ZU;;Ir a;;;;;;;;x;;x
WESURRENDER_MAP;Surrender!;Kapitulation!;Kapitulation!;;;;;;;;;;x;;x
SURRENDER_PROGRESS_ATLEAST_TRIGGER;即$COUNTRY$劬 surrender progress at least 即$VALUE$%劬.\n;即$COUNTRY$劬-Kapitulationsfortschritt mindestens 即$VALUE$%劬.\n;即$COUNTRY$劬-Kapitulationsfortschritt mindestens 即$VALUE$%劬.\n;;;;;;;;;;;x;x
SURRENDER_PROGRESS_NOT_TRIGGER;即$COUNTRY$劬 surrender progress not 即$VALUE$%劬.\n;即$COUNTRY$劬-Kapitulationsfortschritt nicht 即$VALUE$%劬.\n;即$COUNTRY$劬-Kapitulationsfortschritt nicht 即$VALUE$%劬.\n;;;;;;;;;;;x;x
great_patrotic_war;Great Patriotic War;Gro絽r Vaterl鄚discher Krieg;Gro絽r Vaterl鄚discher Krieg;;;;;;;;;;x;x;x
fractured_government;Fractured government;Gespaltene Regierung;Gespaltene Regierung;;;;;;;;;;x;;x
