black_sea_region;Black Sea;Mer Noire;Schwarzes Meer;;Mar Negro;;;;;;;;;;
baltic_sea_region;Baltic Sea;Mer Baltique;Ostsee;;Mar Báltico;;;;;;;;;;
kolabay;Kola;Kola;Kola;;Kola;;;;;;;;;;
mediterranean_region;Mediterranean Sea;Mer Méditerranée;Mittelmeer;;Mar Mediterráneo;;;;;;;;;;
belgium_ardennes;The Ardennes;Les Ardennes;Ardennen;;Las Ardenas;;;;;;;;;;
belgium_north;Belgium - North;Belgique - Nord;Belgien - Nord;;Bélgica - Norte;;;;;;;;;;
belgium_south;Belgium - South ;Belgique - Sud;Belgien - Süd;;Bélgica - Sur ;;;;;;;;;;
belgium_west;Belgium - West;Belgique - Ouest;Belgien - West;;Bélgica - Oeste;;;;;;;;;;
denmark_south_jylland;South Jutland;Jutland-du-Sud;Südjütland;;Jutlandia del sur;;;;;;;;;;
denmark_north_jylland;North Jutland;Jutland-du-Nord;Nordjütland;;Jutlandia del norte;;;;;;;;;;
denmark_fyn;Fyn;Fyn;Fünen;;Fionia;;;;;;;;;;
denmark_sjaelland;Zealand;Zealand;Seeland;;Zelanda;;;;;;;;;;
finland_region;Finland;Finlande;Finnland;;Finlandia;;;;;;;;;;
france_alsace;Alsace;Alsace;Elsass;;Alsacia;;;;;;;;;;
france_north_maginot;Northern Maginot Line;Ligne Maginot du Nord-Est;Nördliche Maginotlinie;;Norte de la Línea Maginot;;;;;;;;;;
france_verdun;Verdun;Verdun;Verdun;;Verdún;;;;;;;;;;
france_north_east;France - North East;France - Nord-Est;Frankreich - Nordost;;Francia - Noreste;;;;;;;;;;
france_south_maginot;Southern Maginot Line;Ligne Maginot Sud;Südliche Maginotlinie;;Sur de la Línea Maginot;;;;;;;;;;
france_reims;Rheims;Reims;Reims;;Rheims;;;;;;;;;;
france_noyon;Noyon;Noyon;Noyon;;Noyon;;;;;;;;;;
france_calais;Calais;Calais;Calais;;Calais;;;;;;;;;;
france_lille;Lille;Lille;Lille;;Lille;;;;;;;;;;
france_clefmont;Clefmont;Clefmont;Clefmont;;Clefmont;;;;;;;;;;
france_langres;Langres;Langres;Langres;;Langres;;;;;;;;;;
france_ronchamp;Ronchamp;Ronchamp;Ronchamp;;Ronchamp;;;;;;;;;;
france_besancon;Besancon;Besançon;Besancon;;Besançon;;;;;;;;;;
france_poligny;Poligny;Poligny;Poligny;;Poligny;;;;;;;;;;
france_mondane;Mondane;Mondane;Mondane;;Mondane;;;;;;;;;;
france_briancon;Briancon;Briançon;Briancon;;Briançon;;;;;;;;;;
france_nice;Nice;Nice;Nice;;Niza;;;;;;;;;;
france_toulon;Toulon;Toulon;Toulon;;Tolón;;;;;;;;;;
france_marseille;Marseille;Marseille;Marseille;;Marsella;;;;;;;;;;
france_grenoble;Grenoble;Grenoble;Grenoble;;Grenoble;;;;;;;;;;
france_dieppe;Dieppe;Dieppe;Dieppe;;Dieppe;;;;;;;;;;
france_dreux;Dreux;Dreux;Dreux;;Dreux;;;;;;;;;;
france_caen;Caen;Caen;Caen;;Caen;;;;;;;;;;
france_cherbourg;Cherbourg;Cherbourg;Cherbourg;;Cherburgo;;;;;;;;;;
france_argentan;Argentan;Argentan;Argentan;;Argentan;;;;;;;;;;
france_rennes;Rennes;Rennes;Rennes;;Rennes;;;;;;;;;;
france_mauron;Mauron;Mauron;Mauron;;Mauron;;;;;;;;;;
france_brest;Brest;Brest;Brest;;Brest;;;;;;;;;;
france_lucon;Lucon;Lucon;Lucon;;Lucon;;;;;;;;;;
germany_west_ruhr;Rhur - West;Rhur - Ouest;Ruhrgebiet - West;;Ruhr - Oeste;;;;;;;;;;
germany_south_west_ruhr;Rhur - South West;Rhur - Sud-Ouest;Ruhrgebiet - Südwest;;Ruhr - Sureste;;;;;;;;;;
germany_saar;Saarland;Saare;Saarland;;Sarre;;;;;;;;;;
germany_lorraine;Lorraine;Lorraine;Lorraine;;Lorena;;;;;;;;;;
germany_baden;Baden;Baden;Baden;;Baden;;;;;;;;;;
germany_holstein;Holstein;Holstein;Holstein;;Holstein;;;;;;;;;;
germany_mecklenburg;Mecklingburg;Mecklengburg;Mecklenburg;;Mecklingburg;;;;;;;;;;
