MODEL_TAG;Model;Model;Model;;Model;;;;;;;;;x
AFG_light_armor_brigade_0;CV-33;CV-33;CV-33;;CV-33;;;;;;;;;x
AFG_light_armor_brigade_1;LT vs.35;LT vs.35;LT vs.35;;LT vs.35;;;;;;;;;x
AFG_light_armor_brigade_2;BT-7;BT-7;BT-7;;BT-7;;;;;;;;;x
AFG_armor_brigade_0;T-18;T-18;T-18;;T-18;;;;;;;;;x
AFG_armor_brigade_1;T-28;T-28;T-28;;T-28;;;;;;;;;x
AFG_armor_brigade_2;BT-7M;BT-7M;BT-7M;;BT-7M;;;;;;;;;x
AFG_armor_brigade_3;T-34 m.41;T-34 m.41;T-34 m.41;;T-34 m.41;;;;;;;;;x
AFG_armor_brigade_4;T-34 m.44;T-34 m.44;T-34 m.44;;T-34 m.44;;;;;;;;;x
AFG_interceptor_0;Hawker Hind;Hawker Hind;Hawker Hind;;Hawker Hind;;;;;;;;;x
AFG_cas_0;Breda Ba.25;Breda Ba.25;Breda Ba.25;;Breda Ba.25;;;;;;;;;x
ALB_light_armor_brigade_0;CV-35;CV-35;CV-35;;CV-35;;;;;;;;;x
ALB_light_armor_brigade_1;L.3/38;L.3/38;L.3/38;;L.3/38;;;;;;;;;x
ALB_light_armor_brigade_2;L.6/40;L.6/40;L.6/40;;L.6/40;;;;;;;;;x
ALB_armor_brigade_0;Fiat 2000;Fiat 2000;Fiat 2000;;Fiat 2000;;;;;;;;;x
ALB_armor_brigade_1;M.11/39;M.11/39;M.11/39;;M.11/39;;;;;;;;;x
ALB_armor_brigade_2;M.13/40;M.13/40;M.13/40;;M.13/40;;;;;;;;;x
ALB_armor_brigade_3;M.15/42;M.15/42;M.15/42;;M.15/42;;;;;;;;;x
ALB_armor_brigade_4;M.18/43 Sahariano;M.18/43 Sahariano;M.18/43 Sahariano;;M.18/43 Sahariano;;;;;;;;;x
ARG_light_armor_brigade_0;M1A2;M1A2;M1A2;;M1A2;;;;;;;;;x
ARG_light_armor_brigade_1;L-60S;L-60S;L-60S;;L-60S;;;;;;;;;x
ARG_light_armor_brigade_2;LT vz. 38;LT vz. 38;LT vz. 38;;LT vz. 38;;;;;;;;;x
ARG_armor_brigade_0;Renault FT17;Renault FT17;Renault FT17;;Renault FT17;;;;;;;;;x
ARG_armor_brigade_1;T4E1;T4E1;T4E1;;T4E1;;;;;;;;;x
ARG_armor_brigade_2;Nahuel D.L.43;Nahuel D.L.43;Nahuel D.L.43;;Nahuel D.L.43;;;;;;;;;x
ARG_armor_brigade_3;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;;M4A1 Sherman;;;;;;;;;x
ARG_armor_brigade_4;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;;M4/E8 Sherman;;;;;;;;;x
ARG_armor_brigade_5;M26 Pershing;M26 Pershing;M26 Pershing;;M26 Pershing;;;;;;;;;x
ARG_multi_role_3;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;;FMA I.Ae.33 Pulqui II;;;;;;;;;x
ARG_interceptor_0;Curtiss Hawk III;Curtiss Hawk III;Curtiss Hawk III;;Curtiss Hawk III;;;;;;;;;x
ARG_interceptor_1;Curtiss Hawk 75H;Curtiss Hawk 75H;Curtiss Hawk 75H;;Curtiss Hawk 75H;;;;;;;;;x
ARG_interceptor_2;FMA I.Ae-22 DL;FMA I.Ae-22 DL;FMA I.Ae-22 DL;;FMA I.Ae-22 DL;;;;;;;;;x
ARG_interceptor_6;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;;FMA I.Ae.27 Pulqui;;;;;;;;;x
ARG_naval_bomber_0;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;Consolidated P2Y-3A Ranger;;Consolidated P2Y-3A Ranger;;;;;;;;;x
ARG_cas_0;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;;FMA Ae-MB2 Bombi;;;;;;;;;x
ARG_transport_plane_0;Douglas C-32;Douglas C-32;Douglas C-32;;Douglas C-32;;;;;;;;;x
ARG_light_cruiser_1;La Argentina-class;La Argentina-class;La Argentina-class;;La Argentina-class;;;;;;;;;x
ARG_heavy_cruiser_0;Veinticinco de Mayo-class;Veinticinco de Mayo-class;Veinticinco de Mayo-class;;Veinticinco de Mayo-class;;;;;;;;;x
ARG_destroyer_0;Churucca-class;Churucca-class;Churucca-class;;Churucca-class;;;;;;;;;x
ARG_destroyer_1;Buenos Aires-class;Buenos Aires-class;Buenos Aires-class;;Buenos Aires-class;;;;;;;;;x
ARG_submarine_0;Santa Fe-class;Santa Fe-class;Santa Fe-class;;Santa Fe-class;;;;;;;;;x
AST_light_armor_brigade_0;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;;Carden-Loyd M1933;;;;;;;;;x
