GAL_Axis_1;Central Powers control Istanbul;;;;;;;;;;;;;;
GAL_Axis_2;Central Powers control Smyrna;;;;;;;;;;;;;;
GAL_Axis_3;Central Powers control Alexandria;;;;;;;;;;;;;;
GAL_Axis_4;Central Powers control Rhodes;;;;;;;;;;;;;;
GAL_Allies_1;Entente control Istanbul;;;;;;;;;;;;;;
GAL_Allies_2;Entente control Smyrna;;;;;;;;;;;;;;
GAL_Allies_3;Entente control Gallipoli;;;;;;;;;;;;;;
GAL_Allies_4;Entente control Üsküdar;;;;;;;;;;;;;;
JUT_Axis_1;Central Powers control Peterhead;;;;;;;;;;;;;;
JUT_Allies_1;Entente control Wilhelmshaven;;;;;;;;;;;;;;
PB_Comintern_1;Bolsheviks control Warsaw;;;;;;;;;;;;;;
PB_Comintern_2;Bolsheviks control Brest Litovsk;;;;;;;;;;;;;;
PB_Comintern_3;Bolsheviks control Minsk;;;;;;;;;;;;;;
PB_Comintern_4;Bolsheviks control Lwow;;;;;;;;;;;;;;
PB_Comintern_5;Bolsheviks control Kiev;;;;;;;;;;;;;;
PB_POL_1;Poland control Warsaw;;;;;;;;;;;;;;
PB_POL_2;Poland control Brest Litovsk;;;;;;;;;;;;;;
PB_POL_3;Poland control Lodz;;;;;;;;;;;;;;
PB_POL_4;Poland control Lwow;;;;;;;;;;;;;;
PB_POL_5;Poland control Krakow;;;;;;;;;;;;;;
ENDGAMEHEADER_polish_bolshevik_SOV_WIN;Victory!;;Sieg!;;;;;;;;;;x;;
ENDGAMEHEADER_polish_bolshevik_SOV_LOSS;Disaster!;;Desaster!;;;;;;;;;;x;;
ENDGAMEHEADER_polish_bolshevik_POL_WIN;Victory!;;Sieg!;;;;;;;;;;x;;
ENDGAMEHEADER_polish_bolshevik_POL_LOSS;Disaster!;;Desaster!;;;;;;;;;;x;;
ENDGAMEBODY_polish_bolshevik_SOV_WIN;We have crossed the Polish bridge and this great victory will ensure we can now spread Communism to other European countries;;;;;;;;;;;;x;;
ENDGAMEBODY_polish_bolshevik_SOV_LOSS;We will have to leave Europe untill later and just focus on defeating the remaining White Russian army.;;;;;;;;;;;;x;;
ENDGAMEBODY_polish_bolshevik_POL_WIN;Our victory over the Bolshevik forces has given us the security of the borders we wanted;;;;;;;;;;;;x;;
ENDGAMEBODY_polish_bolshevik_POL_LOSS;Our defeat has jeopardised our countries very existence!;;;;;;;;;;x;;;;
ENDGAMEBUTTON_polish_bolshevik_SOV_WIN;Well done Comrade!;;;;;;;;;;;;x;;
ENDGAMEBUTTON_polish_bolshevik_SOV_LOSS;Enjoy the salt mines!;;;;;;;;;;;;x;;
ENDGAMEBUTTON_polish_bolshevik_POL_WIN;Well done!;;;;;;;;;;;;x;;
ENDGAMEBUTTON_polish_bolshevik_POL_LOSS;Better luck next time!;;;;;;;;;;;;x;;
SCENARIO_PolishBolshevikWar;Polish Bolshevik War;;;;;;;;;;;;x;;,,
SCENARIO_PolishBolshevikWar_DESC;Jozef Pilsudski Chief of State for Poland felt the time was right to expand Polish borders as far east as feasible.  Lenin meanwhile saw Poland as the bridge the Red Army had to cross to assist other communist movements and bring about other European revolutions.  By 1919 Polish forces had taken control of much of Western Ukraine.,The West Ukrainian People's Republic had tried unsuccessfully to create a Ukrainian state that both Poles and Ukrainians laid claim.  At the same time in the Russian part of Ukraine Symon Petliura tried to defend and strengthen the Ukrainian People's Republic. As the Bolsheviks began to gain the upper hand in the Russian Civil War they started to advance towards the disputed Ukrainian territories.,By the end of 1919 a clear front had formed and Ukraine decided to ally with Poland. Border skirmishes escalated into open warfare following Poland's major incursion further east into Ukraine in April 1920.;;;;;;;;;;;;;;
EVT1914_2008100_DESC;With the Polish attack in April 1920 large elements of Galacian's serving in the Bolshevik Army mutinied.  They either deserted and caused significant disruption to supplies or they defected to support the Polish Army.;;;;;;;;;;;;,,;;
EVT1914_2008100_NAME;Galacian Army Mutiny;Galacian Army Mutiny;Galacian Army Mutiny;Galacian Army Mutiny;Galacian Army Mutiny;Galacian Army Mutiny;;;;;;Galacian Army Mutiny;x;;,,
EVT1914_2008101_DESC;During the course of the war Danzig dock workers went on long strikes delaying crucial arms shipments.  Eventually the British Army was brought in to unload supplies for Poland.;;;;;;;;;;;;,,;;
EVT1914_2008101_NAME;Danzig dock workers strike;Danzig dock workers strike;Danzig dock workers strike;Danzig dock workers strike;Danzig dock workers strike;Danzig dock workers strike;;;;;;Danzig dock workers strike;x;;,,
Polish_Troops_Title;Reinforcements Have Arrived;;Reinforcements Have Arrived;;;;;;;;;;;;,,
Polish_Troops_Desc;Reinforcements have arrived in Warsaw or Poznan;;Reinforcements have arrived in Warsaw or Poznan;;;;;;;;;;;;,,
Polish_Air_Desc;Our Bristol F2B's have arrived in Warsaw.  These can be used for scouting and ground attack to improve combat effectiveness in ground combat.;;Our Bristol F2B's have arrived in Warsaw.  These can be used for scouting and ground attack to improve combat effectiveness in ground combat.;;;;;;;;;;;;,,
Option_Excellent;Excellent;;Excellent;;;;;;;;;;;;,,
Russian_Troops_Title;Reinforcements Have Arrived;;Reinforcements Have Arrived;;;;;;;;;;;;,,
Russian_Troops_Desc;Reinforcements have arrived in the West or South West Fronts;;Reinforcements have arrived in the West or South West Fronts;;;;;;;;;;;;,,
Russian_Air_Desc;Our Airforce has arrived in Vitsyebsk.  These can be used for scouting and ground attack to improve combat effectiveness in ground combat.;;Our Airforce has arrived in Vitsyebsk.  These can be used for scouting and ground attack to improve combat effectiveness in ground combat.;;;;;;;;;;;;,,
Latvian_Garrison_Title;The Latvian Garrison Has Arrived;;The Latvian Garrison Has Arrived;;;;;;;;;;;;,,
Latvian_Garrison_Desc;The Latvian Garrison has arrived in the North.;;The Latvian Garrison has arrived in the North;;;;;;;;;;;;,,
Desperate_Title;Rally to Warsaw's Defence!;;Rally to Warsaw's Defence!;;;;;;;;;;;;,,
Desperate_Desc;All available citizen's are needed to defend the capital!  More reinforcements will continue to arrive over coming weeks.;;All available citizen's are needed to defend the capital!  More reinforcements will continue to arrive over coming weeks;;;;;;;;;;;;
Desperate_Poznan_Desc;The Poznan Garrison has been released to help save Poland.;;The Poznan Garrison has been released to help save Poland;;;;;;;;;;;;
Lithuania_Title;Lithuanian troops join the Bolsheviks;;Lithuanian troops join the Bolsheviks;;;;;;;;;;;;
Lithuania_Desc;Lithuanian reinforcements have arrived at the border to occupy disputed Lituanian cities of Wilno and later Suwali;;Lithuanian reinforcements have arrived at the border to occupy disputed Lituanian cities of Wilno and later Suwali;;;;;;;;;;;;
Russian_Withdraw_Title;Bolshevik troops have been ordered to withdraw;;Bolshevik troops have been ordered to withdraw;;;;;;;;;;;;
Russian_Withdraw_Desc;Comrade General!  The Konarmiya troops are urgently needed in the Crimea to fight the White Russians.  All Konarmiya units will be removed in about 2 weeks so prepare for their withdrawl.  You will receive more reserves to replace them.;;Comrade General!  The Konarmiya troops are urgently needed in the Crimea to fight the White Russians.  All Konarmiya units will be removed in about 2 weeks so prepare for their withdrawl.  You will receive more reserves to replace them.;;;;;;;;;;;;
Russian_Withdraw_Now_Desc;The Konarmiya troops are going to the Crimea now!;;The Konarmiya troops are going to the Crimea now!;;;;;;;;;;;;
Konarmiya_Arrive_Desc;The Konarmiya (1st Cavalry Army) has arrived in the South West.  You have these troops available until September approximately when they will be withdrawn from combat.;;The Konarmiya (1st Cavalry Army) has arrived in the South West.  You have these troops available until September approximately when they will be withdrawn from combat.;;;;;;;;;;;;
Desperate_Russian_Troops_Title;Emergency reinforcements have arrived;;Emergency reinforcements have arrived;;;;;;;;;;;;
Desperate_Russian_Troops_Desc;Urgent reinforcements have arrived in the West or South West Fronts to deal with the crisis  These reinforcements will continue periodically while Polish troops threaten our cities;;Urgent reinforcements have arrived in the West or South West Fronts to deal with the crisis  These reinforcements will continue periodically while Polish troops threaten our cities;;;;;;;;;;;;
Ukraine_Control_Title;The Ukraine is now under our control;;The Ukraine is now under our control;;;;;;;;;;;;
Ukraine_Control_Desc;We now have control of both Kiev and Lvov. The Ukrainian army has now defected from the other side and some elements have joined our army.;;We now have control of both Kiev and Lvov. The Ukrainian army has now defected from the other side and some elements have joined our army.;;;;;;;;;;;;
Ukraine_Troops_Desc;Ukrainian reinforcements have arrived in Lwow or Kiev;;Ukrainian reinforcements have arrived in Lwow or Kiev;;;;;;;;;;;;
American_Troops_Title;Reinforcements Have Arrived;;Reinforcements Have Arrived;;;;;;;;;;;;
American_Troops_Desc;American reinforcements have arrived in Brest or Le Havre;;American reinforcements have arrived in Brest or Le Havre;;;;;;;;;;;;
