EVT1914_2001554_DESC;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier,;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier,;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier,;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier,;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier.;;;;;;Suspected German saboteurs destroyed a major US munitions dump in New Jersey at Black Tom Pier.;x;;,,,,,
EVT1914_2001554_NAME;Black Tom explosion;Black Tom explosion;Black Tom explosion;Black Tom explosion;Black Tom explosion;Black Tom explosion;;;;;;Black Tom explosion;x;;,,,,,,,,,
EVT1914_2001554_ACTIONA;US public are furious!;US public are furious!;US public are furious!;US public are furious!;US public are furious!;US public are furious!;;;;;;US public are furious!;x;;,,,,,,,,,
EVT1914_2001555_NAME;The sinking of the steamer Harpalyce;The sinking of the steamer Harpalyce, un navire civil de transport de passagers entre les Etats-Unis et l'Angleterre a ÈtÈ coulÈ par un sous-marin allemand. 123 amÈricains sont morts. Ni les Allemands ni les AmÈricains n'ont dÈcouvert que ce navire transportait armes et munitions. Le CongrËs des Etats-Unis est de plus en plus favorable ‡ une intervention ‡ nos cÙtÈs.;;RMS Luzytania, statek cywilny przewoøπcy pasaøerÛw miÍdzy Angliπ, a Stanami Zjednoczonymi, zosta≥ tego ranka zatopiony przez niemieckπ ≥Ûdü podwodnπ. 123 AmerykanÛw zginÍ≥o. Ani Niemcy, ani Amerykanie nie sπ pewni, czy statek przewozi≥ broÒ. Kongres nieznacznie przychyla siÍ do stanowiska interwencjonistÛw.;El RMS Lusitania, oficialmente un navÌo civil que hacia viajes desde Estados Unidos a Gran BretaÒa, fue hundido por los Alemanes esta tarde. Se han perdido 234 vidas estadounidenses. Ni los alemanes ni los estadounidenses sospechan que el barco iba cargado hasta el tope de armas y suministros. El Congreso de los Estados Unidos lentamente se est· volviendo m·s intervencionista.;Il RMS Lusitania, una nave civile che trasportava passeggeri tra l'Inghilterra e gli Stati Uniti Ë stata affondata da un sottomarino tedesco questa mattina. 123 americani sono morti. NÈ i tedeschi nÈ gli americani sono riusciti a sapere se questa nave stava trasportando armi e rifornimenti. Il Congresso degli Stati Uniti si sta lentamente muovendo verso un intervento dalla nostra parte.;;;;;;;;;
EVT1914_2001555_DESC;On 10 April 1915 the British steamer Harpalyce clearly marked as a Belgian relief ship was torpedoed without warning by SM UB-4 just outside the zone declared safe by von Pohl. The ship had been en route for America to collect food for starving Belgians and its sinking outraged American citizens.,;;;;;;;;;;;;;;,,,,,,,,
EVT1914_2001555_ACTIONA;Outraged American citizens!;Mauvais, trËs trËs mauvais.;;èle, bardzo bardzo üle.;Esta catastrofe nos puede costar la Guerra.;Male, molto male!;;;;;;;;;,,,,,,
EVT1914_2001556_NAME;Declare North Sea a War Zone;;Declare North Sea a War Zone;;;;;;;;;;;;,,,,,,,,,
EVT1914_2001556_DESC;The British with their overwhelming sea power,had established a naval blockade of Germany immediately on the outbreak of war in August 1914.,Will we declare the North Sea to be a War Zone with any ships entering the North Sea doing so at their own risk?,Germany could not possibly deal with our British naval strength on an even basis!,;;The British with their overwhelming sea power,had established a naval blockade of Germany immediately on the outbreak of war in August 1914.,Will we declare the North Sea to be a War Zone with any ships entering the North Sea doing so at their own risk?,Germany could not possibly deal with our British naval strength on an even basis!,;;;;;;;;;;;;,
EVT1914_2001556_ACTIONA;Stop ALL Merchant ships!;;Stop ALL Merchant ships!;;;;;;;;;;;;,,,,,,,,,
EVT1914_2001557_NAME;Battle of Jutland;;Battle of Jutland;;;;;;;;;;;;,,,,,,,,,
