EVT1914_2007532_DESC;White General Alexeyev fielded an army supporting the Tzar and opposed to our government.;Le gйnйral Blanc Alexeyev a levй une armйe contre notre gouvernement et supportant le Tsar.;Der weissrussische General Alexeiev hat eine Freiwilligenarmee ausgehoben, die auf Seiten des Zaren steht und damit unser Gegner sein wird.;Biaіy generaі Aleksiejew wystawiі armiк wspieraj№c№ cara i wyst№piі przeciw naszemu rz№dowi.;El General Blanco, Alexeiev, ha creado un ejercito de voluntarios para apoyar al Zar y destruir nuestro gobierno.;Il generale bianco Alexeiev ha messo in campo un esercito di sostegno allo Zar e contrario al nostro governo.;;;;;;Белый генерал Алексеев отказался признать власть большевиков и опубликовал воззвание к офицерам с призывом вступать в Добровольческую армию.;x;;
EVT1914_2007532_NAME;Rise of the Volunteer Army;Crйation de l'Armйe des Volontaires;Die Aushebung einer Freiwilligenarmee;Powstanie Armii Ochotniczej;Creacion del Ejercito de Voluntarios;Sollevamento dell'armata volontaria;;;;;;Создание Добровольческой армии;x;;
EVT1914_2007533_DESC;Some counter-revolutionary politicians set up an independent government in Arkhangelsk.;Quelques politiciens contre rйvolutionnaires ont mis en place un gouvernement indйpendant а Arkhangelsk.;Einige konterrevolutionдre Politiker haben eine unabhдngige Regierung in Archangelsk gebildet.;Niektуrzy kontrrewolucyjni politycy zaіoїyli w Archangielsku niezaleїny rz№d.;Algunos politicos Reaccionarios han establecido un gobierno independiente en Arkhangelsk, en el frio Norte de Rusia.;Alcuni politici contro-rivoluzionari hanno creato un governo indipendente ad Arkhangelsk.;;;;;;Контрреволюционные элементы подняли антибольшевистское восстание в Архангельске и создали собственное независимое правительство.;x;;
EVT1914_2007533_NAME;The Arkhangelsk Government;Le gouvernement d'Arkhangelsk;Die Regierung in Archangelsk;Rz№d w Archangielsku;El Gobierno de Arkhangelsk;Il governo di Arkhangelsk;;;;;;Архангельское правительство;x;;
EVT1914_2007534_DESC;With British support, white Admiral Koltchak raised troops and seized the Far East.;Avec le support des Britanniques, l'amiral blanc Koltchak a levй des troupes et pris l'Extrкme Est.;Mit britischer Unterstьtzung hat Admiral Koltchak Truppen ausgehoben und die Fernost-Flotte unter seine Kontrolle gebracht.;Z pomoc№ Brytyjczykуw, biaіy admiraі Koіczak wykorzystuj№c swe wojska zaj№і Daleki Wschуd.;Con apoyo Britanico, el almirante de la Rusia Blanca, Kolchak, se ha alzado y ha tomado el control del Lejano Oriente.;Con il sostegno britannico, il l'ammiraglio bianco Koltchak ha arruolato alcune truppe ed occupato l'Estremo Oriente.;;;;;;При поддержке Великобритании, белый адмирал Александр Колчак сумел сформировать боеспособную армию и захватить Дальний Восток.;x;;
EVT1914_2007534_NAME;Admiral Koltchak;Admiral Koltchak;Admiral Koltchak;Admiraі Koіczak;El Almirante Kolchak;L'ammiraglio Koltchak;;;;;;Адмирал Колчак;x;;
EVT1914_2007535_DESC;Don Cossacks, under the rule of Hetman Krasnov, rose against the Bolsheviks and allied with Alexeyev.;Les Cossaques du Don, dirigйs par l'Hetman Krasnov, se soulиvent contre les Bolchйviques et s'allient avec Alexeyev.;Unter der Fьhrung von Hetman Krasnov erhoben sich die Don-Kosaken gegen die Bolschewiken und schlossen sich General Alexeiev an.;Kozacy Doсscy, pod komend№ hetmana Krasnowa, powstali przeciwko Bolszewikom i sprzymierzyli siк z Aleksiejewem.;Los Cosacos del Don, bajo el mando del Hetman Krasnov, se han alzado contra nosotros y se han unido al Ejercito Blanco.;I cosacchi del Don, sotto il governo di Hetman Krasnov, si sollevarono contro i bolscevichi, alleandosi con Alexeiev.;;;;;;Донское казачество во главе с атаманом Павлом Красновым восстало против большевиков и объявило о своей поддержке Добровольческой армии генерала Алексеева.;x;;
EVT1914_2007535_NAME;Cossacks' Uprising;Soulиvement des Cosaques !;Aufstand der Don-Kosaken;Powstanie Kozakуw;Rebelion Cosaca;Rivolte dei cosacchi;;;;;;Восстание Донских казаков;x;;
EVT1914_2007536_ACTIONA;War is war;A la guerre comme аa la guerre;Krieg ist Krieg;Wojna to wojna;Asн es la Guerra;La guerra и guerra;;;;;;На войне, как на войне...;x;;
EVT1914_2007536_DESC;Mass Terror is a necessary weapon of the Proletarian Dictatorship. Used by generals, local populations or the Tcheka (Secret Services), the Terror targets White activists or partisan. In fact, entire villages were targeted, even if a single person was guilty or accused of being a white partisan. Such policies, which aimed at scaring populations, had often the opposite effect.;La Terreur de masse est une nйcessitй dans une Dictature du Prolйtariat. Utilisйe par les Gйnйraux, les populations locales ou la Tchйka (Services Secrets), elle cible particuliиrement les blancs et leurs sympathisants. Dans les faits, des villages entiers йtaient touchйs dиs lors qu'une seule personne йtait coupable ou simplement soupзonnйe. Ces politiques, destinйes а effayer la population, avaient souvent l'effet inverse.;Massenterror ist ein notwendiges Instrument der Diktatur des Proletariats. Dieses Vorgehen wurde von Armee, Geheimdienst ( Tcheka ) und der Bevцlkerung selbst gegen 'weisse' Aktivisten und Partisanen eingesetzt. In der Tat wurde mehr als nur ein Dorf zum Ziel dieses Terrors, wenn auch nur der Hauch eines Verdachtes der Zusammenarbeit mit den 'weissen' bestand. Solche Instrumente, die auf der Einschьchterung der Bevцlkerung hinarbeiteten, erreichten natьrlich oftmals das Gegenteil.;Masowy terror jest koniecznym narzкdziem dyktatury proletariatu. Realizowany przez generaіуw, lokaln№ ludnoњж i Czekк (tajne sіuїby), terror skierowany jest przeciw biaіym aktywistom i bojownikom. Faktycznie, celem byіy caіe wioski, jeњli nawet tylko jeden z mieszkaсcуw byі podejrzany o sprzyjanie biaіym. Takie porz№dki, nakierowane na przeraїenie spoіeczeсstwa, miaіy czкsto obrуt przeciwny do zamierzonego.;El terror en masa es un arma necesaria para la instauraciуn de la dictadura del proletariado. Usada por los generales, milicias locales o la Ckekб  (chrezvichбinaya komissia), el terror estб dirigido a activistas Pro-Blancos o a partisanos. De hecho, poblaciones enteras eran victimas de йl, aun si solo una persona era encontrada culpable de ser 'contrarrevolucionaria' o 'desviacionista'. Algunas veces en vez de asustar a la poblaciуn, han logrado el efecto contrario. ;Il terrore di massa и un'arma necessaria alla dittatura del proletariato. Usato dai generali, dalle popolazioni locali o dalla Tcheka (Servizi segreti), il terrore ha come obbiettivo attivisti o partigiani bianchi. In realtа, interi villaggi sono stati distrutti, anche se una sola persona era colpevole od accusato di essere un partigiano bianco. Tali politiche, che miravano a terrorizzare le popolazioni, avevano spesso l'effetto opposto.;;;;;;Массовый террор по отношению к врагам революции являлся обязательным орудием диктатуры пролетариата. Применявшийся красными командирами, местными большевистскими органами власти и сотрудниками ВЧК (Всероссийской чрезвычайной комиссии по борьбе с контрреволюцией и саботажем), красный террор служил средством устрашения как антибольшевистских сил так и мирного населения. Фактически, целые деревни уничтожались только за то, что один из жителей был заподозрен в контрреволюции, однако такая политика, направленная на запугивание местного населения, часто имела прямо противоположный эффект...;x;;
EVT1914_2007536_NAME;Red Terror;Terreur Rouge;Roter Terror;Czerwony Terror;Terror Rojo;Terrore Rosso;;;;;;Красный террор;x;;
EVT1914_2000500_ACTIONA;Don't worry soldiers, the end is near… (Is it ?);Ne vous inquiйtez pas soldats, la fin est proche... (ou presque ?);Keine Sorge, Soldaten !;Nie martwcie siк, koniec jest blisko… (czyїby?);No se preocupen compaсeros, el final se acerca… (Espero que no el nuestro);Non vi preoccupate, soldati, la fine и vicina ... (lo и?);;;;;;Не волнуйтесь, солдаты, конец близок ... (Так ли это ?);x;;
EVT1914_2000500_DESC;We have lost more than a million men in this bloody war. They want to stop fighting, to go home to see their family, and they are ready to harm themselves to flee the front line. Our soldiers are loosing hope!;Ils veulent cesser le combat, retourner chez eux pour revoir leur famille, et sont prкt а se blesser pour y parvenir. Nos soldats perdent espoir !;Sie wollen nicht mehr kдmpfen, sie wollen nach Hause zu ihren Familien und begehen sogar Selbstverstьmmelung, um der Front zu entkommen. Unsere truppen haben ihren Mut verloren.;Chc№ przestaж walczyж i wrуciж do domu, by zobaczyж swe rodziny. S№ nawet gotowi do samookaleczenia, byle by opuњciж liniк frontu. Nasi їoіnierze trac№ nadziejк!;Ellos desean que cese la lucha, ir a sus hogares, ver a sus familias y estбn listos para abandonar el frente. Nuestras tropas pierden la esperanza!;Vogliono smettere di combattere, per andare a casa a vedere la propria famiglia, e sono pronti a danneggiare se stessi per fuggire dalla prima linea. I nostri soldati stanno perdendo la speranza!;;;;;;Солдаты больше не хотят воевать. Они желают вернуться домой, к своим семьям, и готовы на все, лишь бы покинуть передовую. Наши солдаты теряют веру в победу !;x;;
EVT1914_2000500_NAME;Mutinies!;Mutineries !;Meuterer !;Bunt!;Motines!;Ammutinamenti!;;;;;;Волнения в армии;x;;
EVT1914_2000501_DESC;We lost more than 500 000 brave men in this war. Despite politicians' speeches, strict censorship measures, huge war and propaganda efforts, our citizen are slowly loosing their faith. They want this war to end soon.;Malgrй le discours des politiciens, une censure omniprйsente, un effort de guerre et de propagande consйquent, nos citoyens perdent peu а peu espoir. Ils souhaitent que cette guerre s'achиve rapidement.;Trotz aller politischen Reden, strikter Zensur und ungeheurer Anstrengungen des Propaganda-Apparates verliert unsere Bevцlkerung allmдhlich den Glauben an den Sieg. Sie will nur noch ein baldiges Ende des Krieges.;Pomimo przemуw politykуw, ostrych poczynaс cenzury i olbrzymich wysiіkуw wojennych i propagandowych, nasi obywatele powoli trac№ nadziejк. Chc№, by wojna skoсczyіa siк juї wkrуtce.;Los continuos discursos polнticos incendiarios, la estricta censura de prensa, los enormes esfuerzos en propaganda de guerra y esa maldita marcha militar que suena desde hace meses en todas partes recordбndonos que estamos en guerra estбn empezando a cansar a la gente. El pueblo espera que la guerra termine pronto.;Nonostante i discorsi politici, la misure rigorose della censura, i grandi sforzi nella guerra e nella propaganda, i nostri cittadini stanno lentamente perdendo la loro fede. Vogliono che questa guerra finisca presto.;;;;;;Несмотря на речи политиков, жесткую цензуру и усилия пропаганды, наши граждане постепенно теряют веру в конечную победу. Они хотят лишь одного - чтобы эта война закончилась как можно скорее…;x;;
EVT1914_2000501_NAME;War weariness;Lassitude de la guerre;Kriegsmьdigkeit;Zmкczenie wojn№;Hastio Belico;Stanchezza Bellica;;;;;;Усталость от войны;x;;
EVT1914_2000502_DESC;Our nation lost 2 million men in this war. Workers went down the street. Followed by women and students, they asked the government to put an end to this endless war and to food restrictions.;Les travailleurs sont descendus dans la rue. Rapidement suivis par les femmes et les йtudiants, ils demandent l'arrкt du conflit ainsi que des restrictions alimentaires.;Arbeiter ziehen protestierend durch die Strassen, gefolgt von Frauen und Studenten. Sie fordern von der Regierung, den Krieg zu beenden und die Lebensmittelrationierung zu beenden.;Robotnicy opuњcili miejsca pracy. Wraz z kobietami i studentami ї№daj№ od rz№du zakoсczenia wojny i zіagodzenia ograniczeс їywnoњciowych.;Los Obreros se han tomado las calles, seguidos por las mujeres y los estudiantes, exigen al gobierno el fin de la guerra, o por lo menos las fuertes restricciones de alimentos.;I lavoratori sono scesi in strada. Seguiti da donne e studenti, hanno chiesto al governo di porre fine a questa guerra e alle restrizioni alimentari.;;;;;;Рабочие вышли на улицы. Их примеру уже последовали  женщины и студенты они требуют от правительства немедленного прекращения войны и решения проблем с нехваткой продовольствия.;x;;
EVT1914_2000502_NAME;General strike for peace;Grиve gйnйrale pour la paix;Generalstreik fьr den Frieden;Strajk generalny na rzecz pokoju;Huelga General por la Paz;Sciopero generale per la pace;;;;;;Антивоенная демонстрация;x;;
