AUH;Austria-Hungary;Austria-Hungary;Austria-Hungary;;Austria-Hungary;;;;;;;;;x
CRT;Crete;Crete;Crete;;Crete;;;;;;;;;x
ZZZ;Independence;Independence;Independence;;Independence;;;;;;;;;x
CRT_ADJ;Cretian;Cretian;Cretian;;Cretian;;;;;;;;;x
HJZ_ADJ;Hashemites;Hashemites;Hashemites;;Hashemites;;;;;;;;;x
HJZ;Kingdom of Hedjaz;Kingdom of Hedjaz;Kingdom of Hedjaz;;Kingdom of Hedjaz;;;;;;;;;x
ASR_ADJ;Asirian;Asirian;Asirian;;Asirian;;;;;;;;;x
ASR;Emirate of Asir;Emirate of Asir;Emirate of Asir;;Emirate of Asir;;;;;;;;;x
MEX_ADJ;Mexican;Mexican;Mexican;;Mexican;;;;;;;;;x
MEX;Porfiriato Mexico;Mexico;Mexico;;Mexico;;;;;;;;;x
MXR_ADJ;Mexican;Mexican;Mexican;;Mexican;;;;;;;;;x
MXR;Mexican Revolutionaries;Mexican Revolutionaries;Mexican Revolutionaries;;Mexican Revolutionaries;;;;;;;;;x
MXC_ADJ;Mexican;Mexican;Mexican;;Mexican;;;;;;;;;x
MXC;Mexican Constitutionalists;Mexican Constitutionalists;Mexican Constitutionalists;;Mexican Constitutionalists;;;;;;;;;x
MXU_ADJ;Mexican;Mexican;Mexican;;Mexican;;;;;;;;;x
MXU;United MexicanStates;United MexicanStates;United MexicanStates;;United MexicanStates;;;;;;;;;x
WHR_ADJ;Russian;Russian;Russian;;Russian;;;;;;;;;x
WHR;White Russia;White Russia;White Russia;;White Russia;;;;;;;;;x
JBS_ADJ;Jabal Shammar;Jabal Shammar;Jabal Shammar;;Jabal Shammar;;;;;;;;;x
JBS;Jabal Shammar;Jabal Shammar;Jabal Shammar;;Jabal Shammar;;;;;;;;;x
AUH_ADJ;Austro-Hungarian;Austro-Hungarian;Austro-Hungarian;;Austro-Hungarian;;;;;;;;;x
QIN;Qing Empire;Qing Empire;Qing Empire;;Qing Empire;;;;;;;;;x
PRC;Provisional Government of ROC;Provisional Government of ROC;Provisional Government of ROC;;Provisional Government of ROC;;;;;;;;;x
ROC;Republic of China;Republic of China;Republic of China;;Republic of China;;;;;;;;;x
GER;German Empire;German Empire;German Empire;;German Empire;;;;;;;;;x
RUS;Russian Empire;Russian Empire;Russian Empire;;Russian Empire;;;;;;;;;x
FRA;French Republic;French Republic;French Republic;;French Republic;;;;;;;;;x
ITA;Kingdom of Italy;Kingdom of Italy;Kingdom of Italy;;Kingdom of Italy;;;;;;;;;x
ROM;Rumania;Rumania;Rumania;;Rumania;;;;;;;;;x
SCH;Swiss Confederation;Swiss Confederation;Swiss Confederation;;Swiss Confederation;;;;;;;;;x
SPR;Kingdom of Spain;Kingdom of Spain;Kingdom of Spain;;Kingdom of Spain;;;;;;;;;x
YUG;K. of Serbs Croats & Slovenes;K. of Serbs Croats & Slovenes;K. of Serbs Croats & Slovenes;;K. of Serbs Croats & Slovenes;;;;;;;;;x
UKR;Ukrainia;Ukrainia;Ukrainia;;Ukrainia;;;;;;;;;x
IRQ;Mandate of Mesopotamia;Mandate of Mesopotamia;Mandate of Mesopotamia;;Mandate of Mesopotamia;;;;;;;;;x
LEB;Greater Lebanon;Greater Lebanon;Greater Lebanon;;Greater Lebanon;;;;;;;;;x
SAU;Nedj;Nedj;Nedj;;Nedj;;;;;;;;;x
SYR;Mandate of Syria and Lebanon;Mandate of Syria and Lebanon;Mandate of Syria and Lebanon;;Mandate of Syria and Lebanon;;;;;;;;;x
TUR;Ottoman Empire;Ottoman Empire;Ottoman Empire;;Ottoman Empire;;;;;;;;;x
MON;Outer Mongolia;Outer Mongolia;Outer Mongolia;;Outer Mongolia;;;;;;;;;x
ETH;Abyssinia;Abyssinia;Abyssinia;;Abyssinia;;;;;;;;;x
SAF;Union of South Africa;Union of South Africa;Union of South Africa;;Union of South Africa;;;;;;;;;x
AST;Commonwealth of Australia;Commonwealth of Australia;Commonwealth of Australia;;Commonwealth of Australia;;;;;;;;;x
NZL;Dominion of New Zealand;Dominion of New Zealand;Dominion of New Zealand;;Dominion of New Zealand;;;;;;;;;x
CAN;Dominion of Canada;Dominion of Canada;Dominion of Canada;;Dominion of Canada;;;;;;;;;x
HUN_ADJ;Austro-Hungarian;Austro-Hungarian;Austro-Hungarian;;Austro-Hungarian;;;;;;;;;x
TUR_ADJ;Ottoman;Ottoman;Ottoman;;Ottoman;;;;;;;;;x
