DH_EVENT_2058501_TITLE;Greece proclaimed the annexation of Northern Epirus;Greece proclaimed the annexation of Northern Epirus;Greece proclaimed the annexation of Northern Epirus;;Greece proclaimed the annexation of Northern Epirus;;;;;;;;;x,,,,
DH_EVENT_2020500_TITLE;The Fall of Serbia;The Fall of Serbia;The Fall of Serbia;;The Fall of Serbia;;;;;;;;;x,,,,
DH_EVENT_2020501_TITLE;Central Power's proposal;Central Power's proposal;Central Power's proposal;;Central Power's proposal;;;;;;;;;x,,,,
DH_EVENT_2020502_TITLE;Armistice!;Armistice!;Armistice!;;Armistice!;;;;;;;;;x,,,,
DH_EVENT_2020503_TITLE;The Treaty of Neuilly;The Treaty of Neuilly;The Treaty of Neuilly;;The Treaty of Neuilly;;;;;;;;;x,,,,
DH_EVENT_2001501_TITLE;Declare War Against Germany;Declare War Against Germany;Declare War Against Germany;;Declare War Against Germany;;;;;;;;;x,,,,
DH_EVENT_2001502_TITLE;Plans against Ottoman Empire;Plans against Ottoman Empire;Plans against Ottoman Empire;;Plans against Ottoman Empire;;;;;;;;;x,,,,
DH_EVENT_2001503_TITLE;The Dardanelles' objective;The Dardanelles' objective;The Dardanelles' objective;;The Dardanelles' objective;;;;;;;;;x,,,,
DH_EVENT_2001504_TITLE;Plans against Ottoman Empire, French side;Plans against Ottoman Empire, French side;Plans against Ottoman Empire, French side;;Plans against Ottoman Empire, French side;;;;;;;;;x
DH_EVENT_2001505_TITLE;A foot on Cape Helles;A foot on Cape Helles;A foot on Cape Helles;;A foot on Cape Helles;;;;;;;;;x,,,,
DH_EVENT_2001506_TITLE;Seize Thessaloniki?;Seize Thessaloniki?;Seize Thessaloniki?;;Seize Thessaloniki?;;;;;;;;;x,,,,
DH_EVENT_2001507_TITLE;The Dardanelles' operation has failed;The Dardanelles' operation has failed;The Dardanelles' operation has failed;;The Dardanelles' operation has failed;;;;;;;;;x,,,,
DH_EVENT_2001508_TITLE;Letters with Hussein bin Ali;Letters with Hussein bin Ali;Letters with Hussein bin Ali;;Letters with Hussein bin Ali;;;;;;;;;x,,,,
DH_EVENT_2001509_TITLE;Promises for a great Arab Empire;Promises for a great Arab Empire;Promises for a great Arab Empire;;Promises for a great Arab Empire;;;;;;;;;x,,,,
DH_EVENT_2001510_TITLE;Send T.E. Lawrence;Send T.E. Lawrence;Send T.E. Lawrence;;Send T.E. Lawrence;;;;;;;;;x,,,,
DH_EVENT_2001511_TITLE;Send assistance to Hedjaz;Send assistance to Hedjaz;Send assistance to Hedjaz;;Send assistance to Hedjaz;;;;;;;;;x,,,,
DH_EVENT_2001512_TITLE;Renewed assistance to Hedjaz;Renewed assistance to Hedjaz;Renewed assistance to Hedjaz;;Renewed assistance to Hedjaz;;;;;;;;;x
DH_EVENT_2001513_TITLE;Al-Arish is lost!;Al-Arish is lost!;Al-Arish is lost!;;Al-Arish is lost!;;;;;;;;;x
DH_EVENT_2001514_TITLE;Suez is lost!;Suez is lost!;Suez is lost!;;Suez is lost!;;;;;;;;;x
DH_EVENT_2001515_TITLE;Alexandria is lost!;Alexandria is lost!;Alexandria is lost!;;Alexandria is lost!;;;;;;;;;x
DH_EVENT_2001516_TITLE;Bur Sudir is lost!;Bur Sudir is lost!;Bur Sudir is lost!;;Bur Sudir is lost!;;;;;;;;;x
DH_EVENT_2001517_TITLE;Khartoum is lost!;Khartoum is lost!;Khartoum is lost!;;Khartoum is lost!;;;;;;;;;x
DH_EVENT_2001518_TITLE;Cairo is lost!;Cairo is lost!;Cairo is lost!;;Cairo is lost!;;;;;;;;;x
DH_EVENT_2001519_TITLE;The enemy lands in Dover;The enemy lands in Dover;The enemy lands in Dover;;The enemy lands in Dover;;;;;;;;;x
