Caliph_of_Islam;Caliph of Islam;Caliph of Islam;Caliph of Islam;;Caliph of Islam;;;;;;;;;x,,,,
Ottomans_regain;Revive the Empire;Revive the Empire;Revive the Empire;;Revive the Empire;;;;;;;;;x,,,,
Ottomans_weakened;Sick Man of Europe;Sick Man of Europe;Sick Man of Europe;;Sick Man of Europe;;;;;;;;;x,,,,
unrestricted_submarine_warfare;Unrestricted Submarine Warfare;Unrestricted Submarine Warfare;Unrestricted Submarine Warfare;;Unrestricted Submarine Warfare;;;;;;;;;x,,,,
blockade_of_central_powers;North Sea War Zone;North Sea War Zone;North Sea War Zone;;North Sea War Zone;;;;;;;;;x,,,,
break_UK_blockade;Break the UK blockade;Break the UK blockade;Break the UK blockade;;Break the UK blockade;;;;;;;;;x,,,,
north_sea_war_title;Declare North Sea War Zone;Declare North Sea War Zone;Declare North Sea War Zone;;Declare North Sea War Zone;;;;;;;;;x,,,,
north_sea_war_desc;On the outbreak of war the UK imposed a blockade on the Central Powers.  By November 1914 they extended the blockade and Declared the North Sea a War Zone and stopped all merchant ships including food supplies.,;On the outbreak of war the UK imposed a blockade on the Central Powers.  By November 1914 they extended the blockade and Declared the North Sea a War Zone and stopped all merchant ships including food supplies.,;On the outbreak of war the UK imposed a blockade on the Central Powers.  By November 1914 they extended the blockade and Declared the North Sea a War Zone and stopped all merchant ships including food supplies.,;;On the outbreak of war the UK imposed a blockade on the Central Powers.  By November 1914 they extended the blockade and Declared the North Sea a War Zone and stopped all merchant ships including food supplies.,;;;;;;;;;x
North_Sea_War_Zone;Declare North Sea War Zone;Declare North Sea War Zone;Declare North Sea War Zone;;Declare North Sea War Zone;;;;;;;;;x,,,,
break_blockade_title;Break the UK Blockade;Break the UK Blockade;Break the UK Blockade;;Break the UK Blockade;;;;;;;;;x,,,,
break_blockade_desc;After Germany agreed to the US demand to stop unrestricted submarine attacks on all merchant shipping in the war zone Germany had little option but to try and break the UK strangle hold over their convoy routes.  This lead to the Battle of Jutland where the German High Seas Fleet tried to lure the UK Grand Fleet into a trap. ;After Germany agreed to the US demand to stop unrestricted submarine attacks on all merchant shipping in the war zone Germany had little option but to try and break the UK strangle hold over their convoy routes.  This lead to the Battle of Jutland where the German High Seas Fleet tried to lure the UK Grand Fleet into a trap. ;After Germany agreed to the US demand to stop unrestricted submarine attacks on all merchant shipping in the war zone Germany had little option but to try and break the UK strangle hold over their convoy routes.  This lead to the Battle of Jutland where the German High Seas Fleet tried to lure the UK Grand Fleet into a trap. ;;After Germany agreed to the US demand to stop unrestricted submarine attacks on all merchant shipping in the war zone Germany had little option but to try and break the UK strangle hold over their convoy routes.  This lead to the Battle of Jutland where the German High Seas Fleet tried to lure the UK Grand Fleet into a trap. ;;;;;;;;;x,,,,
break_blockade;Break the UK Blockade;Break the UK Blockade;Break the UK Blockade;;Break the UK Blockade;;;;;;;;;x,,,,
stopped_unrest_subs;Sub War Stopped;Sub War Stopped;Sub War Stopped;;Sub War Stopped;;;;;;;;;x,,,,
unrest_subs;Unrestricted Sub War;Unrestricted Sub War;Unrestricted Sub War;;Unrestricted Sub War;;;;;;;;;x,,,,
Zeppelin_bombing;Start the Zeppelin campaign;Start the Zeppelin campaign;Start the Zeppelin campaign;;Start the Zeppelin campaign;;;;;;;;;x,,,,
zeppelin_bombing_title;Start the Zeppelin campaign;Start the Zeppelin campaign;Start the Zeppelin campaign;;Start the Zeppelin campaign;;;;;;;;;x,,,,
zeppelin_bombing_desc;The Zeppelin bombing campaign on the UK started in 1915 and while commonly accepted as a failure against military targets it certainly affected morale when it was realised the war could reach beyong the Front and hit your homeland.,;The Zeppelin bombing campaign on the UK started in 1915 and while commonly accepted as a failure against military targets it certainly affected morale when it was realised the war could reach beyong the Front and hit your homeland.,;The Zeppelin bombing campaign on the UK started in 1915 and while commonly accepted as a failure against military targets it certainly affected morale when it was realised the war could reach beyong the Front and hit your homeland.,;;The Zeppelin bombing campaign on the UK started in 1915 and while commonly accepted as a failure against military targets it certainly affected morale when it was realised the war could reach beyong the Front and hit your homeland.,;;;;;;;;;x
uk_no_conscription;No Conscription;No Conscription;No Conscription;;No Conscription;;;;;;;;;x,,,,
volunteer_army_uk;Army of Volunteers;Army of Volunteers;Army of Volunteers;;Army of Volunteers;;;;;;;;;x,,,,
qing_administration;Qing Administration;Qing Administration;Qing Administration;;Qing Administration;;;;;;;;;x,,,,
rebellion_administration;Rebellion Administration;Rebellion Administration;Rebellion Administration;;Rebellion Administration;;;;;;;;;x,,,,
officers_gain;Surge of Officers;Surge of Officers;Surge of Officers;;Surge of Officers;;;;;;;;;x,,,,
strikes_boycotts_chengdu;Strikes and Boycotts in Chengdu;Strikes and Boycotts in Chengdu;Strikes and Boycotts in Chengdu;;Strikes and Boycotts in Chengdu;;;;;;;;;x,,,,
qing_administration_title;Qing Administration;Qing Administration;Qing Administration;;Qing Administration;;;;;;;;;x,,,,
qing_administration_desc;Qing Administration;Qing Administration;Qing Administration;;Qing Administration;;;;;;;;;x,,,,
rebellion_administration_title;Rebel Administration;Rebel Administration;Rebel Administration;;Rebel Administration;;;;;;;;;x,,,,
rebellion_administration_desc;Rebel Administration;Rebel Administration;Rebel Administration;;Rebel Administration;;;;;;;;;x,,,,
schlieffen;Schlieffen Plan;Schlieffen Plan;Schlieffen Plan;;Schlieffen Plan;;;;;;;;;x,,,,
russia_leadership_troubles;Russian Leadership Troubles;Russian Leadership Troubles;Russian Leadership Troubles;;Russian Leadership Troubles;;;;;;;;;x,,,,
Holy_War;Holy War;Holy War;Holy War;;Holy War;;;;;;;;;x,,,,
multiethnic_empire;Multi-ethnic Empire;Multi-ethnic Empire;Multi-ethnic Empire;;Multi-ethnic Empire;;;;;;;;;x,,,,
protect_the_yellow_dragon_flag_title;Protect the Yellow Dragon Flag!;Protect the Yellow Dragon Flag!;Protect the Yellow Dragon Flag!;;Protect the Yellow Dragon Flag!;;;;;;;;;x,,,,
protect_the_yellow_dragon_flag_desc;Protect the Yellow Dragon Flag!;Protect the Yellow Dragon Flag!;Protect the Yellow Dragon Flag!;;Protect the Yellow Dragon Flag!;;;;;;;;;x
german_africa;African Holdings;African Holdings;African Holdings;;African Holdings;;;;;;;;;x
german_pacific;Pacific Holdings;Pacific Holdings;Pacific Holdings;;Pacific Holdings;;;;;;;;;x
persian_oil;Persian Oil Fields;Persian Oil Fields;Persian Oil Fields;;Persian Oil Fields;;;;;;;;;x
united_china;United China;United China;United China;;United China;;;;;;;;;x
roma_oil;Rumanian Oil Fields;Rumanian Oil Fields;Rumanian Oil Fields;;Rumanian Oil Fields;;;;;;;;;x
roma_oil_2;Rumanian Oil Fields (Allies);Rumanian Oil Fields (Allies);Rumanian Oil Fields (Allies);;Rumanian Oil Fields (Allies);;;;;;;;;x
master_puppets;Master of Puppets;Master of Puppets;Master of Puppets;;Master of Puppets;;;;;;;;;x
auh_buildup;Buildup;Buildup;Buildup;;Buildup;;;;;;;;;x
central_powers;Central Powers;Central Powers;Central Powers;;Central Powers;;;;;;;;;x
pact_of_steel_2;Dual Alliance;Dual Alliance;Dual Alliance;;Dual Alliance;;;;;;;;;x
disorganized_soviets_2;Disorganised Army;Disorganised Army;Disorganised Army;;Disorganised Army;;;;;;;;;x
triple_entente;Triple Entente;Triple Entente;Triple Entente;;Triple Entente;;;;;;;;;x
scouted;Scouted;Scouted;Scouted;;Scouted;;;;;;;;;x
photographed;Photographed;Photographed;Photographed;;Photographed;;;;;;;;;x
spanish_flu;Spanish Flu;Spanish Flu;Spanish Flu;;Spanish Flu;;;;;;;;;x
prohibition;Prohibition;Prohibition;Prohibition;;Prohibition;;;;;;;;;x
army_mutiny;Army Mutiny;;;;;;;;;;;;;x
army_demoralised;Army Dissent;;;;;;;;;;;;;x
