Tag;English;French;German;;;;;;;;;x,,;;;
German_Africa_aim;Guerilla warfare in Africa;;Guerillakriegsführung in Afrika;;;;;;;;;x,,;;;
German_Pacific_aim;Guerilla warfare the Pacific;;Guerillakriegsführung im Pazifik;;;;;;;;;x,,;;;
Brussels_Axis_aim;Central Powers control Brussels;;Mittelmächte kontrollieren Brüssel;;;;;;;;;x,,;;;
Paris_Axis_aim;Central Powers control Paris;;Mittelmächte kontrollieren Paris;;;;;;;;;x,,;;;
Riga_Axis_aim;Central Powers control Riga;;Mittelmächte kontrollieren Riga;;;;;;;;;x,,;;;
Warsaw_Axis_aim;Central Powers control Warsaw;;Mittelmächte kontrollieren Warschau;;;;;;;;;x,,;;;
Kyiv_Axis_aim;Central Powers control Kyiv;;Mittelmächte kontrollieren Kiew;;;;;;;;;x,,;;;
Suez_Axis_aim;Central Powers control the Suez Canal;;Mittelmächte kontrollieren den Suez-Kanal;;;;;;;;;x,,;;;
Athens_Axis_aim;Central Powers control Athens;;Mittelmächte kontrollieren Athen;;;;;;;;;x,,;;;
Belgrade_Axis_aim;Central Powers control Belgrade;;Mittelmächte kontrollieren Belgrad;;;;;;;;;x,,;;;
London_Axis_aim;Central Powers control London;;Mittelmächte kontrollieren London;;;;;;;;;x,,;;;
Tehran_Axis_aim;Central Powers control Tehran;;Mittelmächte kontrollieren Teheran;;;;;;;;;x,,;;;
Baki_Axis_aim;Central Powers control Baki;;Mittelmächte kontrollieren Baku;;;;;;;;;x,,;;;
Venice_Axis_aim;Central Powers control Venice;;Mittelmächte kontrollieren Venedig;;;;;;;;;x,,;;;
Rome_Axis_aim;Central Powers control Rome;;Mittelmächte kontrollieren Rom;;;;;;;;;x,,;;;
Moscow_Axis_aim;Central Powers control Moscow;;Mittelmächte kontrollieren Moskau;;;;;;;;;x,,;;;
Copenhagen_Axis_aim;Central Powers control Copenhagen;;Mittelmächte kontrollieren Kopenhagen;;;;;;;;;x,,;;;
Zurich_Axis_aim;Central Powers control Zurich;;Mittelmächte kontrollieren Zürich;;;;;;;;;x,,;;;
Gibratar_Axis_aim;Central Powers control Gibraltar Strait;;Mittelmächte kontrollieren die Straße von Gibraltar;;;;;;;;;x,,;;;
Malta_Axis_aim;Central Powers control Malta;;Mittelmächte kontrollieren Malta;;;;;;;;;x,,;;;
France_Allies_aim;France is a member of the Triple Entente;;Frankreich ist Mitglied der Entente;;;;;;;;;x,,;;;
Russia_Allies_aim;Russia is a member of the Triple Entente;;Rußland ist Mitglied der Entente;;;;;;;;;x,,;;;
Brussels_Allies_aim;Brussels is controlled by the Triple Entente;;Die Entente kontrolliert Brüssel;;;;;;;;;x,,;;;
Dard_Allies_aim;Dardanelles Campaign;;Der Dardanellen Feldzug;;;;;;;;;x,,;;;
USA_Allies_aim;USA is a member of the Triple Entente;;Die USA sind Mitglied der Entente;;;;;;;;;x,,;;;
Alsace_Allies_aim;Reclaim Alsace-Lorraine;;Elßass-Lothringen beanspruchen;;;;;;;;;x,,;;;
Italy_Allies_aim;Italian Claims on Austria-Hungary;;Italienische Ansprüche an Österreich-Ungarn;;;;;;;;;x,,;;;
Allies_Africa_aim;Occupy German Africa;;Besetzt die deutschen Besitzungen in Afrika;;;;;;;;;x,,;;;
Allies_Pacific_aim;Occupy German Pacific Holdings;;Besetzt die deutschen Besitzungen im Pazifik;;;;;;;;;x,,;;;
Romania_Allies_aim;Romania is a member of the Triple Entente;;Rumänien ist Mitglied der Entente;;;;;;;;;x,,;;;
Berlin_Allies_aim;Liberate Berlin;;Befreit Berlin;;;;;;;;;x,,;;;
Vienna_Allies_aim;Liberate Vienna;;Befreit Wien;;;;;;;;;x,,;;;
Innsbruck_Allies_aim;Liberate Innsbruck;;Befreit Innsbruck;;;;;;;;;x,,;;;
Lwow_Allies_aim;Liberate Lwow;;Befreit Lemberg;;;;;;;;;x,,;;;
Jerusalem_Allies_aim;British Mandate in Palestine;;Britisches Mandat in Palästina;;;;;;;;;x,,;;;
Danzig_Allies_aim;Liberate Danzig;;Befreit Danzig;;;;;;;;;x,,;;;
Trabizon_Allies_aim;Liberate Trabizon;;Befreit Trapezunt;;;;;;;;;x,,;;;
Sofiya_Allies_aim;Liberate Sofiya;;Befreit Sofia;;;;;;;;;x,,;;;
Ruhr_Allies_aim;Liberate Ruhrland;;Befreit das Ruhrgebiet;;;;;;;;;x,,;;;
Baghdad_Allies_aim;Liberate Baghdad;;Befreit Bagdad;;;;;;;;;x,,;;;
prepare_for_war2_title;Prepare for war;;Vorbereitungen zum Krieg;;;;;;;;;x,,;;;
prepare_for_war2_desc;With the recent threats in Europe, and the possibility of a new war, we must prepare our people for the horrors of war;;Bei der hohen Wahrscheinlichkeit auf einen neuen Krieg, sollten wir daran denken, unsere Bevölkerung darauf vorzubereiten;;;;;;;;;x,,;;;
civil_war_1;Chinese Civil War (Republic);;Chinesischer Bürgerkrieg;;;;;;;;;x,,;;;
civil_war_1_setup;Xinhai Revolution;;Xinhai Revolution;;;;;;;;;x,,;;;
civil_war_2;Chinese Civil War (Imperial);;Chinesischer Bürgerkrieg;;;;;;;;;x,,;;;
civil_war_2_setup;Xinhai Revolution;;Xinhai Revolution;;;;;;;;;x,,;;;
german_france;Fall of France;;Der Fall Frankreichs;;;;;;;;;x,,;;;
axis_russia;Fall of Russia;;Der Fall Rußlands;;;;;;;;;x,,;;;
axis_russia_setup;Defeat Russia!;;Verteidigt Rußland!;;;;;;;;;x,,;;;
allies_germany;Fall of Germany;;Der Fall Deutschlands;;;;;;;;;x,,;;;
allies_germany_setup;Defeat Germany!;;Verteidigt Deutschland!;;;;;;;;;x,,;;;
allies_austria;Fall of Austria-Hungary;;Der Fall Österreich-Ungarns;;;;;;;;;x,,;;;
allies_austria_setup;Defeat the Österreich!;;Verteidigt Österreich-Ungarn!;;;;;;;;;x,,;;;
allies_ottoman;Fall of the Ottomans;;Der Fall des Ottomanischen Reiches;;;;;;;;;x,,;;;
allies_ottoman_setup;Defeat the Ottomans!;;Verteidigt das Ottomanische Reich!;;;;;;;;;x,,;;;
axis_england;Fall of England;;Der Fall Englands;;;;;;;;;x,,;;;
axis_england_setup;Defeat the English!;;Verteidigt England!;;;;;;;;;x,,;;;
wargoal_france_title;Add wargoal: French Republic;;Füge Kriegsziel hinzu: Republik Frankreich;;;;;;;;;x,,;;;
wargoal_france_desc;Fall of France;;Der Fall Frankreichs;;;;;;;;;x,,;;;
wargoal_russia_title;Add wargoal: Russian Empire;;Füge Kriegsziel hinzu: Rußland;;;;;;;;;x,,;;;
wargoal_russia_desc;Fall of the Russian Empire;;Der Fall des Russischen Reiches;;;;;;;;;x,,;;;
wargoal_england_title;Add wargoal: United Kingdom;;Füge Kriegsziel hinzu: Großbritannien;;;;;;;;;x,,;;;
wargoal_england_desc;Fall of the British Empire;;Der Fall des Britischen Reiches;;;;;;;;;x,,;;;
wargoal_germany_title;Add wargoal: German Empire;;Füge Kriegsziel hinzu: Deutsches Reich;;;;;;;;;x,,;;;
wargoal_germany_desc;Fall of the German Empire;;Der Fall des Deutschen Reiches;;;;;;;;;x,,;;;
wargoal_austria_title;Add wargoal: Austria-Hungary;;Füge Kriegsziel hinzu: Österreich-Ungarn;;;;;;;;;x,,;;;
wargoal_austria_desc;Fall of Austria-Hungary;;Der Fall des Österreich-Ungarischen Reiches;;;;;;;;;x,,;;;
wargoal_ottoman_title;Add wargoal: Ottomans;;Füge Kriegsziel hinzu: Ottomanisches Reich;;;;;;;;;x,,;;;
wargoal_ottoman_desc;Fall of the Ottoman Empire;;Der Fall des Ottomanischen Reiches;;;;;;;;;x,,;;;
gear_up_for_war_2_title;Non-Intervention;;Keine Intervention;;;;;;;;;x,,;;;
