ROAD_TO_WAR_NAME;The Road to War;The Road to War;The Road to War;;The Road to War;;;;;;;;;x
ROAD_TO_WAR_DESC;On the eleventh hour of the eleventh day of the eleventh month in the Year of Our Lord 1918 the guns fell silent. The War to End all Wars was over and the only task now was to win the peace. When the French field marshal Ferdinand Foch saw the resulting peace of Versailles he declared, “This is not peace. It is an armistice for 20 years”. It is now the 1st of January 1936 and Foch’s remark is already looking particularly perceptive.;On the eleventh hour of the eleventh day of the eleventh month in the Year of Our Lord 1918 the guns fell silent. The War to End all Wars was over and the only task now was to win the peace. When the French field marshal Ferdinand Foch saw the resulting peace of Versailles he declared, “This is not peace. It is an armistice for 20 years”. It is now the 1st of January 1936 and Foch’s remark is already looking particularly perceptive.;On the eleventh hour of the eleventh day of the eleventh month in the Year of Our Lord 1918 the guns fell silent. The War to End all Wars was over and the only task now was to win the peace. When the French field marshal Ferdinand Foch saw the resulting peace of Versailles he declared, “This is not peace. It is an armistice for 20 years”. It is now the 1st of January 1936 and Foch’s remark is already looking particularly perceptive.;;On the eleventh hour of the eleventh day of the eleventh month in the Year of Our Lord 1918 the guns fell silent. The War to End all Wars was over and the only task now was to win the peace. When the French field marshal Ferdinand Foch saw the resulting peace of Versailles he declared, “This is not peace. It is an armistice for 20 years”. It is now the 1st of January 1936 and Foch’s remark is already looking particularly perceptive.;;;;;;;;;x
GATHERING_STORM_NAME;The Gathering Storm;The Gathering Storm;The Gathering Storm;;The Gathering Storm;;;;;;;;;x
GATHERING_STORM_DESC;War rages in Asia, as Japanese troops continue their relentless assault in China. In Europe the Treaty of Versailles is dead and the hope for peace is all but dead. Germany has rearmed, remilitarised the Rhineland and annexed Austria. Already her eyes are turned to the Sudetenland, of which Hitler will say, “It is the last territorial claim which I have to make in Europe”. The British may be willing to trust Hitler one last time, but after that there will be few alternatives.;War rages in Asia, as Japanese troops continue their relentless assault in China. In Europe the Treaty of Versailles is dead and the hope for peace is all but dead. Germany has rearmed, remilitarised the Rhineland and annexed Austria. Already her eyes are turned to the Sudetenland, of which Hitler will say, “It is the last territorial claim which I have to make in Europe”. The British may be willing to trust Hitler one last time, but after that there will be few alternatives.;War rages in Asia, as Japanese troops continue their relentless assault in China. In Europe the Treaty of Versailles is dead and the hope for peace is all but dead. Germany has rearmed, remilitarised the Rhineland and annexed Austria. Already her eyes are turned to the Sudetenland, of which Hitler will say, “It is the last territorial claim which I have to make in Europe”. The British may be willing to trust Hitler one last time, but after that there will be few alternatives.;;War rages in Asia, as Japanese troops continue their relentless assault in China. In Europe the Treaty of Versailles is dead and the hope for peace is all but dead. Germany has rearmed, remilitarised the Rhineland and annexed Austria. Already her eyes are turned to the Sudetenland, of which Hitler will say, “It is the last territorial claim which I have to make in Europe”. The British may be willing to trust Hitler one last time, but after that there will be few alternatives.;;;;;;;;;x
BLITZKRIEG_NAME;Blitzkrieg;Blitzkrieg;Blitzkrieg;;Blitzkrieg;;;;;;;;;x
AWAKENING_THE_GIANT_NAME;Barbarossa;Barbarossa;Barbarossa;;Barbarossa;;;;;;;;;x
AWAKENING_THE_GIANT_DESC;The Battle of France ended in just 6 weeks, and the German armies are triumphant once more. The Battle of Britain was Hitler’s attempt to force Britain out of the war. But Churchill was made of sterner stuff than Chamberlain, Churchill who vowed that “I can say: It is to wage war, by sea, land and air, with all our might and with all the strength that God can give us” and would not be cowed. Checked in the West,  the lure of the East became irresistible for Hitler and the German Army. Their troops are massed on the Eastern border, and the two great Titans of Europe are about to clash. ;The Battle of France ended in just 6 weeks, and the German armies are triumphant once more. The Battle of Britain was Hitler’s attempt to force Britain out of the war. But Churchill was made of sterner stuff than Chamberlain, Churchill who vowed that “I can say: It is to wage war, by sea, land and air, with all our might and with all the strength that God can give us” and would not be cowed. Checked in the West,  the lure of the East became irresistible for Hitler and the German Army. Their troops are massed on the Eastern border, and the two great Titans of Europe are about to clash. ;The Battle of France ended in just 6 weeks, and the German armies are triumphant once more. The Battle of Britain was Hitler’s attempt to force Britain out of the war. But Churchill was made of sterner stuff than Chamberlain, Churchill who vowed that “I can say: It is to wage war, by sea, land and air, with all our might and with all the strength that God can give us” and would not be cowed. Checked in the West,  the lure of the East became irresistible for Hitler and the German Army. Their troops are massed on the Eastern border, and the two great Titans of Europe are about to clash. ;;The Battle of France ended in just 6 weeks, and the German armies are triumphant once more. The Battle of Britain was Hitler’s attempt to force Britain out of the war. But Churchill was made of sterner stuff than Chamberlain, Churchill who vowed that “I can say: It is to wage war, by sea, land and air, with all our might and with all the strength that God can give us” and would not be cowed. Checked in the West,  the lure of the East became irresistible for Hitler and the German Army. Their troops are massed on the Eastern border, and the two great Titans of Europe are about to clash. ;;;;;;;;;x
DAY_OF_INFAMY_NAME;Day of Infamy;Day of Infamy;Day of Infamy;;Day of Infamy;;;;;;;;;x
THE_TIDE_HAS_TURNED_NAME;The Tide has Turned ;The Tide has Turned ;The Tide has Turned ;;The Tide has Turned ;;;;;;;;;x
THE_TIDE_HAS_TURNED_DESC;The seemingly unstoppable Axis Juggernaut has come shuddering to a halt. The Japanese defeat at Midway handed the US naval superiority in the Pacific, while the surrender of the 6th Army at Stalingrad left an almost fatal wound in the power of the German Army. Meanwhile the deteriorating situation in the Mediterranean has left the Italian government looking shaky. Although Churchill would say later "Before Alamein, we had no victories. After Alamein, we had no defeats." The Axis powers still have powerful armies under their command and they still control vast swaths of territory. Victory remains a long way off.;The seemingly unstoppable Axis Juggernaut has come shuddering to a halt. The Japanese defeat at Midway handed the US naval superiority in the Pacific, while the surrender of the 6th Army at Stalingrad left an almost fatal wound in the power of the German Army. Meanwhile the deteriorating situation in the Mediterranean has left the Italian government looking shaky. Although Churchill would say later "Before Alamein, we had no victories. After Alamein, we had no defeats." The Axis powers still have powerful armies under their command and they still control vast swaths of territory. Victory remains a long way off.;The seemingly unstoppable Axis Juggernaut has come shuddering to a halt. The Japanese defeat at Midway handed the US naval superiority in the Pacific, while the surrender of the 6th Army at Stalingrad left an almost fatal wound in the power of the German Army. Meanwhile the deteriorating situation in the Mediterranean has left the Italian government looking shaky. Although Churchill would say later "Before Alamein, we had no victories. After Alamein, we had no defeats." The Axis powers still have powerful armies under their command and they still control vast swaths of territory. Victory remains a long way off.;;The seemingly unstoppable Axis Juggernaut has come shuddering to a halt. The Japanese defeat at Midway handed the US naval superiority in the Pacific, while the surrender of the 6th Army at Stalingrad left an almost fatal wound in the power of the German Army. Meanwhile the deteriorating situation in the Mediterranean has left the Italian government looking shaky. Although Churchill would say later "Before Alamein, we had no victories. After Alamein, we had no defeats." The Axis powers still have powerful armies under their command and they still control vast swaths of territory. Victory remains a long way off.;;;;;;;;;x
GOTTERDAMMERUNG_NAME;Götterdämmerung;Götterdämmerung;Götterdämmerung;;Götterdämmerung;;;;;;;;;x
