MESSAGE_HEAD_GOV;The Minister of Security reports;The Minister of Security reports;The Minister of Security reports;;The Minister of Security reports;;;;;;;;;x
MESSAGE_HEAD_MARS;The General Staff reports;The General Staff reports;The General Staff reports;;The General Staff reports;;;;;;;;;x
MESSAGE_HEAD_CHAN;The Foreign Office reports;The Foreign Office reports;The Foreign Office reports;;The Foreign Office reports;;;;;;;;;x
MESS_BADWORDS1;the fools;the fools;the fools;;the fools;;;;;;;;;x
MESS_BADWORDS2;the traitors;the traitors;the traitors;;the traitors;;;;;;;;;x
MESS_BADWORDS3;the warmongers;the warmongers;the warmongers;;the warmongers;;;;;;;;;x
MESS_BADWORDS4;the imbeciles;the imbeciles;the imbeciles;;the imbeciles;;;;;;;;;x
DECLWAR_GUARACANCELNTEE;You cannot declare war on a nation you guarantee;You cannot declare war on a nation you guarantee;You cannot declare war on a nation you guarantee;;You cannot declare war on a nation you guarantee;;;;;;;;;x
DECLWAR_SETUP;When a nation declares war upon you;When a nation declares war upon you;When a nation declares war upon you;;When a nation declares war upon you;;;;;;;;;x
DECLWAR_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
DECLWAR_1;WAR!;WAR!;WAR!;;WAR!;;;;;;;;;x
DECLWAR_2;$MONARCHTITLE$, $BADWORD$ in;$MONARCHTITLE$, $BADWORD$ in;$MONARCHTITLE$, $BADWORD$ in;;$MONARCHTITLE$, $BADWORD$ in;;;;;;;;;x
DECLWAR_3;$AGRESSOR$ declared war;$AGRESSOR$ declared war;$AGRESSOR$ declared war;;$AGRESSOR$ declared war;;;;;;;;;x
DECLWAR_4;upon us! Prepare for battle...;upon us! Prepare for battle...;upon us! Prepare for battle...;;upon us! Prepare for battle...;;;;;;;;;x
DECLWAR_5;$LIM$;$LIM$;$LIM$;;$LIM$;;;;;;;;;x
DECLWAR_6;*;*;*;;*;;;;;;;;;x
DECLWAR_LOG;$AGRESSOR$ declared war on us!;$AGRESSOR$ declared war on us!;$AGRESSOR$ declared war on us!;;$AGRESSOR$ declared war on us!;;;;;;;;;x
DECLWAR_BTN1;OK;OK;OK;;OK;;;;;;;;;x
DECLWAR_BTN2;OK;OK;OK;;OK;;;;;;;;;x
DECLWAR_BTN3;Go to;Go to;Go to;;Go to;;;;;;;;;x
DECLWAR_MAP;WAR!;WAR!;WAR!;;WAR!;;;;;;;;;x
DECLWAROTHER_SETUP;When a nation declares war on another nation;When a nation declares war on another nation;When a nation declares war on another nation;;When a nation declares war on another nation;;;;;;;;;x
DECLWAROTHER_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
DECLWAROTHER_1;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;;$AGRESSOR$;;;;;;;;;x
DECLWAROTHER_2;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;;$MONARCHTITLE$, $AGRESSOR$;;;;;;;;;x
DECLWAROTHER_3;declared war;declared war;declared war;;declared war;;;;;;;;;x
DECLWAROTHER_4;on their new enemy;on their new enemy;on their new enemy;;on their new enemy;;;;;;;;;x
DECLWAROTHER_5;$DEFENDER$;$DEFENDER$;$DEFENDER$;;$DEFENDER$;;;;;;;;;x
DECLWAROTHER_6;$LIM$;$LIM$;$LIM$;;$LIM$;;;;;;;;;x
DECLWAROTHER_LOG;$AGRESSOR$ declared war on $DEFENDER$.;$AGRESSOR$ declared war on $DEFENDER$.;$AGRESSOR$ declared war on $DEFENDER$.;;$AGRESSOR$ declared war on $DEFENDER$.;;;;;;;;;x
DECLWAROTHER_BTN1;OK;OK;OK;;OK;;;;;;;;;x
DECLWAROTHER_BTN2;OK;OK;OK;;OK;;;;;;;;;x
DECLWAROTHER_BTN3;Go to;Go to;Go to;;Go to;;;;;;;;;x
DECLWAR_LIMITED;This war is a limited war.;This war is a limited war.;This war is a limited war.;;This war is a limited war.;;;;;;;;;x
WEDECLWAR_SETUP;When we declare war on another nation;When we declare war on another nation;When we declare war on another nation;;When we declare war on another nation;;;;;;;;;x
WEDECLWAR_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
WEDECLWAR_1;We declared war on;We declared war on;We declared war on;;We declared war on;;;;;;;;;x
WEDECLWAR_2;$DEFENDER$;$DEFENDER$;$DEFENDER$;;$DEFENDER$;;;;;;;;;x
WEDECLWAR_3;$LIM$;$LIM$;$LIM$;;$LIM$;;;;;;;;;x
WEDECLWAR_4;*;*;*;;*;;;;;;;;;x
WEDECLWAR_5;*;*;*;;*;;;;;;;;;x
WEDECLWAR_6;*;*;*;;*;;;;;;;;;x
WEDECLWAR_LOG;We declared war on $DEFENDER$.;We declared war on $DEFENDER$.;We declared war on $DEFENDER$.;;We declared war on $DEFENDER$.;;;;;;;;;x
WEDECLWAR_BTN1;OK;OK;OK;;OK;;;;;;;;;x
WEDECLWAR_BTN2;OK;OK;OK;;OK;;;;;;;;;x
WEDECLWAR_BTN3;Go to;Go to;Go to;;Go to;;;;;;;;;x
WEDECLWAR_MAP;WAR!;WAR!;WAR!;;WAR!;;;;;;;;;x
MILALLACCEPT_SETUP;When a nation accepts your Military Alliance proposal;When a nation accepts your Military Alliance proposal;When a nation accepts your Military Alliance proposal;;When a nation accepts your Military Alliance proposal;;;;;;;;;x
MILALLACCEPT_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
MILALLACCEPT_1;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;$RECIPIENT$;;;;;;;;;x
MILALLACCEPT_2;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;$MONARCHTITLE$, $RECIPIENT$;;$MONARCHTITLE$, $RECIPIENT$;;;;;;;;;x
MILALLACCEPT_3;accepted;accepted;accepted;;accepted;;;;;;;;;x
MILALLACCEPT_4;our offer to enter into a;our offer to enter into a;our offer to enter into a;;our offer to enter into a;;;;;;;;;x
MILALLACCEPT_5;Military Alliance;Military Alliance;Military Alliance;;Military Alliance;;;;;;;;;x
MILALLACCEPT_6;*;*;*;;*;;;;;;;;;x
MILALLACCEPT_LOG;$RECIPIENT$ entered our Military Alliance.;$RECIPIENT$ entered our Military Alliance.;$RECIPIENT$ entered our Military Alliance.;;$RECIPIENT$ entered our Military Alliance.;;;;;;;;;x
MILALLACCEPT_BTN1;Perfect!;Perfect!;Perfect!;;Perfect!;;;;;;;;;x
MILALLACCEPT_BTN2;Perfect!;Perfect!;Perfect!;;Perfect!;;;;;;;;;x
MILALLACCEPT_BTN3;Go to;Go to;Go to;;Go to;;;;;;;;;x
MILALLACCEPT_MAP;*;*;*;;*;;;;;;;;;x
