national_socialist_QIN;Manchu nobility;Manchu noblesse;Manchu Adel;;Manchu nobleza;;;;;;;;;;
fascistic_QIN;Zongshe Party;Parti Zongshe;Zongshe Partei;;Partido Zongshe;;;;;;;;;;
paternal_autocrat_QIN;Qing Dynasty;Dynastie Qing;Qing Dynastie;;Dinastia Qing;;;;;;;;;;
social_conservative_QIN;Self-Strengtheners Party;Parti Self-Renforceurs;Self-Verst?rkungen Partei;;Partido Auto-Fortalecedores;;;;;;;;;;
market_liberal_QIN;Hundred Days' Reformists;Parti réformiste des Cent jours;Hundert-Tage-Reformisten;;Reformistas de los Cien Días;;;;;;;;;;
social_liberal_QIN;Tongmenghui;Tongmenghui;Tongmenghui;;Tongmenghui;;;;;;;;;;
social_democrat_QIN;Wenxueshe;Wenxueshe;Wenxueshe;;Wenxueshe;;;;;;;;;;
left_wing_radical_QIN;Taiping Rebels;Les Rebelles Taiping;Taiping-Rebellen;;Los Rebeldes Taiping;;;;;;;;;;
leninist_QIN;Chinese Socialist Party;Parti socialiste chinois;Chinese Sozialistischen Partei;;Partido Socialista Chino;;;;;;;;;;
stalinist_QIN;Chinese Communist Party;Parti communiste chinois;Kommunistische Partei Chinas;;Partido Comunista Chino;;;;;;;;;;
national_socialist_ROC;Zongshe Party;Zongshe Party;Zongshe Party;;Zongshe Party;;;;;;;;;;x
fascistic_ROC;Military Clique;Military Clique;Military Clique;;Military Clique;;;;;;;;;;x
paternal_autocrat_ROC;Civil Party;Civil Party;Civil Party;;Civil Party;;;;;;;;;;x
social_conservative_ROC;Progressive Party;Progressive Party;Progressive Party;;Progressive Party;;;;;;;;;;x
market_liberal_ROC;Kuomintang;Kuomintang;Kuomintang;;Kuomintang;;;;;;;;;;x
social_liberal_ROC;Constitutionalist Party;Constitutionalist Party;Constitutionalist Party;;Constitutionalist Party;;;;;;;;;;x
social_democrat_ROC;China National Socialist Party;China National Socialist Party;China National Socialist Party;;China National Socialist Party;;;;;;;;;;x
left_wing_radical_ROC;China Socialist Party;China Socialist Party;China Socialist Party;;China Socialist Party;;;;;;;;;;x
leninist_ROC;Chinese Peasants' and Workers' Democratic Party;Chinese Peasants' and Workers' Democratic Party;Chinese Peasants' and Workers' Democratic Party;;Chinese Peasants' and Workers' Democratic Party;;;;;;;;;;x
stalinist_ROC;Communist Party of China;Communist Party of China;Communist Party of China;;Communist Party of China;;;;;;;;;;x
