galliptitle;Reinforcements Have Arrived;;Reinforcements Have Arrived;;;;;;;;;;;;x
gallipdesc;Reinforcements have arrived in Alexandria;;Reinforcements have arrived in Alexandria;;;;;;;;;;;;x
gallipoption;Excellent;;Excellent;;;;;;;;;;;;x
scouted;Scouted;;Scouted;;;;;;;;;;;;x
photographed;Photographed;;Photographed;;;;;;;;;;;;x
AIRSUP1;Positions Scouted;;Positions Scouted;;;;;;;;;;;;x
desc_AIRSUP1;The Central Powers have taken control of the air and scouted our positions, our troops will suffer from pinpoint artillery.;;The Central Powers have taken control of the air and scouted out positions, our troops will suffer from pinpoint artillery.;;;;;;;;;;;;x
opta_AIRSUP1;We must fight them in the air!;;We must fight them in the air!;;;;;;;;;;;;x
AIRSUP3;Positions Scouted;;Positions Scouted;;;;;;;;;;;;x
desc_AIRSUP3;The Entente have taken control of the air and scouted our positions, our troops will suffer from pinpoint artillery.;;The Central Powers have taken control of the air and scouted out positions, our troops will suffer from pinpoint artillery.;;;;;;;;;;;;x
opta_AIRSUP3;We must fight them in the air!;;We must fight them in the air!;;;;;;;;;;;;x
AIRSUP2;Positions Photographed;;Positions Photographed;;;;;;;;;;;;x
desc_AIRSUP2;The Central Powers have taken control of the air and photographed our positions, our troops will suffer from pinpoint artillery.;;The Central Powers have taken control of the air and photographed out positions, our troops will suffer from pinpoint artillery.;;;;;;;;;;;;x
opta_AIRSUP2;We must fight them in the air!;;We must fight them in the air!;;;;;;;;;;;;x
AIRSUP4;Positions Photographed;;Positions Photographed;;;;;;;;;;;;x
desc_AIRSUP4;The Entente have taken control of the air and photographed our positions, our troops will suffer from pinpoint artillery.;;The Central Powers have taken control of the air and photographed out positions, our troops will suffer from pinpoint artillery.;;;;;;;;;;;;x
opta_AIRSUP4;We must fight them in the air!;;We must fight them in the air!;;;;;;;;;;;;x
