AND_TRIGGER_STARTS;All of the below;All of the below;All of the below;;All of the below;;;;;;;;;x
IDEOLOGYG_IS_NOT_TRIGGER;Ruling Party is NOT §Y$NAME$§W.\n;Ruling Party is NOT §Y$NAME$§W.\n;Ruling Party is NOT §Y$NAME$§W.\n;;Ruling Party is NOT §Y$NAME$§W.\n;;;;;;;;;x
IDEOLOGYG_IS_EQUAL_TO_TRIGGER;Ruling Party is §Y$NAME$§W.\n;Ruling Party is §Y$NAME$§W.\n;Ruling Party is §Y$NAME$§W.\n;;Ruling Party is §Y$NAME$§W.\n;;;;;;;;;x
SPYMISSION_RAISE_NATIONAL_UNITY_TITLE;Raise National Unity;Raise National Unity;Raise National Unity;;Raise National Unity;;;;;;;;;x
SPYMISSION_RAISE_NATIONAL_UNITY_DESC;Through persuasion, patronage, outright bribery, or arrests we can convince key people in the country to support our regime more strongly, making us more unified. ;Through persuasion, patronage, outright bribery, or arrests we can convince key people in the country to support our regime more strongly, making us more unified. ;Through persuasion, patronage, outright bribery, or arrests we can convince key people in the country to support our regime more strongly, making us more unified. ;;Through persuasion, patronage, outright bribery, or arrests we can convince key people in the country to support our regime more strongly, making us more unified. ;;;;;;;;;x
SURRENDER_DETAILS_THEY;They have §Y$OCCUPATION$%§W of their important cities occupied, and are currently at a national unity of §Y$UNITY$%§W. If the occupation is higher than the national unity then they will surrender.;They have §Y$OCCUPATION$%§W of their important cities occupied, and are currently at a national unity of §Y$UNITY$%§W. If the occupation is higher than the national unity then they will surrender.;They have §Y$OCCUPATION$%§W of their important cities occupied, and are currently at a national unity of §Y$UNITY$%§W. If the occupation is higher than the national unity then they will surrender.;;They have §Y$OCCUPATION$%§W of their important cities occupied, and are currently at a national unity of §Y$UNITY$%§W. If the occupation is higher than the national unity then they will surrender.;;;;;;;;;x
Default;Default;Default;Default;;Default;;;;;;;;;x
UTM_LACK_OF_SUPPLIES;§YThis unit needs supplies to attack hostile territory.§W;§YThis unit needs supplies to attack hostile territory.§W;§YThis unit needs supplies to attack hostile territory.§W;;§YThis unit needs supplies to attack hostile territory.§W;;;;;;;;;x
RETREAT_TO_OI;Retreating to $WHERE$.;Retreating to $WHERE$.;Retreating to $WHERE$.;;Retreating to $WHERE$.;;;;;;;;;x
ATTACKING_TO_OI;Attacking $WHERE$.;Attacking $WHERE$.;Attacking $WHERE$.;;Attacking $WHERE$.;;;;;;;;;x
DEFENDING_OI;Defending.;Defending.;Defending.;;Defending.;;;;;;;;;x
RECOVERING_OI;Currently Reinforcing;Currently Reinforcing;Currently Reinforcing;;Currently Reinforcing;;;;;;;;;x
