alert_country_at_war_instant;即Country is at war!劬;即Country is at war!劬;即Country is at war!劬;;即Country is at war!劬;;;;;;;;;x
alert_country_at_war_delayed;Country is at war with $LIST$.;Country is at war with $LIST$.;Country is at war with $LIST$.;;Country is at war with $LIST$.;;;;;;;;;x
alert_troops_in_foreign_territory_instant;即You have troops in foreign territory.劬;即You have troops in foreign territory.劬;即You have troops in foreign territory.劬;;即You have troops in foreign territory.劬;;;;;;;;;x
alert_troops_in_foreign_territory_delayed;In $LIST$.;In $LIST$.;In $LIST$.;;In $LIST$.;;;;;;;;;x
alert_deployable_units_instant;即We have units available to be deployed.劬;即We have units available to be deployed.劬;即We have units available to be deployed.劬;;即We have units available to be deployed.劬;;;;;;;;;x
alert_deployable_units_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_revoltrisk_in_provinces_instant;即Possible Partisans劬;即Possible Partisans劬;即Possible Partisans劬;;即Possible Partisans劬;;;;;;;;;x
alert_revoltrisk_in_provinces_delayed;The following provinces run a risk of having a partisan uprising.\n$LIST$;The following provinces run a risk of having a partisan uprising.\n$LIST$;The following provinces run a risk of having a partisan uprising.\n$LIST$;;The following provinces run a risk of having a partisan uprising.\n$LIST$;;;;;;;;;x
alert_can_invite_to_faction_instant;即Possibility to invite to Faction劬;即Possibility to invite to Faction劬;即Possibility to invite to Faction劬;;即Possibility to invite to Faction劬;;;;;;;;;x
alert_can_invite_to_faction_delayed;You can invite $LIST$ to your faction.;You can invite $LIST$ to your faction.;You can invite $LIST$ to your faction.;;You can invite $LIST$ to your faction.;;;;;;;;;x
alert_resource_panic_instant;即Resource stockpile almost empty劬;即Resource stockpile almost empty劬;即Resource stockpile almost empty劬;;即Resource stockpile almost empty劬;;;;;;;;;x
alert_resource_panic_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_possible_law_instant;即More efficient laws can be enacted!劬;即More efficient laws can be enacted!劬;即More efficient laws can be enacted!劬;;即More efficient laws can be enacted!劬;;;;;;;;;x
alert_possible_law_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_free_tech_slots_instant;即More research possible.劬;即More research possible.劬;即More research possible.劬;;即More research possible.劬;;;;;;;;;x
alert_free_tech_slots_delayed;We are not using our leadership optimally, and there is a possibility for more research to be done.;We are not using our leadership optimally, and there is a possibility for more research to be done.;We are not using our leadership optimally, and there is a possibility for more research to be done.;;We are not using our leadership optimally, and there is a possibility for more research to be done.;;;;;;;;;x
alert_wasted_ic_instant;即IC wasted!劬;即IC wasted!劬;即IC wasted!劬;;即IC wasted!劬;;;;;;;;;x
alert_wasted_ic_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_tech_far_ahead_instant;即Inefficient research劬;即Inefficient research劬;即Inefficient research劬;;即Inefficient research劬;;;;;;;;;x
alert_tech_far_ahead_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_lack_of_troops_instant;即Lack of Troops劬;即Lack of Troops劬;即Lack of Troops劬;;即Lack of Troops劬;;;;;;;;;x
alert_lack_of_troops_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
alert_bad_supply_instant;即Units in poor supply劬;即Units in poor supply劬;即Units in poor supply劬;;即Units in poor supply劬;;;;;;;;;x
alert_bad_supply_delayed;$LIST$;$LIST$;$LIST$;;$LIST$;;;;;;;;;x
RES_OUT_IN_X_DAYS;Stockpiles of 即$NAME$劬 will be empty within 刪$DAYS$劬 days.;Stockpiles of 即$NAME$劬 will be empty within 刪$DAYS$劬 days.;Stockpiles of 即$NAME$劬 will be empty within 刪$DAYS$劬 days.;;Stockpiles of 即$NAME$劬 will be empty within 刪$DAYS$劬 days.;;;;;;;;;x
POSSIBLE_LAW;即$LAW$劬 (即$MONEY$劬) can be enacted as $GROUP$.;即$LAW$劬 (即$MONEY$劬) can be enacted as $GROUP$.;即$LAW$劬 (即$MONEY$劬) can be enacted as $GROUP$.;;即$LAW$劬 (即$MONEY$劬) can be enacted as $GROUP$.;;;;;;;;;x
POSSIBLE_WASTED;We are wasting 刪$IC$劬 IC on 即$NAME$劬.;We are wasting 刪$IC$劬 IC on 即$NAME$劬.;We are wasting 刪$IC$劬 IC on 即$NAME$劬.;;We are wasting 刪$IC$劬 IC on 即$NAME$劬.;;;;;;;;;x
TECH_AHEAD;即$NAME$劬 is 刪$YEAR$劬 years ahead in research.;即$NAME$劬 is 刪$YEAR$劬 years ahead in research.;即$NAME$劬 is 刪$YEAR$劬 years ahead in research.;;即$NAME$劬 is 刪$YEAR$劬 years ahead in research.;;;;;;;;;x
MAPMODE_1;Terrain Mapmode;Terrain Mapmode;Terrain Mapmode;;Terrain Mapmode;;;;;;;;;x
MAPMODE_2;Political Mapmode;Political Mapmode;Political Mapmode;;Political Mapmode;;;;;;;;;x
MAPMODE_3;Weather Mapmode;Weather Mapmode;Weather Mapmode;;Weather Mapmode;;;;;;;;;x
MAPMODE_4;Intel Mapmode;Intel Mapmode;Intel Mapmode;;Intel Mapmode;;;;;;;;;x
MAPMODE_5;Revoltrisk Mapmode;Revoltrisk Mapmode;Revoltrisk Mapmode;;Revoltrisk Mapmode;;;;;;;;;x
MAPMODE_6;Diplomatic Mapmode;Diplomatic Mapmode;Diplomatic Mapmode;;Diplomatic Mapmode;;;;;;;;;x
MAPMODE_7G;Region Mapmode;Region Mapmode;Region Mapmode;;Region Mapmode;;;;;;;;;x
MAPMODE_8;Supply Mapmode;Supply Mapmode;Supply Mapmode;;Supply Mapmode;;;;;;;;;x
MAPMODE_9;Infrastructure Mapmode;Infrastructure Mapmode;Infrastructure Mapmode;;Infrastructure Mapmode;;;;;;;;;x
MAPMODE_10;VP Mapmode;VP Mapmode;VP Mapmode;;VP Mapmode;;;;;;;;;x
MAPMODE_11;Theatre Mapmode;Theatre Mapmode;Theatre Mapmode;;Theatre Mapmode;;;;;;;;;x
MAPMODE_12;Strength Mapmode;Strength Mapmode;Strength Mapmode;;Strength Mapmode;;;;;;;;;x
MAPMODE_13;Resources Mapmode;Resources Mapmode;Resources Mapmode;;Resources Mapmode;;;;;;;;;x
MODIFIER_ADDED;$WHERE$ gets '即$WHAT$劬' until 即$DATE$劬, giving the following effects:\n$EFFECT$\n\n;$WHERE$ gets '即$WHAT$劬' until 即$DATE$劬, giving the following effects:\n$EFFECT$\n\n;$WHERE$ gets '即$WHAT$劬' until 即$DATE$劬, giving the following effects:\n$EFFECT$\n\n;;$WHERE$ gets '即$WHAT$劬' until 即$DATE$劬, giving the following effects:\n$EFFECT$\n\n;;;;;;;;;x
MODIFIER_INFRASTRUCTURE;Infrastructure;Infrastructure;Infrastructure;;Infrastructure;;;;;;;;;x
MODIFIER_LOCAL_INFRASTRUCTURE;Infrastructure;Infrastructure;Infrastructure;;Infrastructure;;;;;;;;;x
MODIFIER_GLOBAL_INFRASTRUCTURE;Infrastructure;Infrastructure;Infrastructure;;Infrastructure;;;;;;;;;x
MODIFIER_IC;IC;IC;IC;;IC;;;;;;;;;x
MODIFIER_LOCAL_IC;IC;IC;IC;;IC;;;;;;;;;x
MODIFIER_GLOBAL_IC;IC;IC;IC;;IC;;;;;;;;;x
MODIFIER_LOCAL_CRUDE_OIL;Crude Oil;Crude Oil;Crude Oil;;Crude Oil;;;;;;;;;x
MODIFIER_GLOBAL_CRUDE_OIL;Crude Oil;Crude Oil;Crude Oil;;Crude Oil;;;;;;;;;x
MODIFIER_LOCAL_ENERGY;Energy;Energy;Energy;;Energy;;;;;;;;;x
MODIFIER_GLOBAL_ENERGY;Energy;Energy;Energy;;Energy;;;;;;;;;x
MODIFIER_LOCAL_METAL;Metal;Metal;Metal;;Metal;;;;;;;;;x
MODIFIER_GLOBAL_METAL;Metal;Metal;Metal;;Metal;;;;;;;;;x
MODIFIER_LOCAL_RARE_MATERIALS;Rare Materials;Rare Materials;Rare Materials;;Rare Materials;;;;;;;;;x
MODIFIER_GLOBAL_RARE_MATERIALS;Rare Materials;Rare Materials;Rare Materials;;Rare Materials;;;;;;;;;x
MODIFIER_LOCAL_SUPPLIES;Supplies;Supplies;Supplies;;Supplies;;;;;;;;;x
MODIFIER_GLOBAL_SUPPLIES;Supplies;Supplies;Supplies;;Supplies;;;;;;;;;x
MODIFIER_LOCAL_FUEL;Fuel;Fuel;Fuel;;Fuel;;;;;;;;;x
