MINISTER_MESSAGE_ENTRY;$TITLE$ $NAME$;$TITLE$ $NAME$;$TITLE$ $NAME$;;$TITLE$ $NAME$;;;;;;;;;x
MINISTER_DEATH_SETUP;When a minister dies.;When a minister dies.;When a minister dies.;;When a minister dies.;;;;;;;;;x
MINISTER_DEATH_HEADER;Death;Death;Death;;Death;;;;;;;;;x
MINISTER_DEATH_1;$NAME$;$NAME$;$NAME$;;$NAME$;;;;;;;;;x
MINISTER_DEATH_2;has died. We no longer have the possibility of having $NAME$ in our cabinet.;has died. We no longer have the possibility of having $NAME$ in our cabinet.;has died. We no longer have the possibility of having $NAME$ in our cabinet.;;has died. We no longer have the possibility of having $NAME$ in our cabinet.;;;;;;;;;x
MINISTER_DEATH_3;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_4;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_5;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_6;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_LOG;$MINISTERNAME$ has died.;$MINISTERNAME$ has died.;$MINISTERNAME$ has died.;;$MINISTERNAME$ has died.;;;;;;;;;x
MINISTER_DEATH_BTN1;OK;OK;OK;;OK;;;;;;;;;x
MINISTER_DEATH_BTN2;OK;OK;OK;;OK;;;;;;;;;x
MINISTER_DEATH_BTN3;Details;Details;Details;;Details;;;;;;;;;x
MINISTER_DEATH_MAP;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_SETUP;When a new minister gets appointed;When a new minister gets appointed;When a new minister gets appointed;;When a new minister gets appointed;;;;;;;;;x
MINISTER_APPOINTED_HEADER;A new minister;A new minister;A new minister;;A new minister;;;;;;;;;x
MINISTER_APPOINTED_1;$MINISTERNAME$;$MINISTERNAME$;$MINISTERNAME$;;$MINISTERNAME$;;;;;;;;;x
MINISTER_APPOINTED_2;has been appointed to the position of $POSITION$;has been appointed to the position of $POSITION$;has been appointed to the position of $POSITION$;;has been appointed to the position of $POSITION$;;;;;;;;;x
MINISTER_APPOINTED_3;$PERSONALITY_DESC$;$PERSONALITY_DESC$;$PERSONALITY_DESC$;;$PERSONALITY_DESC$;;;;;;;;;x
MINISTER_APPOINTED_4;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_5;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_6;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_LOG;$MINISTERNAME$ appointed role as $POSITION$.;$MINISTERNAME$ appointed role as $POSITION$.;$MINISTERNAME$ appointed role as $POSITION$.;;$MINISTERNAME$ appointed role as $POSITION$.;;;;;;;;;x
MINISTER_APPOINTED_BTN1;OK;OK;OK;;OK;;;;;;;;;x
MINISTER_APPOINTED_BTN2;OK;OK;OK;;OK;;;;;;;;;x
MINISTER_APPOINTED_BTN3;Details;Details;Details;;Details;;;;;;;;;x
MINISTER_APPOINTED_MAP;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_SETUP;When an election is held;When an election is held;When an election is held;;When an election is held;;;;;;;;;x
ELECTIONRESULTS_HEADER;Election $ELECTION_YEAR$;Election $ELECTION_YEAR$;Election $ELECTION_YEAR$;;Election $ELECTION_YEAR$;;;;;;;;;x
ELECTIONRESULTS_1;$WINNING_PARTY$;$WINNING_PARTY$;$WINNING_PARTY$;;$WINNING_PARTY$;;;;;;;;;x
ELECTIONRESULTS_2;Won the election;Won the election;Won the election;;Won the election;;;;;;;;;x
ELECTIONRESULTS_3;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_4;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_5;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_6;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_LOG;$WINNING_PARTY$ won the election of $ELECTION_YEAR$.;$WINNING_PARTY$ won the election of $ELECTION_YEAR$.;$WINNING_PARTY$ won the election of $ELECTION_YEAR$.;;$WINNING_PARTY$ won the election of $ELECTION_YEAR$.;;;;;;;;;x
ELECTIONRESULTS_BTN1;OK;OK;OK;;OK;;;;;;;;;x
ELECTIONRESULTS_BTN2;OK;OK;OK;;OK;;;;;;;;;x
ELECTIONRESULTS_BTN3;Details;Details;Details;;Details;;;;;;;;;x
ELECTIONRESULTS_MAP;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHEROPTION_SETUP;When a historical event with multiple choices happens to another country.;When a historical event with multiple choices happens to another country.;When a historical event with multiple choices happens to another country.;;When a historical event with multiple choices happens to another country.;;;;;;;;;x
EVENTHAPPENOTHEROPTION_HEADER;$foreign_minister$ reports on;$foreign_minister$ reports on;$foreign_minister$ reports on;;$foreign_minister$ reports on;;;;;;;;;x
EVENTHAPPENOTHEROPTION_1;$COUNTRY$;$COUNTRY$;$COUNTRY$;;$COUNTRY$;;;;;;;;;x
EVENTHAPPENOTHEROPTION_2;They tell us about the events of;They tell us about the events of;They tell us about the events of;;They tell us about the events of;;;;;;;;;x
EVENTHAPPENOTHEROPTION_3;$EVENT$;$EVENT$;$EVENT$;;$EVENT$;;;;;;;;;x
EVENTHAPPENOTHEROPTION_4;among the possible options, they went with;among the possible options, they went with;among the possible options, they went with;;among the possible options, they went with;;;;;;;;;x
EVENTHAPPENOTHEROPTION_5;$OPTION$;$OPTION$;$OPTION$;;$OPTION$;;;;;;;;;x
EVENTHAPPENOTHEROPTION_6;as their choice of action.;as their choice of action.;as their choice of action.;;as their choice of action.;;;;;;;;;x
EVENTHAPPENOTHEROPTION_LOG;Event: '$OPTION$' in '$EVENT$' for $COUNTRY$.;Event: '$OPTION$' in '$EVENT$' for $COUNTRY$.;Event: '$OPTION$' in '$EVENT$' for $COUNTRY$.;;Event: '$OPTION$' in '$EVENT$' for $COUNTRY$.;;;;;;;;;x
EVENTHAPPENOTHEROPTION_BTN1;OK;OK;OK;;OK;;;;;;;;;x
EVENTHAPPENOTHEROPTION_BTN2;OK;OK;OK;;OK;;;;;;;;;x
EVENTHAPPENOTHEROPTION_BTN3;GOTO;GOTO;GOTO;;GOTO;;;;;;;;;x
EVENTHAPPENOTHEROPTION_MAP;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHER_SETUP;When a historical event with a single choice happens to another country.;When a historical event with a single choice happens to another country.;When a historical event with a single choice happens to another country.;;When a historical event with a single choice happens to another country.;;;;;;;;;x
EVENTHAPPENOTHER_HEADER;$foreign_minister$ reports on;$foreign_minister$ reports on;$foreign_minister$ reports on;;$foreign_minister$ reports on;;;;;;;;;x
EVENTHAPPENOTHER_1;$COUNTRY$;$COUNTRY$;$COUNTRY$;;$COUNTRY$;;;;;;;;;x
EVENTHAPPENOTHER_2;They tell us about the events of;They tell us about the events of;They tell us about the events of;;They tell us about the events of;;;;;;;;;x
EVENTHAPPENOTHER_3;$EVENT$;$EVENT$;$EVENT$;;$EVENT$;;;;;;;;;x
EVENTHAPPENOTHER_4;which has happened to their country recently.;which has happened to their country recently.;which has happened to their country recently.;;which has happened to their country recently.;;;;;;;;;x
EVENTHAPPENOTHER_5;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHER_6;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHER_LOG;Event: '$EVENT$' in $COUNTRY$.;Event: '$EVENT$' in $COUNTRY$.;Event: '$EVENT$' in $COUNTRY$.;;Event: '$EVENT$' in $COUNTRY$.;;;;;;;;;x
EVENTHAPPENOTHER_BTN1;OK;OK;OK;;OK;;;;;;;;;x
EVENTHAPPENOTHER_BTN2;OK;OK;OK;;OK;;;;;;;;;x
EVENTHAPPENOTHER_BTN3;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHER_MAP;*;*;*;;*;;;;;;;;;x
