OL_SHIPS;Ships;Ships;Ships;;Ships;;;;;;;;;x
OL_TROOPS;Troops;Troops;Troops;;Troops;;;;;;;;;x
OL_COLONISTS_DESC;Our Colonist has 即$CHANCE$劬% chance of success. The Colony currently has 即$NUM$劬 Colonists and 即$NATIVES$劬 natives living there.;Our Colonist has 即$CHANCE$劬% chance of success. The Colony currently has 即$NUM$劬 Colonists and 即$NATIVES$劬 natives living there.;Our Colonist has 即$CHANCE$劬% chance of success. The Colony currently has 即$NUM$劬 Colonists and 即$NATIVES$劬 natives living there.;;Our Colonist has 即$CHANCE$劬% chance of success. The Colony currently has 即$NUM$劬 Colonists and 即$NATIVES$劬 natives living there.;;;;;;;;;x
OL_NONE;no;no;no;;no;;;;;;;;;x
OL_ARMY;This army currently $COMMANDER$ and is standing in 即$PROV$劬.;This army currently $COMMANDER$ and is standing in 即$PROV$劬.;This army currently $COMMANDER$ and is standing in 即$PROV$劬.;;This army currently $COMMANDER$ and is standing in 即$PROV$劬.;;;;;;;;;x
OL_NOCOMMANDER;has no commander;has no commander;has no commander;;has no commander;;;;;;;;;x
OL_COMMANDER;is under the command of $COMMANDER$;is under the command of $COMMANDER$;is under the command of $COMMANDER$;;is under the command of $COMMANDER$;;;;;;;;;x
OL_ARMY_MOVE;It is on the move towards 即$DEST$劬.;It is on the move towards 即$DEST$劬.;It is on the move towards 即$DEST$劬.;;It is on the move towards 即$DEST$劬.;;;;;;;;;x
OL_NAVY;This navy currently $COMMANDER$ and is located in 即$PROV$劬.;This navy currently $COMMANDER$ and is located in 即$PROV$劬.;This navy currently $COMMANDER$ and is located in 即$PROV$劬.;;This navy currently $COMMANDER$ and is located in 即$PROV$劬.;;;;;;;;;x
OL_NAVY_MOVE;It has set sail towards 即$DEST$劬.;It has set sail towards 即$DEST$劬.;It has set sail towards 即$DEST$劬.;;It has set sail towards 即$DEST$劬.;;;;;;;;;x
OL_NAVAL_BASE;The $PROV$ naval base currently has $NUM$ units assigned;The $PROV$ naval base currently has $NUM$ units assigned;The $PROV$ naval base currently has $NUM$ units assigned;;The $PROV$ naval base currently has $NUM$ units assigned;;;;;;;;;x
OL_AIR_UNITS;Air Units;Air Units;Air Units;;Air Units;;;;;;;;;x
OL_AIR;This air unit currently $COMMANDER$ and is located in 即$PROV$劬.;This air unit currently $COMMANDER$ and is located in 即$PROV$劬.;This air unit currently $COMMANDER$ and is located in 即$PROV$劬.;;This air unit currently $COMMANDER$ and is located in 即$PROV$劬.;;;;;;;;;x
OL_AIR_MOVE;It has set flying towards 即$DEST$劬.;It has set flying towards 即$DEST$劬.;It has set flying towards 即$DEST$劬.;;It has set flying towards 即$DEST$劬.;;;;;;;;;x
OL_AIR_BASE;The $PROV$ airbase currently has $NUM$ units assigned;The $PROV$ airbase currently has $NUM$ units assigned;The $PROV$ airbase currently has $NUM$ units assigned;;The $PROV$ airbase currently has $NUM$ units assigned;;;;;;;;;x
OL_COMBATS;Land Combat;Land Combat;Land Combat;;Land Combat;;;;;;;;;x
OL_NAVAL_COMBAT;Naval Combat;Naval Combat;Naval Combat;;Naval Combat;;;;;;;;;x
OL_AIR_COMBAT;Air Combat;Air Combat;Air Combat;;Air Combat;;;;;;;;;x
