REMOVE_PROVINCE_FUEL_EFFECT;Lose §R$VALUE$§W fuel in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W fuel in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W fuel in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W fuel in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_PROVINCE_FUEL_EFFECT;Gain §G$VALUE$§W fuel in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W fuel in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W fuel in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W fuel in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_FUEL_EFFECT;Gain §G$VALUE$§W fuel§W.\n;Gain §G$VALUE$§W fuel§W.\n;Gain §G$VALUE$§W fuel§W.\n;;Gain §G$VALUE$§W fuel§W.\n;;;;;;;;;x
REMOVE_FUEL_EFFECT;Lose §R$VALUE$§W fuel§W.\n;Lose §R$VALUE$§W fuel§W.\n;Lose §R$VALUE$§W fuel§W.\n;;Lose §R$VALUE$§W fuel§W.\n;;;;;;;;;x
ADD_OFFICERS_EFFECT;§Y$COUNTRY$§W gains §G$VALUE$§W officers§W.\n;§Y$COUNTRY$§W gains §G$VALUE$§W officers§W.\n;§Y$COUNTRY$§W gains §G$VALUE$§W officers§W.\n;;§Y$COUNTRY$§W gains §G$VALUE$§W officers§W.\n;;;;;;;;;x
REMOVE_OFFICERS_EFFECT;§Y$COUNTRY$§W loses §R$VALUE$§W officers§W.\n;§Y$COUNTRY$§W loses §R$VALUE$§W officers§W.\n;§Y$COUNTRY$§W loses §R$VALUE$§W officers§W.\n;;§Y$COUNTRY$§W loses §R$VALUE$§W officers§W.\n;;;;;;;;;x
EVTNAME524;Danish Surrender to Germany;Danish Surrender to Germany;Danish Surrender to Germany;;Danish Surrender to Germany;;;;;;;;;x
EVTDESC524;When German forces crossed the Danish border on 9 April 1940, they encountered little organised resistance. Faced with an explicit threat of aerial bombardment of Copenhagen by the Germans, the Danish government capitulated that same day.;When German forces crossed the Danish border on 9 April 1940, they encountered little organised resistance. Faced with an explicit threat of aerial bombardment of Copenhagen by the Germans, the Danish government capitulated that same day.;When German forces crossed the Danish border on 9 April 1940, they encountered little organised resistance. Faced with an explicit threat of aerial bombardment of Copenhagen by the Germans, the Danish government capitulated that same day.;;When German forces crossed the Danish border on 9 April 1940, they encountered little organised resistance. Faced with an explicit threat of aerial bombardment of Copenhagen by the Germans, the Danish government capitulated that same day.;;;;;;;;;x
EVTOPTA524;We need to save our capital!;We need to save our capital!;We need to save our capital!;;We need to save our capital!;;;;;;;;;x
EVTNAME525;Yugoslavian Surrender;Yugoslavian Surrender;Yugoslavian Surrender;;Yugoslavian Surrender;;;;;;;;;x
