MAX_STRENGTH;Max Strength;Max Strength;Max Strength;;Max Strength;;;;;;;;;x
DEFAULT_ORG;Organisation;Organisation;Organisation;;Organisation;;;;;;;;;x
DEFAULT_MORALE;Morale;Morale;Morale;;Morale;;;;;;;;;x
BUILD_COST_IC;IC Build Cost;IC Build Cost;IC Build Cost;;IC Build Cost;;;;;;;;;x
BUILD_COST_MP;Manpower Cost;Manpower Cost;Manpower Cost;;Manpower Cost;;;;;;;;;x
BUILD_TIME;Build Time;Build Time;Build Time;;Build Time;;;;;;;;;x
MAXIMUM_SPEED;Max Speed;Max Speed;Max Speed;;Max Speed;;;;;;;;;x
TRANSPORT_WEIGHT;Weight;Weight;Weight;;Weight;;;;;;;;;x
SUPPLY_CONSUMPTION;Supply Consumption;Supply Consumption;Supply Consumption;;Supply Consumption;;;;;;;;;x
FUEL_CONSUMPTION;Fuel Consumption;Fuel Consumption;Fuel Consumption;;Fuel Consumption;;;;;;;;;x
DEFENSIVENESS;Defensiveness;Defensiveness;Defensiveness;;Defensiveness;;;;;;;;;x
TOUGHNESS;Toughness;Toughness;Toughness;;Toughness;;;;;;;;;x
SOFTNESS;Softness;Softness;Softness;;Softness;;;;;;;;;x
AIR_DEFENCE;Air Defence;Air Defence;Air Defence;;Air Defence;;;;;;;;;x
SUPPRESSION;Suppression;Suppression;Suppression;;Suppression;;;;;;;;;x
SOFT_ATTACK;Soft Attack;Soft Attack;Soft Attack;;Soft Attack;;;;;;;;;x
HARD_ATTACK;Hard Attack;Hard Attack;Hard Attack;;Hard Attack;;;;;;;;;x
AIR_ATTACK;Air Attack;Air Attack;Air Attack;;Air Attack;;;;;;;;;x
COMBAT_WIDTH;Combat Width;Combat Width;Combat Width;;Combat Width;;;;;;;;;x
GDE_FROM_TECH;Ground Defence Efficiency;Ground Defence Efficiency;Ground Defence Efficiency;;Ground Defence Efficiency;;;;;;;;;x
DIGIN_FROM_TECH;Dig-In Cap;Dig-In Cap;Dig-In Cap;;Dig-In Cap;;;;;;;;;x
ATTACK_DELAY_FROM_TECH;Delay between attacks reduced with;Delay between attacks reduced with;Delay between attacks reduced with;;Delay between attacks reduced with;;;;;;;;;x
AD_HOURS;hours;hours;hours;;hours;;;;;;;;;x
DIVISION_SIZE_FROM_TECH;Allowed Brigades in Division;Allowed Brigades in Division;Allowed Brigades in Division;;Allowed Brigades in Division;;;;;;;;;x
SUPPLY_TRANSFER_COST_TECH;Supply Transfer Cost;Supply Transfer Cost;Supply Transfer Cost;;Supply Transfer Cost;;;;;;;;;x
SUPPLY_THROUGHPUT_TECH;Supply Throughput;Supply Throughput;Supply Throughput;;Supply Throughput;;;;;;;;;x
REFINERY_EFFICIENCY_TECH;Refining Efficiency;Refining Efficiency;Refining Efficiency;;Refining Efficiency;;;;;;;;;x
RADAR_EFFICIENCY_TECH;Radar Efficiency;Radar Efficiency;Radar Efficiency;;Radar Efficiency;;;;;;;;;x
RADIO_STRENGTH_TECH;Radio Strength;Radio Strength;Radio Strength;;Radio Strength;;;;;;;;;x
DECRYPTION_TECH;Decryption Ability;Decryption Ability;Decryption Ability;;Decryption Ability;;;;;;;;;x
ENCRYPTION_TECH;Encryption Ability;Encryption Ability;Encryption Ability;;Encryption Ability;;;;;;;;;x
INTEL_OP_US_TECH;Intel ops;Intel ops;Intel ops;;Intel ops;;;;;;;;;x
INTEL_OP_THEM_TECH;Counterintel ops;Counterintel ops;Counterintel ops;;Counterintel ops;;;;;;;;;x
CONVOY_COST_TECH;Convoy Build Cost;Convoy Build Cost;Convoy Build Cost;;Convoy Build Cost;;;;;;;;;x
CONVOY_TIME_TECH;Convoy Build Time;Convoy Build Time;Convoy Build Time;;Convoy Build Time;;;;;;;;;x
ESCORT_COST_TECH;Escort Build Cost;Escort Build Cost;Escort Build Cost;;Escort Build Cost;;;;;;;;;x
ESCORT_TIME_TECH;Escort Build Time;Escort Build Time;Escort Build Time;;Escort Build Time;;;;;;;;;x
UNIT_COOP_TECH;Unit Cooperation;Unit Cooperation;Unit Cooperation;;Unit Cooperation;;;;;;;;;x
COMBINED_ARMS_TECH;Combined Arms Bonus;Combined Arms Bonus;Combined Arms Bonus;;Combined Arms Bonus;;;;;;;;;x
REINFORCE_CHANCE_TECH;Combat Reinforcement Chance;Combat Reinforcement Chance;Combat Reinforcement Chance;;Combat Reinforcement Chance;;;;;;;;;x
ATTACK_MOVEMENT_SPEED_TECH;Attack Movement;Attack Movement;Attack Movement;;Attack Movement;;;;;;;;;x
ENABLE_UNIT_TECH;Allow construction of;Allow construction of;Allow construction of;;Allow construction of;;;;;;;;;x
ENABLE_BUILDING_TECH;Allow construction of;Allow construction of;Allow construction of;;Allow construction of;;;;;;;;;x
TRANSPORT_CAPABILITY;Transport Capability;Transport Capability;Transport Capability;;Transport Capability;;;;;;;;;x
RANGE;Range;Range;Range;;Range;;;;;;;;;x
DISTANCE;Distance;Distance;Distance;;Distance;;;;;;;;;x
SURFACE_DETECTION;Surface Detection;Surface Detection;Surface Detection;;Surface Detection;;;;;;;;;x
AIR_DETECTION;Air Detection;Air Detection;Air Detection;;Air Detection;;;;;;;;;x
SUB_DETECTION;Sub Detection;Sub Detection;Sub Detection;;Sub Detection;;;;;;;;;x
VISIBILITY;Visibility;Visibility;Visibility;;Visibility;;;;;;;;;x
SEA_DEFENCE;Sea Defence;Sea Defence;Sea Defence;;Sea Defence;;;;;;;;;x
CONVOY_ATTACK;Convoy Attack;Convoy Attack;Convoy Attack;;Convoy Attack;;;;;;;;;x
SEA_ATTACK;Sea Attack;Sea Attack;Sea Attack;;Sea Attack;;;;;;;;;x
SUB_ATTACK;Sub Attack;Sub Attack;Sub Attack;;Sub Attack;;;;;;;;;x
SHORE_BOMBARDMENT;Shore Bombardment;Shore Bombardment;Shore Bombardment;;Shore Bombardment;;;;;;;;;x
SURFACE_DEFENCE;Surface Defence;Surface Defence;Surface Defence;;Surface Defence;;;;;;;;;x
STRATEGIC_ATTACK;Strategic Attack;Strategic Attack;Strategic Attack;;Strategic Attack;;;;;;;;;x
