xxxx;;;;;;;;;;;;;;x
WAREXHAUSTION_EFFECT;$DIRECTION$ $VALUE$ war exhaustion.\n;$DIRECTION$ $VALUE$ war exhaustion.\n;$DIRECTION$ $VALUE$ war exhaustion.\n;;$DIRECTION$ $VALUE$ war exhaustion.\n;;;;;;;;;x
ARMYTRADITION_EFFECT;$DIRECTION$ $VALUE$ army tradition.\n;$DIRECTION$ $VALUE$ army tradition.\n;$DIRECTION$ $VALUE$ army tradition.\n;;$DIRECTION$ $VALUE$ army tradition.\n;;;;;;;;;x
NAVYTRADITION_EFFECT;$DIRECTION$ $VALUE$ navy tradition.\n;$DIRECTION$ $VALUE$ navy tradition.\n;$DIRECTION$ $VALUE$ navy tradition.\n;;$DIRECTION$ $VALUE$ navy tradition.\n;;;;;;;;;x
BADBOY_EFFECT;$DIRECTION$ $VALUE$ reputation.\n;$DIRECTION$ $VALUE$ reputation.\n;$DIRECTION$ $VALUE$ reputation.\n;;$DIRECTION$ $VALUE$ reputation.\n;;;;;;;;;x
CAPITAL_CHANGE;即$NEW$劬 will become the new capital.\n;即$NEW$劬 will become the new capital.\n;即$NEW$劬 will become the new capital.\n;;即$NEW$劬 will become the new capital.\n;;;;;;;;;x
NEW_CORE_EFFECT;Gain core on 即$NEW$劬.\n;Gain core on 即$NEW$劬.\n;Gain core on 即$NEW$劬.\n;;Gain core on 即$NEW$劬.\n;;;;;;;;;x
LOSE_CORE_EFFECT;Lose core on 即$LOSE$劬.\n;Lose core on 即$LOSE$劬.\n;Lose core on 即$LOSE$劬.\n;;Lose core on 即$LOSE$劬.\n;;;;;;;;;x
GAIN_CB;Gain casus-belli on 即$WHO$劬.\n;Gain casus-belli on 即$WHO$劬.\n;Gain casus-belli on 即$WHO$劬.\n;;Gain casus-belli on 即$WHO$劬.\n;;;;;;;;;x
REV_GAIN_CB;即$ACTIVE$劬 gains a casus-belli on 即$PASSIVE$劬.\n;即$ACTIVE$劬 gains a casus-belli on 即$PASSIVE$劬.\n;即$ACTIVE$劬 gains a casus-belli on 即$PASSIVE$劬.\n;;即$ACTIVE$劬 gains a casus-belli on 即$PASSIVE$劬.\n;;;;;;;;;x
RELATION_CHANGE;Relation between 即$ACTIVE$劬 and 即$PASSIVE$劬 changed by $MUCH$.\n;Relation between 即$ACTIVE$劬 and 即$PASSIVE$劬 changed by $MUCH$.\n;Relation between 即$ACTIVE$劬 and 即$PASSIVE$劬 changed by $MUCH$.\n;;Relation between 即$ACTIVE$劬 and 即$PASSIVE$劬 changed by $MUCH$.\n;;;;;;;;;x
ADD_IDEA;Gain a 即$NEW$劬 as a new idea.\n;Gain a 即$NEW$劬 as a new idea.\n;Gain a 即$NEW$劬 as a new idea.\n;;Gain a 即$NEW$劬 as a new idea.\n;;;;;;;;;x
