national_socialist_AFG;Afghan Nationalist Party;Parti nationaliste afghan;Nationalistische Partei Afghanistans;;Partido Nacionalista Afgano;;;;;;;;;;,,
fascistic_AFG;Afghan Fascist League;Ligue fasciste afghane;Faschistische Liga Afghanistan;;Liga Fascista Afgana;;;;;;;;;;,,
paternal_autocrat_AFG;National Revolutionary Party;Parti national révolutionnaire;Nationale Revolutionspartei;;Partido Revolucionario Nacional;;;;;;;;;;,,
social_conservative_AFG;Afghan Conservative Party;Parti conservateur afghan;Konservative Partei Afghanistans;;Partido Conservador Afgano;;;;;;;;;;,,
market_liberal_AFG;Afghan Liberal Party;Parti libéral afghan;Liberale Partei Afghanistans;;Partido Liberal Afgano;;;;;;;;;;,,
social_liberal_AFG;NCPA;NCPA;NCPA;;NCPA;;;;;;;;;;,,
social_democrat_AFG;Afghan Social Democratic Party;Parti social démocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdemócrata Afgano;;;;;;;;;;,,
left_wing_radical_AFG;RGPA;RGPA;RGPA;;RGPA;;;;;;;;;;,,
leninist_AFG;PDPA;PDPA;PDPA;;PDPA;;;;;;;;;;,,
stalinist_AFG;Communist Party of Afghanistan;Parti communiste afghan;Kommunistische Partei Afghanistans;;Partido Comunista de Afganistán;;;;;;;;;;,,
national_socialist_ALB;PNSh;PNSh;PNSh;;PNSh;;;;;;;;;;,,
fascistic_ALB;PFSh;PFSh;PFSh;;PFSh;;;;;;;;;;,,
paternal_autocrat_ALB;PMSh;PMSh;PMSh;;PMSh;;;;;;;;;;,,
social_conservative_ALB;PBKSh;PBKSh;PBKSh;;PBKSh;;;;;;;;;;,,
market_liberal_ALB;PRSh;PRSh;PRSh;;PRSh;;;;;;;;;;,,
social_liberal_ALB;PDSh;PDSh;PDSh;;PDSh;;;;;;;;;;,,
social_democrat_ALB;PSSh;PSSh;PSSh;;PSSh;;;;;;;;;;,,
left_wing_radical_ALB;PLPSh;PLPSh;PLPSh;;PLPSh;;;;;;;;;;,,
leninist_ALB;PKSh;PKSh;PKSh;;PKSh;;;;;;;;;;,,
stalinist_ALB;PPSh;PPSh;PPSh;;PPSh;;;;;;;;;;,,
national_socialist_ARG;Movimiento Nacional Socialista;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;,,
fascistic_ARG;Frente Justicialista;Frente Justicialista;Frente Justicialista;;Frente Justicialista;;;;;;;;;;,,
paternal_autocrat_ARG;Partido Justicialista;Partido Justicialista;Partido Justicialista,;;Partido Justicialista,;;;;;;;;;;
social_conservative_ARG;Partido Demócrata Cristiano;Partido Demócrata Cristiano;Partido Demócrata Cristiano;;Partido Demócrata Cristiano;;;;;;;;;;,,
market_liberal_ARG;Partido Nacional;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;,,
social_liberal_ARG;Frente para la Victoria;Frente para la Victoria;Frente para la Victoria;;Frente para la Victoria;;;;;;;;;;,,
social_democrat_ARG;Partido Socialista;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;,,
left_wing_radical_ARG;Unión Cívica Radical;Unión Cívica Radical;Unión Cívica Radical;;Unión Cívica Radical;;;;;;;;;;,,
leninist_ARG;Partido Obrero;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;,,
stalinist_ARG;Partido Comunista de la Argentina;Partido Comunista de la Argentina;Partido Comunista de la Argentina;;Partido Comunista de la Argentina;;;;;;;;;;,,
national_socialist_AUS;NSDAP;NSDAP;NSDAP;;NSDAP;;;;;;;;;;,,
fascistic_AUS;VF;VF;VF;;VF;;;;;;;;;;,,
paternal_autocrat_AUS;GDVP;GDVP;GDVP;;GDVP;;;;;;;;;;,,
social_conservative_AUS;CSP;CSP;CSP;;CSP;;;;;;;;;;,,
market_liberal_AUS;Landbund;Landbund;Landbund;;Landbund;;;;;;;;;;,,
social_liberal_AUS;ÖSLP;ÖSLP;ÖSLP;;ÖSLP;;;;;;;;;;,,
social_democrat_AUS;SDAP?SDAP?SDAP?;SDAP?;;;;;;;;;,,
left_wing_radical_AUS;Schutzbund;Schutzbund;Schutzbund;;Schutzbund;;;;;;;;;;,,
leninist_AUS;MLP?SDAP?MLP?;MLP?;;;;;;;;;,,
stalinist_AUS;KPD?Schutzbund;KPD?;KPD?;;;;;;;;;,,
national_socialist_BEL;Verdinaso;Verdinaso;Verdinaso;;Verdinaso;;;;;;;;;;,,
fascistic_BEL;Rex;Rex;Rex;;Rex;;;;;;;;;;,,
paternal_autocrat_BEL;VNV;VNV;VNV;;VNV;;;;;;;;;;,,
social_conservative_BEL;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;;Katholieke Unie-Union Catholique;;;;;;;;;;,,
market_liberal_BEL;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;;Liberale Partij-Parti Libéral;;;;;;;;;;,,
social_liberal_BEL;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;;Afgescheurde Liberalen-Libéraux Déchirés;;;;;;;;;;,,
social_democrat_BEL;BWP-BOP;BWP-BOP;BWP-BOP;;BWP-BOP;;;;;;;;;;,,
left_wing_radical_BEL;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;;Rev.Soc.Actie-Action Soc.Rev.;;;;;;;;;;,,
leninist_BEL;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;;Lijst Van Overstraeten-Liste Van Overstraeten;;;;;;;;;;,,
stalinist_BEL;KPB-PCB;KPB-PCB;KPB-PCB;;KPB-PCB;;;;;;;;;;,,
national_socialist_BHU;Bhutan National Socialist Party;Parti national socialiste du Bhoutan;Nationalsolzialistische Partei Bhutans;;Partido Nacionalsocialista de Bután;;;;;;;;;;,,
fascistic_BHU;Bhutan Fascist League;Ligue fasciste du Bhoutan;Faschistische Liga Bhutan;;Liga Fascista de Bután;;;;;;;;;;,,
paternal_autocrat_BHU;Bhutan Peace and Prosperity Party;Parti de la paix et de la prospérit?du Bhoutan;Friedens- und Wohlstandspartei Bhutans;;Partido de la Paz y la Prosperidad de Bután;;;;;;;;;;,,
social_conservative_BHU;Bhutan Conservative Party;Parti conservateur du Bhoutan;Konservative Partei Bhutans;;Partido Conservador de Bután;;;;;;;;;;,,
market_liberal_BHU;Bhutan National Democratic Party ;Parti national démocratique du Bhoutan;Nationaldemokratische Partei Bhutans;;Partido Nacional Demócrata de Bután ;;;;;;;;;;,,
social_liberal_BHU;Bhutan National Congress Party;Parti national du Congrès du Bhoutan;Nationalkongresspartei Bhutans;;Partido del Congreso Nacional de Bután;;;;;;;;;;,,
social_democrat_BHU;People's Democratic Party;Parti démocratique populaire;Demokratische Volkspartei;;Partido Democrátrico del Pueblo;;;;;;;;;;,,
left_wing_radical_BHU;Bhutan Peoples' Party;Parti du peuple du Bhoutan;Bhutanische Volkspartei;;Partido del Pueblo de Bután;;;;;;;;;;,,
leninist_BHU;Bhutan Communist Party;Parti communiste du Bhoutan;Kommunistische Partei Bhutans;;Partido Comunista de Bután;;;;;;;;;;,,
stalinist_BHU;Communist Party of Bhutan;Parti communiste bhoutanais;Kommunistische Partei von Bhutan;;Partido Comunista de Bután;;;;;;;;;;,,
national_socialist_BOL;Movimiento Nacional Socialista;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;,,
fascistic_BOL;Falange Socialista Boliviana;Falange Socialista Boliviana;Falange Socialista Boliviana;;Falange Socialista Boliviana;;;;;;;;;;,,
paternal_autocrat_BOL;Nueva Fuerza Republicana;Nueva Fuerza Republicana;Nueva Fuerza Republicana;;Nueva Fuerza Republicana;;;;;;;;;;,,
social_conservative_BOL;Unidad Cívica Solidaridad;Unidad Cívica Solidaridad;Unidad Cívica Solidaridad;;Unidad Cívica Solidaridad;;;;;;;;;;,,
market_liberal_BOL;Partido Liberal;Partido Liberal;Partido Liberal;;Partido Liberal;;;;;;;;;;,,
