AUH_armored_car_brigade_0;Austro-Daimler Armored Car;Austro-Daimler Armored Car;Austro-Daimler Armored Car;;Austro-Daimler Armored Car;;;;;;;;;x
AUH_armored_car_brigade_1;Junovicz Armored Car;Junovicz Armored Car;Junovicz Armored Car;;Junovicz Armored Car;;;;;;;;;x
AUH_armored_car_brigade_2;Romfell Armored Car;Romfell Armored Car;Romfell Armored Car;;Romfell Armored Car;;;;;;;;;x
BEL_armored_car_brigade_0;Minerva Armored Car;Minerva Armored Car;Minerva Armored Car;;Minerva Armored Car;;;;;;;;;x
BEL_armored_car_brigade_1;SAVA Armored Car;SAVA Armored Car;SAVA Armored Car;;SAVA Armored Car;;;;;;;;;x
RUS_armored_car_brigade_0;Armstrong-Withworth;Armstrong-Withworth;Armstrong-Withworth;;Armstrong-Withworth;;;;;;;;;x
RUS_armored_car_brigade_1;Mgebrov-Renault;Mgebrov-Renault;Mgebrov-Renault;;Mgebrov-Renault;;;;;;;;;x
ENG_armored_car_brigade_3;Austin Armored Car;Austin Armored Car;Austin Armored Car;;Austin Armored Car;;;;;;;;;x
ENG_artillery_brigade_0;Ordnance BL 15pdr;Ordnance BL 15pdr;Ordnance BL 15pdr;;Ordnance BL 15pdr;;;;;;;;;x
ENG_artillery_brigade_1;Ordnance QF 4.5inch;Ordnance QF 4.5inch;Ordnance QF 4.5inch;;Ordnance QF 4.5inch;;;;;;;;;x
ENG_artillery_brigade_10;BL 4.5inch;BL 4.5inch;BL 4.5inch;;BL 4.5inch;;;;;;;;;x
ENG_artillery_brigade_11;155mm Howitzer;155mm Howitzer;155mm Howitzer;;155mm Howitzer;;;;;;;;;x
ENG_artillery_brigade_2;BL 6inch Mk. VII;BL 6inch Mk. VII;BL 6inch Mk. VII;;BL 6inch Mk. VII;;;;;;;;;x
ENG_artillery_brigade_3;BL 8inch Mk. VI;BL 8inch Mk. VI;BL 8inch Mk. VI;;BL 8inch Mk. VI;;;;;;;;;x
ENG_artillery_brigade_4;BL 6inch Mk. XIX;BL 6inch Mk. XIX;BL 6inch Mk. XIX;;BL 6inch Mk. XIX;;;;;;;;;x
ENG_artillery_brigade_5;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;Ordnance QF 18pdr Mk II;;Ordnance QF 18pdr Mk II;;;;;;;;;x
ENG_artillery_brigade_6;Ordnance QF 18pdr Mk III;Ordnance QF 18pdr Mk III;Ordnance QF 18pdr Mk III;;Ordnance QF 18pdr Mk III;;;;;;;;;x
ENG_artillery_brigade_7;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;Ordnance QF 18pdr Mk IV;;Ordnance QF 18pdr Mk IV;;;;;;;;;x
ENG_artillery_brigade_8;Ordnance QF 18pdr Mk V;Ordnance QF 18pdr Mk V;Ordnance QF 18pdr Mk V;;Ordnance QF 18pdr Mk V;;;;;;;;;x
ENG_artillery_brigade_9;Ordnance QF 25pdr;Ordnance QF 25pdr;Ordnance QF 25pdr;;Ordnance QF 25pdr;;;;;;;;;x
ENG_light_armor_brigade_3;Medium Mark C Hornet;Medium Mark C Hornet;Medium Mark C Hornet;;Medium Mark C Hornet;;;;;;;;;x
FRA_armor_brigade_8;AMX-50;AMX-50;AMX-50;;AMX-50;;;;;;;;;x
FRA_armor_brigade_9;M47 Patton;M47 Patton;M47 Patton;;M47 Patton;;;;;;;;;x
FRA_armor_brigade_10;AMX-30;AMX-30;AMX-30;;AMX-30;;;;;;;;;x
FRA_armored_car_brigade_4;AMC Schneider P 16;AMC Schneider P 16;AMC Schneider P 16;;AMC Schneider P 16;;;;;;;;;x
FRA_armored_car_brigade_5;Panhard 178;Panhard 178;Panhard 178;;Panhard 178;;;;;;;;;x
FRA_armored_car_brigade_6;Panhard 201;Panhard 201;Panhard 201;;Panhard 201;;;;;;;;;x
FRA_armored_car_brigade_7;EBR-75;EBR-75;EBR-75;;EBR-75;;;;;;;;;x
