national_socialist_QIN;Manchu nobility;Manchu nobility;Manchu nobility;;Manchu nobility;;;;;;;;;x
fascistic_QIN;Zongshe Party;Zongshe Party;Zongshe Party;;Zongshe Party;;;;;;;;;x
paternal_autocrat_QIN;Qing Dynasty;Qing Dynasty;Qing Dynasty;;Qing Dynasty;;;;;;;;;x
social_conservative_QIN;Self-Strengtheners Party;Self-Strengtheners Party;Self-Strengtheners Party;;Self-Strengtheners Party;;;;;;;;;x
market_liberal_QIN;Hundred Days' Reformists;Hundred Days' Reformists;Hundred Days' Reformists;;Hundred Days' Reformists;;;;;;;;;x
social_liberal_QIN;Tongmenghui;Tongmenghui;Tongmenghui;;Tongmenghui;;;;;;;;;x
social_democrat_QIN;Wenxueshe;Wenxueshe;Wenxueshe;;Wenxueshe;;;;;;;;;x
left_wing_radical_QIN;Taiping Rebels;Taiping Rebels;Taiping Rebels;;Taiping Rebels;;;;;;;;;x
leninist_QIN;Chinese Socialist Party;Chinese Socialist Party;Chinese Socialist Party;;Chinese Socialist Party;;;;;;;;;x
stalinist_QIN;Chinese Communist Party;Chinese Communist Party;Chinese Communist Party;;Chinese Communist Party;;;;;;;;;x
paternal_autocrat_RUS;House of Holstein-Gottorp-Romanov;House of Holstein-Gottorp-Romanov;House of Holstein-Gottorp-Romanov;;House of Holstein-Gottorp-Romanov;;;;;;;;;x
social_conservative_RUS;Oktjabristy partiya;Oktjabristy partiya;Oktjabristy partiya;;Oktjabristy partiya;;;;;;;;;x
market_liberal_RUS;Progressist partiya;Progressist partiya;Progressist partiya;;Progressist partiya;;;;;;;;;x
social_liberal_RUS;Konstitucionnaja Demokraticeskaja partiya;Konstitucionnaja Demokraticeskaja partiya;Konstitucionnaja Demokraticeskaja partiya;;Konstitucionnaja Demokraticeskaja partiya;;;;;;;;;x
social_democrat_RUS;RSDRP;RSDRP;RSDRP;;RSDRP;;;;;;;;;x
left_wing_radical_RUS;Partiya sozialistov-rjevoljuzionjerov;Partiya sozialistov-rjevoljuzionjerov;Partiya sozialistov-rjevoljuzionjerov;;Partiya sozialistov-rjevoljuzionjerov;;;;;;;;;x
leninist_RUS;Bolsheviks;Bolsheviks;Bolsheviks;;Bolsheviks;;;;;;;;;x
stalinist_RUS;Bolsheviks;Bolsheviks;Bolsheviks;;Bolsheviks;;;;;;;;;x
paternal_autocrat_AUH;Christlichsoziale Partei;Christlichsoziale Partei;Christlichsoziale Partei;;Christlichsoziale Partei;;;;;;;;;x
social_conservative_AUH;Grosdeutsche Volkspartei;Grosdeutsche Volkspartei;Grosdeutsche Volkspartei;;Grosdeutsche Volkspartei;;;;;;;;;x
social_liberal_AUH; Ceska strana narodni socialni; Ceska strana narodni socialni; Ceska strana narodni socialni;; Ceska strana narodni socialni;;;;;;;;;x
social_democrat_AUH; SPO; SPO; SPO;; SPO;;;;;;;;;x
left_wing_radical_AUH; Freie Sozialisten; Freie Sozialisten; Freie Sozialisten;; Freie Sozialisten;;;;;;;;;x
leninist_AUH;KPO;KPO;KPO;;KPO;;;;;;;;;x
national_socialist_ROC;Zongshe Party;Zongshe Party;Zongshe Party;;Zongshe Party;;;;;;;;;x
fascistic_ROC;Military Clique;Military Clique;Military Clique;;Military Clique;;;;;;;;;x
paternal_autocrat_ROC;Civil Party;Civil Party;Civil Party;;Civil Party;;;;;;;;;x
social_conservative_ROC;Progressive Party;Progressive Party;Progressive Party;;Progressive Party;;;;;;;;;x
market_liberal_ROC;Kuomintang;Kuomintang;Kuomintang;;Kuomintang;;;;;;;;;x
social_liberal_ROC;Constitutionalist Party;Constitutionalist Party;Constitutionalist Party;;Constitutionalist Party;;;;;;;;;x
social_democrat_ROC;China National Socialist Party;China National Socialist Party;China National Socialist Party;;China National Socialist Party;;;;;;;;;x
left_wing_radical_ROC;China Socialist Party;China Socialist Party;China Socialist Party;;China Socialist Party;;;;;;;;;x
leninist_ROC;Chinese Peasants' and Workers' Democratic Party;Chinese Peasants' and Workers' Democratic Party;Chinese Peasants' and Workers' Democratic Party;;Chinese Peasants' and Workers' Democratic Party;;;;;;;;;x
stalinist_ROC;Communist Party of China;Communist Party of China;Communist Party of China;;Communist Party of China;;;;;;;;;x
national_socialist_PRC;Zongshe Party;Zongshe Party;Zongshe Party;;Zongshe Party;;;;;;;;;x
fascistic_PRC;Military Clique;Military Clique;Military Clique;;Military Clique;;;;;;;;;x
paternal_autocrat_PRC;Civil Party;Civil Party;Civil Party;;Civil Party;;;;;;;;;x
social_conservative_PRC;Progressive Party;Progressive Party;Progressive Party;;Progressive Party;;;;;;;;;x
market_liberal_PRC;Kuomintang;Kuomintang;Kuomintang;;Kuomintang;;;;;;;;;x
social_liberal_PRC;Constitutionalist Party;Constitutionalist Party;Constitutionalist Party;;Constitutionalist Party;;;;;;;;;x
social_democrat_PRC;China National Socialist Party;China National Socialist Party;China National Socialist Party;;China National Socialist Party;;;;;;;;;x
left_wing_radical_PRC;China Socialist Party;China Socialist Party;China Socialist Party;;China Socialist Party;;;;;;;;;x
leninist_PRC;Chinese Peasants' and Workers' Democratic Party;Chinese Peasants' and Workers' Democratic Party;Chinese Peasants' and Workers' Democratic Party;;Chinese Peasants' and Workers' Democratic Party;;;;;;;;;x
stalinist_PRC;Communist Party of China;Communist Party of China;Communist Party of China;;Communist Party of China;;;;;;;;;x
