GAL_Axis_1;Central Powers control Istanbul;Central Powers control Istanbul;Central Powers control Istanbul;;Central Powers control Istanbul;;;;;;;;;x
GAL_Axis_2;Central Powers control Smyrna;Central Powers control Smyrna;Central Powers control Smyrna;;Central Powers control Smyrna;;;;;;;;;x
GAL_Axis_3;Central Powers control Alexandria;Central Powers control Alexandria;Central Powers control Alexandria;;Central Powers control Alexandria;;;;;;;;;x
GAL_Axis_4;Central Powers control Rhodes;Central Powers control Rhodes;Central Powers control Rhodes;;Central Powers control Rhodes;;;;;;;;;x
GAL_Allies_1;Entente control Istanbul;Entente control Istanbul;Entente control Istanbul;;Entente control Istanbul;;;;;;;;;x
GAL_Allies_2;Entente control Smyrna;Entente control Smyrna;Entente control Smyrna;;Entente control Smyrna;;;;;;;;;x
GAL_Allies_3;Entente control Gallipoli;Entente control Gallipoli;Entente control Gallipoli;;Entente control Gallipoli;;;;;;;;;x
GAL_Allies_4;Entente control Üsküdar;Entente control Üsküdar;Entente control Üsküdar;;Entente control Üsküdar;;;;;;;;;x
JUT_Axis_1;Central Powers control Peterhead;Central Powers control Peterhead;Central Powers control Peterhead;;Central Powers control Peterhead;;;;;;;;;x
JUT_Allies_1;Entente control Wilhelmshaven;Entente control Wilhelmshaven;Entente control Wilhelmshaven;;Entente control Wilhelmshaven;;;;;;;;;x
PB_Comintern_1;Bolsheviks control Warsaw;Bolsheviks control Warsaw;Bolsheviks control Warsaw;;Bolsheviks control Warsaw;;;;;;;;;x
PB_Comintern_2;Bolsheviks control Brest Litovsk;Bolsheviks control Brest Litovsk;Bolsheviks control Brest Litovsk;;Bolsheviks control Brest Litovsk;;;;;;;;;x
PB_Comintern_3;Bolsheviks control Minsk;Bolsheviks control Minsk;Bolsheviks control Minsk;;Bolsheviks control Minsk;;;;;;;;;x
PB_Comintern_4;Bolsheviks control Lwow;Bolsheviks control Lwow;Bolsheviks control Lwow;;Bolsheviks control Lwow;;;;;;;;;x
PB_Comintern_5;Bolsheviks control Kiev;Bolsheviks control Kiev;Bolsheviks control Kiev;;Bolsheviks control Kiev;;;;;;;;;x
PB_POL_1;Poland control Warsaw;Poland control Warsaw;Poland control Warsaw;;Poland control Warsaw;;;;;;;;;x
PB_POL_2;Poland control Brest Litovsk;Poland control Brest Litovsk;Poland control Brest Litovsk;;Poland control Brest Litovsk;;;;;;;;;x
PB_POL_3;Poland control Lodz;Poland control Lodz;Poland control Lodz;;Poland control Lodz;;;;;;;;;x
PB_POL_4;Poland control Lwow;Poland control Lwow;Poland control Lwow;;Poland control Lwow;;;;;;;;;x
PB_POL_5;Poland control Krakow;Poland control Krakow;Poland control Krakow;;Poland control Krakow;;;;;;;;;x
ENDGAMEHEADER_polish_bolshevik_SOV_WIN;Victory!;Victory!;Victory!;;Victory!;;;;;;;;;x
ENDGAMEHEADER_polish_bolshevik_SOV_LOSS;Disaster!;Disaster!;Disaster!;;Disaster!;;;;;;;;;x
ENDGAMEHEADER_polish_bolshevik_POL_WIN;Victory!;Victory!;Victory!;;Victory!;;;;;;;;;x
ENDGAMEHEADER_polish_bolshevik_POL_LOSS;Disaster!;Disaster!;Disaster!;;Disaster!;;;;;;;;;x
