EVT1914_2007532_DESC;White General Alexeyev fielded an army supporting the Tzar and opposed to our government.;Le gйnйral Blanc Alexeyev a lev?une armйe contre notre gouvernement et supportant le Tsar.;Der weissrussische General Alexeiev hat eine Freiwilligenarmee ausgehoben, die auf Seiten des Zaren steht und damit unser Gegner sein wird.;Biaіy genera?Aleksiejew wystawi?armi?wspieraj№c?cara i wyst№pi?przeciw naszemu rz№dowi.;El General Blanco, Alexeiev, ha creado un ejercito de voluntarios para apoyar al Zar y destruir nuestro gobierno.;Il generale bianco Alexeiev ha messo in campo un esercito di sostegno allo Zar e contrario al nostro governo.;;;;;;Белы?генера?Алексеев отказался признать власть большевико??опубликова?воззвани??офицерам ?призывом вступать ?Добровольческу?арми?;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007532_NAME;Rise of the Volunteer Army;Crйation de l'Armйe des Volontaires;Die Aushebung einer Freiwilligenarmee;Powstanie Armii Ochotniczej;Creacion del Ejercito de Voluntarios;Sollevamento dell'armata volontaria;;;;;;Создание Добровольческо?арми?x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007533_DESC;Some counter-revolutionary politicians set up an independent government in Arkhangelsk.;Quelques politiciens contre rйvolutionnaires ont mis en place un gouvernement indйpendant ?Arkhangelsk.;Einige konterrevolutionдre Politiker haben eine unabhдngige Regierung in Archangelsk gebildet.;Niektуrzy kontrrewolucyjni politycy zaіoїyli w Archangielsku niezaleїny rz№d.;Algunos politicos Reaccionarios han establecido un gobierno independiente en Arkhangelsk, en el frio Norte de Rusia.;Alcuni politici contro-rivoluzionari hanno creato un governo indipendente ad Arkhangelsk.;;;;;;Контрреволюционные элементы подняли антибольшевистское восстани??Архангельске ?создал?собственно?независимо?правительств?;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007533_NAME;The Arkhangelsk Government;Le gouvernement d'Arkhangelsk;Die Regierung in Archangelsk;Rz№d w Archangielsku;El Gobierno de Arkhangelsk;Il governo di Arkhangelsk;;;;;;Архангельско?правительств?x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007534_DESC;With British support, white Admiral Koltchak raised troops and seized the Far East.;Avec le support des Britanniques, l'amiral blanc Koltchak a lev?des troupes et pris l'Extrкme Est.;Mit britischer Unterstьtzung hat Admiral Koltchak Truppen ausgehoben und die Fernost-Flotte unter seine Kontrolle gebracht.;Z pomoc?Brytyjczykуw, biaіy admira?Koіczak wykorzystuj№c swe wojska zaj№і Daleki Wschуd.;Con apoyo Britanico, el almirante de la Rusia Blanca, Kolchak, se ha alzado y ha tomado el control del Lejano Oriente.;Con il sostegno britannico, il l'ammiraglio bianco Koltchak ha arruolato alcune truppe ed occupato l'Estremo Oriente.;;;;;;Пр?поддержк?Великобритании, белый адмирал Александ?Колчак сумел сформировать боеспособную арми??захватит?Дальни?Восток.;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007534_NAME;Admiral Koltchak;Admiral Koltchak;Admiral Koltchak;Admira?Koіczak;El Almirante Kolchak;L'ammiraglio Koltchak;;;;;;Адмира?Колчак;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007535_DESC;Don Cossacks, under the rule of Hetman Krasnov, rose against the Bolsheviks and allied with Alexeyev.;Les Cossaques du Don, dirigйs par l'Hetman Krasnov, se soulиvent contre les Bolchйviques et s'allient avec Alexeyev.;Unter der Fьhrung von Hetman Krasnov erhoben sich die Don-Kosaken gegen die Bolschewiken und schlossen sich General Alexeiev an.;Kozacy Doсscy, pod komend?hetmana Krasnowa, powstali przeciwko Bolszewikom i sprzymierzyli si?z Aleksiejewem.;Los Cosacos del Don, bajo el mando del Hetman Krasnov, se han alzado contra nosotros y se han unido al Ejercito Blanco.;I cosacchi del Don, sotto il governo di Hetman Krasnov, si sollevarono contro i bolscevichi, alleandosi con Alexeiev.;;;;;;Донско?казачество во глав??атаманом Павлом Красновы?восстало против большевико??об?вило ?свое?поддержк?Добровольческо?арми?генерала Алексеев?;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007535_NAME;Cossacks' Uprising;Soulиvement des Cosaques !;Aufstand der Don-Kosaken;Powstanie Kozakуw;Rebelion Cosaca;Rivolte dei cosacchi;;;;;;Восстани?Донски?казако?x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007536_ACTIONA;War is war;A la guerre comme аa la guerre;Krieg ist Krieg;Wojna to wojna;As?es la Guerra;La guerra ?guerra;;;;;;На войн? ка?на войн?..;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007536_DESC;Mass Terror is a necessary weapon of the Proletarian Dictatorship. Used by generals, local populations or the Tcheka (Secret Services), the Terror targets White activists or partisan. In fact, entire villages were targeted, even if a single person was guilty or accused of being a white partisan. Such policies, which aimed at scaring populations, had often the opposite effect.;La Terreur de masse est une nйcessit?dans une Dictature du Prolйtariat. Utilisйe par les Gйnйraux, les populations locales ou la Tchйka (Services Secrets), elle cible particuliиrement les blancs et leurs sympathisants. Dans les faits, des villages entiers йtaient touchйs dиs lors qu'une seule personne йtait coupable ou simplement soupзonnйe. Ces politiques, destinйes ?effayer la population, avaient souvent l'effet inverse.;Massenterror ist ein notwendiges Instrument der Diktatur des Proletariats. Dieses Vorgehen wurde von Armee, Geheimdienst ( Tcheka ) und der Bevцlkerung selbst gegen 'weisse' Aktivisten und Partisanen eingesetzt. In der Tat wurde mehr als nur ein Dorf zum Ziel dieses Terrors, wenn auch nur der Hauch eines Verdachtes der Zusammenarbeit mit den 'weissen' bestand. Solche Instrumente, die auf der Einschьchterung der Bevцlkerung hinarbeiteten, erreichten natьrlich oftmals das Gegenteil.;Masowy terror jest koniecznym narzкdziem dyktatury proletariatu. Realizowany przez generaіуw, lokaln?ludnoњж i Czek?(tajne sіuїby), terror skierowany jest przeciw biaіym aktywistom i bojownikom. Faktycznie, celem byіy caіe wioski, jeњli nawet tylko jeden z mieszkaсcуw by?podejrzany o sprzyjanie biaіym. Takie porz№dki, nakierowane na przeraїenie spoіeczeсstwa, miaіy czкsto obrуt przeciwny do zamierzonego.;El terror en masa es un arma necesaria para la instauraciуn de la dictadura del proletariado. Usada por los generales, milicias locales o la Ckek? (chrezvichбinaya komissia), el terror est?dirigido a activistas Pro-Blancos o a partisanos. De hecho, poblaciones enteras eran victimas de йl, aun si solo una persona era encontrada culpable de ser 'contrarrevolucionaria' o 'desviacionista'. Algunas veces en vez de asustar a la poblaciуn, han logrado el efecto contrario. ;Il terrore di massa ?un'arma necessaria alla dittatura del proletariato. Usato dai generali, dalle popolazioni locali o dalla Tcheka (Servizi segreti), il terrore ha come obbiettivo attivisti o partigiani bianchi. In realt? interi villaggi sono stati distrutti, anche se una sola persona era colpevole od accusato di essere un partigiano bianco. Tali politiche, che miravano a terrorizzare le popolazioni, avevano spesso l'effetto opposto.;;;;;;Массовый террор по отношени??врагам революци?являлся обязательны?орудие?диктатур?пролетариата. Применявший? красными командирам? местными большевистским?органами власти ?сотрудниками ВЧ?(Всероссийско?чрезвычайной комиссии по борьбе ?контрреволюцие??саботаже?, красны?террор служил средство?устрашен? ка?антибольшевистских си?та??мирног?населения. Фактически, целы?деревн?уничтожались только за то, чт?один из жителе?бы?заподозрен ?контрреволюции, однако такая политика, направленн? на запугивани?местного населения, част?имел?прямо противоположны?эффект...;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2007536_NAME;Red Terror;Terreur Rouge;Roter Terror;Czerwony Terror;Terror Rojo;Terrore Rosso;;;;;;Красны?террор;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000500_ACTIONA;Don't worry soldiers, the end is near?(Is it ?);Ne vous inquiйtez pas soldats, la fin est proche... (ou presque ?);Keine Sorge, Soldaten !;Nie martwcie si? koniec jest blisko?(czyїby?);No se preocupen compaсeros, el final se acerca?(Espero que no el nuestro);Non vi preoccupate, soldati, la fine ?vicina ... (lo ?);;;;;;Не волнуйтесь, солдат? коне?близок ... (Та?ли эт??);x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000500_DESC;We have lost more than a million men in this bloody war. They want to stop fighting, to go home to see their family, and they are ready to harm themselves to flee the front line. Our soldiers are loosing hope!;Ils veulent cesser le combat, retourner chez eux pour revoir leur famille, et sont prкt ?se blesser pour y parvenir. Nos soldats perdent espoir !;Sie wollen nicht mehr kдmpfen, sie wollen nach Hause zu ihren Familien und begehen sogar Selbstverstьmmelung, um der Front zu entkommen. Unsere truppen haben ihren Mut verloren.;Chc?przesta?walczy?i wrуci?do domu, by zobaczy?swe rodziny. S?nawet gotowi do samookaleczenia, byle by opuњci?lini?frontu. Nasi їoіnierze trac?nadziej?;Ellos desean que cese la lucha, ir a sus hogares, ver a sus familias y estбn listos para abandonar el frente. Nuestras tropas pierden la esperanza!;Vogliono smettere di combattere, per andare a casa a vedere la propria famiglia, e sono pronti a danneggiare se stessi per fuggire dalla prima linea. I nostri soldati stanno perdendo la speranza!;;;;;;Солдат?больше не хо??воеват? Он?желают вернуться домо? ?свои?семья? ?готовы на вс? лишь бы покинуть передову? Наши солдат?те?ют веру ?победу !;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000500_NAME;Mutinies!;Mutineries !;Meuterer !;Bunt!;Motines!;Ammutinamenti!;;;;;;Волнен? ?арми?x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000501_DESC;We lost more than 500 000 brave men in this war. Despite politicians' speeches, strict censorship measures, huge war and propaganda efforts, our citizen are slowly loosing their faith. They want this war to end soon.;Malgr?le discours des politiciens, une censure omniprйsente, un effort de guerre et de propagande consйquent, nos citoyens perdent peu ?peu espoir. Ils souhaitent que cette guerre s'achиve rapidement.;Trotz aller politischen Reden, strikter Zensur und ungeheurer Anstrengungen des Propaganda-Apparates verliert unsere Bevцlkerung allmдhlich den Glauben an den Sieg. Sie will nur noch ein baldiges Ende des Krieges.;Pomimo przemуw politykуw, ostrych poczyna?cenzury i olbrzymich wysiіkуw wojennych i propagandowych, nasi obywatele powoli trac?nadziej? Chc? by wojna skoсczyіa si?ju?wkrуtce.;Los continuos discursos polнticos incendiarios, la estricta censura de prensa, los enormes esfuerzos en propaganda de guerra y esa maldita marcha militar que suena desde hace meses en todas partes recordбndonos que estamos en guerra estбn empezando a cansar a la gente. El pueblo espera que la guerra termine pronto.;Nonostante i discorsi politici, la misure rigorose della censura, i grandi sforzi nella guerra e nella propaganda, i nostri cittadini stanno lentamente perdendo la loro fede. Vogliono che questa guerra finisca presto.;;;;;;Несмот? на речи политико? жестку?цензур??усил? пропаганды, наши граждане постепенно те?ют веру ?конечную победу. Он?хо??лишь одного - чтоб?эт?войн?закончилас?ка?можн?скорее?x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000501_NAME;War weariness;Lassitude de la guerre;Kriegsmьdigkeit;Zmкczenie wojn?Hastio Belico;Stanchezza Bellica;;;;;;Усталост?от войн?x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000502_DESC;Our nation lost 2 million men in this war. Workers went down the street. Followed by women and students, they asked the government to put an end to this endless war and to food restrictions.;Les travailleurs sont descendus dans la rue. Rapidement suivis par les femmes et les йtudiants, ils demandent l'arrкt du conflit ainsi que des restrictions alimentaires.;Arbeiter ziehen protestierend durch die Strassen, gefolgt von Frauen und Studenten. Sie fordern von der Regierung, den Krieg zu beenden und die Lebensmittelrationierung zu beenden.;Robotnicy opuњcili miejsca pracy. Wraz z kobietami i studentami ї№daj?od rz№du zakoсczenia wojny i zіagodzenia ogranicze?їywnoњciowych.;Los Obreros se han tomado las calles, seguidos por las mujeres y los estudiantes, exigen al gobierno el fin de la guerra, o por lo menos las fuertes restricciones de alimentos.;I lavoratori sono scesi in strada. Seguiti da donne e studenti, hanno chiesto al governo di porre fine a questa guerra e alle restrizioni alimentari.;;;;;;Рабочи?вышл?на улиц? Их пример?уж?последовал? женщин??студенты он?требую?от правительств?немедленного прекращения войн??решения пробле??нехватко?продовольств?.;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000502_NAME;General strike for peace;Grиve gйnйrale pour la paix;Generalstreik fьr den Frieden;Strajk generalny na rzecz pokoju;Huelga General por la Paz;Sciopero generale per la pace;;;;;;Антивоенная демонстрац?;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2000503_DESC;Trench warfare is a form of warfare in which combatants occupy fighting lines, consisting largely of trenches, in which troops are largely immune to the enemy's small arms fire and are substantially sheltered from artillery. It has become a byword for attrition warfare, for stalemate in conflict, with a slow wearing down of opposing forces.;La guerre de tranchйe est une forme de guerre o?les combattants s'abritent dans des lignes fortifiйes, largement constituйes de tranchйes dans lesquelles les soldats sont relativement protйgйs des armes lйgиres et de l'artillerie. C'est devenu une expression familiиre pour dйsigner la guerre de positions, une paralysie du conflit et l'йpuisement progressif des forces opposйes.;Stellungskrieg ist eine statische Form der Kriegfьhrung, bei der die gegnerischen Parteien sich in gut ausgebauten Stellungssystemen gegenьberliegen und gegen Waffenwirkung weitestgehend geschьtzt sind.;Wojna w okopach jest form?prowadzenia wojny, w ktуrej walcz№ce strony zajmuj?linie, skіadaj№ce si?gіуwnie z okopуw, w ktуrych їoіnierze s?w duїej mierze odporni na ostrza?karabinowy, a nawet ostrza?artyleryjski. Okopy staіy si?symbolem wojny na wyczerpanie przy przedіuїaj№cym si?impasie, powolnie wykorzystuj№cej dostкpne siіy.;La Guerra de trincheras es una forma de Guerra en la que los combatientes ocupan lнneas de combate, consistentes en largas trincheras donde las tropas prбcticamente se hacen inmunes al fuego ligero del enemigo, y se hacen resistentes contra la artillerнa. Esto convierte a la Guerra en una Guerra de desgaste, donde pocas veces los enemigos se dejan ver?La guerra di trincea ?una forma di guerra in cui i combattenti occupano le linee di combattimento, composte in gran parte di trincee, in cui le truppe sono in gran parte immuni al fuoco delle armi leggere del nemico e sono anche al riparo da artiglieria. ?diventata sinonimo di guerra di logoramento, di stallo durante il conflitto, con un lento confronto di forze contrapposte.;;;;;;Позиционная войн?являет? одно?из форм ведения войн? пр?которо?воюющи?сторон?веду?боевые действ? на сплошных, относительно стабильных фронта? ?глубокоэшелонированной обороной, сост?ще?главны?образо?из транше? ?которы?войска хорошо защищены от ог? стрелковог?оруж? ?воздействия артиллерии. Позиционная войн?стал?олицетворением войн?на истощени? тупикового положения ?конфликт??медленного изматывания противоборствующих сторон.;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT1914_2001501_ACTIONA;Declare War!;C'est la Guerre !;Wir erklдren den Krieg;Wypowiedz wojn?;Caballeros, estamos en Guerra... Dios salve al Rey!!!;Dichiariamo guerra!;;;;;;Об?вить войн?!;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
