 ##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
ROCE2;KMT win the first election campaign;KMT win the first election campaign;KMT win the first election campaign;;KMT win the first election campaign;;;;;;;;;x
desc_ROCE2;KMT win the first election campaign;KMT win the first election campaign;KMT win the first election campaign;;KMT win the first election campaign;;;;;;;;;x
opta_ROCE2;OK;OK;OK;;OK;;;;;;;;;x
ROCE3;The threat from KMT;The threat from KMT;The threat from KMT;;The threat from KMT;;;;;;;;;x
desc_ROCE3;The threat from KMT;The threat from KMT;The threat from KMT;;The threat from KMT;;;;;;;;;x
opta_ROCE3;OK;OK;OK;;OK;;;;;;;;;x
ROCE4;The reaction of Yuan;The reaction of Yuan;The reaction of Yuan;;The reaction of Yuan;;;;;;;;;x
desc_ROCE4;The reaction of Yuan;The reaction of Yuan;The reaction of Yuan;;The reaction of Yuan;;;;;;;;;x
opta_ROCE4;OK;OK;OK;;OK;;;;;;;;;x
optb_ROCE4;Take it easy...;Take it easy...;Take it easy...;;Take it easy...;;;;;;;;;x
ROCE5;Song Jiaoren was killed;Song Jiaoren was killed;Song Jiaoren was killed;;Song Jiaoren was killed;;;;;;;;;x
desc_ROCE5;Song Jiaoren was killed;Song Jiaoren was killed;Song Jiaoren was killed;;Song Jiaoren was killed;;;;;;;;;x
opta_ROCE5;OK;OK;OK;;OK;;;;;;;;;x
ROCE6;Second Revolution;Second Revolution;Second Revolution;;Second Revolution;;;;;;;;;x
desc_ROCE6;Second Revolution;Second Revolution;Second Revolution;;Second Revolution;;;;;;;;;x
opta_ROCE6;OK;OK;OK;;OK;;;;;;;;;x
ROCE7;Second Revolution failed;Second Revolution failed;Second Revolution failed;;Second Revolution failed;;;;;;;;;x
desc_ROCE7;Second Revolution failed;Second Revolution failed;Second Revolution failed;;Second Revolution failed;;;;;;;;;x
opta_ROCE7;OK;OK;OK;;OK;;;;;;;;;x
ROCE8;Yang Du support for a return of a monarchy;Yang Du support for a return of a monarchy;Yang Du support for a return of a monarchy;;Yang Du support for a return of a monarchy;;;;;;;;;x
desc_ROCE8;Yang Du support for a return of a monarchy;Yang Du support for a return of a monarchy;Yang Du support for a return of a monarchy;;Yang Du support for a return of a monarchy;;;;;;;;;x
opta_ROCE8;OK;OK;OK;;OK;;;;;;;;;x
optb_ROCE8;I think that is not a good idea...;I think that is not a good idea...;I think that is not a good idea...;;I think that is not a good idea...;;;;;;;;;x
ROCE9;Empire of China;Empire of China;Empire of China;;Empire of China;;;;;;;;;x
desc_ROCE9;Empire of China;Empire of China;Empire of China;;Empire of China;;;;;;;;;x
opta_ROCE9;OK;OK;OK;;OK;;;;;;;;;x
ROCE10;National Protection War start;National Protection War start;National Protection War start;;National Protection War start;;;;;;;;;x
desc_ROCE10;National Protection War start;National Protection War start;National Protection War start;;National Protection War start;;;;;;;;;x
opta_ROCE10;OK;OK;OK;;OK;;;;;;;;;x
ROCE11;Yuan won!;Yuan won!;Yuan won!;;Yuan won!;;;;;;;;;x
desc_ROCE11;Yuan won!;Yuan won!;Yuan won!;;Yuan won!;;;;;;;;;x
opta_ROCE11;OK;OK;OK;;OK;;;;;;;;;x
ROCE12;The press from Generals;The press from Generals;The press from Generals;;The press from Generals;;;;;;;;;x
desc_ROCE12;The press from Generals;The press from Generals;The press from Generals;;The press from Generals;;;;;;;;;x
opta_ROCE12;OK;OK;OK;;OK;;;;;;;;;x
ROCE13;National Protection Army won;National Protection Army won;National Protection Army won;;National Protection Army won;;;;;;;;;x
desc_ROCE13;National Protection Army won;National Protection Army won;National Protection Army won;;National Protection Army won;;;;;;;;;x
opta_ROCE13;OK;OK;OK;;OK;;;;;;;;;x
ROCY1;Yuan is dead...;Yuan is dead...;Yuan is dead...;;Yuan is dead...;;;;;;;;;x
desc_ROCY1;Yuan is dead...;Yuan is dead...;Yuan is dead...;;Yuan is dead...;;;;;;;;;x
opta_ROCY1;OK;OK;OK;;OK;;;;;;;;;x
