German_Africa_aim;Guerilla warfare in Africa;Guerilla warfare in Africa;Guerilla warfare in Africa;;Guerilla warfare in Africa;;;;;;;;;x
German_Pacific_aim;Guerilla warfare the Pacific;Guerilla warfare the Pacific;Guerilla warfare the Pacific;;Guerilla warfare the Pacific;;;;;;;;;x
Brussels_Axis_aim;Central Powers control Brussels;Central Powers control Brussels;Central Powers control Brussels;;Central Powers control Brussels;;;;;;;;;x
Paris_Axis_aim;Central Powers control Paris;Central Powers control Paris;Central Powers control Paris;;Central Powers control Paris;;;;;;;;;x
Riga_Axis_aim;Central Powers control Riga;Central Powers control Riga;Central Powers control Riga;;Central Powers control Riga;;;;;;;;;x
Warsaw_Axis_aim;Central Powers control Warsaw;Central Powers control Warsaw;Central Powers control Warsaw;;Central Powers control Warsaw;;;;;;;;;x
Kyiv_Axis_aim;Central Powers control Kyiv;Central Powers control Kyiv;Central Powers control Kyiv;;Central Powers control Kyiv;;;;;;;;;x
Suez_Axis_aim;Central Powers control the Suez Canal;Central Powers control the Suez Canal;Central Powers control the Suez Canal;;Central Powers control the Suez Canal;;;;;;;;;x
Athens_Axis_aim;Central Powers control Athens;Central Powers control Athens;Central Powers control Athens;;Central Powers control Athens;;;;;;;;;x
Belgrade_Axis_aim;Central Powers control Belgrade;Central Powers control Belgrade;Central Powers control Belgrade;;Central Powers control Belgrade;;;;;;;;;x
London_Axis_aim;Central Powers control London;Central Powers control London;Central Powers control London;;Central Powers control London;;;;;;;;;x
Tehran_Axis_aim;Central Powers control Tehran;Central Powers control Tehran;Central Powers control Tehran;;Central Powers control Tehran;;;;;;;;;x
Baki_Axis_aim;Central Powers control Baki;Central Powers control Baki;Central Powers control Baki;;Central Powers control Baki;;;;;;;;;x
Venice_Axis_aim;Central Powers control Venice;Central Powers control Venice;Central Powers control Venice;;Central Powers control Venice;;;;;;;;;x
Rome_Axis_aim;Central Powers control Rome;Central Powers control Rome;Central Powers control Rome;;Central Powers control Rome;;;;;;;;;x
Moscow_Axis_aim;Central Powers control Moscow;Central Powers control Moscow;Central Powers control Moscow;;Central Powers control Moscow;;;;;;;;;x
Copenhagen_Axis_aim;Central Powers control Copenhagen;Central Powers control Copenhagen;Central Powers control Copenhagen;;Central Powers control Copenhagen;;;;;;;;;x
Zurich_Axis_aim;Central Powers control Zurich;Central Powers control Zurich;Central Powers control Zurich;;Central Powers control Zurich;;;;;;;;;x
