ARG_heavycruiser_armour_2;6,773t, 6" Composite Armor;6,773t, 6" Composite Armor;6,773t, 6" Composite Armor;;6,773t, 6" Composite Armor;;;;;;;;;x
ARG_dreadnaught_armour_3;27,940t, 12" Krupp Armor;27,940t, 12" Krupp Armor;27,940t, 12" Krupp Armor;;27,940t, 12" Krupp Armor;;;;;;;;;x
ARG_destroyer_armour_2;240t;240t;240t;;240t;;;;;;;;;x
ARG_destroyer_armour_9;995t;995t;995t;;995t;;;;;;;;;x
ARG_destroyer_armour_10;875t;875t;875t;;875t;;;;;;;;;x
ARG_destroyer_armour_11;980t;980t;980t;;980t;;;;;;;;;x
ARG_battleship_armour_0;1,500t, 6" Armor;1,500t, 6" Armor;1,500t, 6" Armor;;1,500t, 6" Armor;;;;;;;;;x
ARG_battleship_armour_1;4,200t, 9" Composite Armor;4,200t, 9" Composite Armor;4,200t, 9" Composite Armor;;4,200t, 9" Composite Armor;;;;;;;;;x
ARG_battleship_armour_4;2,330t, 8" Armor;2,330t, 8" Armor;2,330t, 8" Armor;;2,330t, 8" Armor;;;;;;;;;x
ARG_protectedcruiser_armour_0;1,450t, 1" Armor;1,450t, 1" Armor;1,450t, 1" Armor;;1,450t, 1" Armor;;;;;;;;;x
ARG_protectedcruiser_armour_1;3,180t, 2" Armor;3,180t, 2" Armor;3,180t, 2" Armor;;3,180t, 2" Armor;;;;;;;;;x
ARG_protectedcruiser_armour_2;3,600t, 3" Armor;3,600t, 3" Armor;3,600t, 3" Armor;;3,600t, 3" Armor;;;;;;;;;x
ARG_protectedcruiser_armour_3;4,788t, 3" Armor;4,788t, 3" Armor;4,788t, 3" Armor;;4,788t, 3" Armor;;;;;;;;;x
AUH_heavycruiser_armour_1;5,330t, 4" Armor;5,330t, 4" Armor;5,330t, 4" Armor;;5,330t, 4" Armor;;;;;;;;;x
AUH_heavycruiser_armour_4;6,166t, 9" Armor;6,166t, 9" Armor;6,166t, 9" Armor;;6,166t, 9" Armor;;;;;;;;;x
AUH_heavycruiser_armour_6;7,289t, 8" Armor;7,289t, 8" Armor;7,289t, 8" Armor;;7,289t, 8" Armor;;;;;;;;;x
AUH_lightcruiser_armour_1;3,500t, 3" Armor;3,500t, 3" Armor;3,500t, 3" Armor;;3,500t, 3" Armor;;;;;;;;;x
AUH_lightcruiser_armour_3;3,500t, 2" Armor;3,500t, 2" Armor;3,500t, 2" Armor;;3,500t, 2" Armor;;;;;;;;;x
AUH_submarine_hull_3;230t;230t;230t;;230t;;;;;;;;;x
AUH_dreadnaught_armour_2;20,013t, 11" Krupp Armor;20,013t, 11" Krupp Armor;20,013t, 11" Krupp Armor;;20,013t, 11" Krupp Armor;;;;;;;;;x
AUH_destroyer_armour_0;435t;435t;435t;;435t;;;;;;;;;x
AUH_destroyer_armour_1;425t;425t;425t;;425t;;;;;;;;;x
AUH_destroyer_armour_7;390t;390t;390t;;390t;;;;;;;;;x
AUH_destroyer_armour_10;850t;850t;850t;;850t;;;;;;;;;x
AUH_destroyer_armour_11;390t;390t;390t;;390t;;;;;;;;;x
AUH_destroyer_armour_13;880t;880t;880t;;880t;;;;;;;;;x
AUH_battleship_armour_3;5,075t, 9" Armor;5,075t, 9" Armor;5,075t, 9" Armor;;5,075t, 9" Armor;;;;;;;;;x
AUH_battleship_armour_4;6,829t, 12" Armor;6,829t, 12" Armor;6,829t, 12" Armor;;6,829t, 12" Armor;;;;;;;;;x
AUH_battleship_armour_7;5,547t, 11" Armor;5,547t, 11" Armor;5,547t, 11" Armor;;5,547t, 11" Armor;;;;;;;;;x
AUH_battleship_armour_9;8,232t, 9" Armor;8,232t, 9" Armor;8,232t, 9" Armor;;8,232t, 9" Armor;;;;;;;;;x
AUH_battleship_armour_11;10,472t, 8" Armor;10,472t, 8" Armor;10,472t, 8" Armor;;10,472t, 8" Armor;;;;;;;;;x
AUH_battleship_armour_12;14,508t, 9" Krupp Armor;14,508t, 9" Krupp Armor;14,508t, 9" Krupp Armor;;14,508t, 9" Krupp Armor;;;;;;;;;x
AUH_protectedcruiser_armour_0;943t;943t;943t;;943t;;;;;;;;;x
AUH_protectedcruiser_armour_1;1,557t, 1" Armor;1,557t, 1" Armor;1,557t, 1" Armor;;1,557t, 1" Armor;;;;;;;;;x
AUH_protectedcruiser_armour_2;1,657t;1,657t;1,657t;;1,657t;;;;;;;;;x
AUH_protectedcruiser_armour_3;3,967t, 2" Armor;3,967t, 2" Armor;3,967t, 2" Armor;;3,967t, 2" Armor;;;;;;;;;x
AUH_protectedcruiser_armour_4;2,313t, 2" Armor;2,313t, 2" Armor;2,313t, 2" Armor;;2,313t, 2" Armor;;;;;;;;;x
BRA_lightcruiser_armour_1;3,100t, 1" Armor;3,100t, 1" Armor;3,100t, 1" Armor;;3,100t, 1" Armor;;;;;;;;;x
BRA_dreadnaught_armour_1;19,281t, 9" Krupp Armor;19,281t, 9" Krupp Armor;19,281t, 9" Krupp Armor;;19,281t, 9" Krupp Armor;;;;;;;;;x
BRA_destroyer_armour_1;795t;795t;795t;;795t;;;;;;;;;x
BRA_destroyer_armour_2;480t;480t;480t;;480t;;;;;;;;;x
BRA_destroyer_armour_3;1,014t;1,014t;1,014t;;1,014t;;;;;;;;;x
BRA_destroyer_armour_4;1,063t;1,063t;1,063t;;1,063t;;;;;;;;;x
BRA_destroyer_armour_8;560t;560t;560t;;560t;;;;;;;;;x
BRA_battleship_armour_1;5,610t, 11" Composite Armor;5,610t, 11" Composite Armor;5,610t, 11" Composite Armor;;5,610t, 11" Composite Armor;;;;;;;;;x
BRA_battleship_armour_2;4,921t, 11" Composite Armor;4,921t, 11" Composite Armor;4,921t, 11" Composite Armor;;4,921t, 11" Composite Armor;;;;;;;;;x
BRA_battleship_armour_8;3,162t, 14" Composite Armor;3,162t, 14" Composite Armor;3,162t, 14" Composite Armor;;3,162t, 14" Composite Armor;;;;;;;;;x
BRA_protectedcruiser_armour_0;1,392t;1,392t;1,392t;;1,392t;;;;;;;;;x
BRA_protectedcruiser_armour_1;1,914t;1,914t;1,914t;;1,914t;;;;;;;;;x
BRA_protectedcruiser_armour_2;742t;742t;742t;;742t;;;;;;;;;x
BRA_protectedcruiser_armour_3;750t;750t;750t;;750t;;;;;;;;;x
BRA_protectedcruiser_armour_4;4,735t, 1" Armor;4,735t, 1" Armor;4,735t, 1" Armor;;4,735t, 1" Armor;;;;;;;;;x
BRA_protectedcruiser_armour_5;2,750t;2,750t;2,750t;;2,750t;;;;;;;;;x
BRA_protectedcruiser_armour_6;1,300t, 2" Armor;1,300t, 2" Armor;1,300t, 2" Armor;;1,300t, 2" Armor;;;;;;;;;x
BRA_protectedcruiser_armour_7;3,437t, 2" Armor;3,437t, 2" Armor;3,437t, 2" Armor;;3,437t, 2" Armor;;;;;;;;;x
CHI_lightcruiser_armour_2;2,750t;2,750t;2,750t;;2,750t;;;;;;;;;x
CHI_destroyer_armour_7;96t;96t;96t;;96t;;;;;;;;;x
CHI_destroyer_armour_10;390t;390t;390t;;390t;;;;;;;;;x
CHI_protectedcruiser_armour_0;1,450t;1,450t;1,450t;;1,450t;;;;;;;;;x
CHI_protectedcruiser_armour_1;1,258t;1,258t;1,258t;;1,258t;;;;;;;;;x
CHI_protectedcruiser_armour_2;1,100t;1,100t;1,100t;;1,100t;;;;;;;;;x
CHI_protectedcruiser_armour_3;2,200t;2,200t;2,200t;;2,200t;;;;;;;;;x
CHI_protectedcruiser_armour_4;1,480t;1,480t;1,480t;;1,480t;;;;;;;;;x
CHI_protectedcruiser_armour_5;2,110t;2,110t;2,110t;;2,110t;;;;;;;;;x
CHI_protectedcruiser_armour_6;1,900t;1,900t;1,900t;;1,900t;;;;;;;;;x
CHI_protectedcruiser_armour_7;2,680t, 2" Armor;2,680t, 2" Armor;2,680t, 2" Armor;;2,680t, 2" Armor;;;;;;;;;x
CHI_protectedcruiser_armour_8;4,300t, 3" Armor;4,300t, 3" Armor;4,300t, 3" Armor;;4,300t, 3" Armor;;;;;;;;;x
CHL_heavycruiser_armour_0;7,000t, 6" Composite Armor;7,000t, 6" Composite Armor;7,000t, 6" Composite Armor;;7,000t, 6" Composite Armor;;;;;;;;;x
CHL_heavycruiser_armour_3;8,500t, 7" Composite Armor;8,500t, 7" Composite Armor;8,500t, 7" Composite Armor;;8,500t, 7" Composite Armor;;;;;;;;;x
CHL_dreadnaught_armour_6;28,600t, 9" Krupp Armor;28,600t, 9" Krupp Armor;28,600t, 9" Krupp Armor;;28,600t, 9" Krupp Armor;;;;;;;;;x
CHL_destroyer_armour_0;713t;713t;713t;;713t;;;;;;;;;x
CHL_destroyer_armour_1;800t;800t;800t;;800t;;;;;;;;;x
CHL_destroyer_armour_2;300t;300t;300t;;300t;;;;;;;;;x
CHL_destroyer_armour_3;348t;348t;348t;;348t;;;;;;;;;x
CHL_destroyer_armour_5;321t;321t;321t;;321t;;;;;;;;;x
CHL_destroyer_armour_10;1,430t;1,430t;1,430t;;1,430t;;;;;;;;;x
CHL_destroyer_armour_11;1,700t;1,700t;1,700t;;1,700t;;;;;;;;;x
CHL_battleship_armour_0;2,030t, 4" Armor;2,030t, 4" Armor;2,030t, 4" Armor;;2,030t, 4" Armor;;;;;;;;;x
CHL_battleship_armour_1;3,370t, 9" Armor;3,370t, 9" Armor;3,370t, 9" Armor;;3,370t, 9" Armor;;;;;;;;;x
CHL_battleship_armour_4;6,901t, 12" Armor;6,901t, 12" Armor;6,901t, 12" Armor;;6,901t, 12" Armor;;;;;;;;;x
CHL_protectedcruiser_armour_0;2,047t, 2" Armor;2,047t, 2" Armor;2,047t, 2" Armor;;2,047t, 2" Armor;;;;;;;;;x
