SCENARIO_SpringOffensive;The Spring Offensive;The Spring Offensive;The Spring Offensive;;The Spring Offensive;;;;;;;;;x
SCENARIO_SpringOffensive_DESC;The 1918 Spring Offensive was a series of German attacks along the Western Front during World War I, beginning on 21 March 1918, which marked the deepest advances by either side since 1914. The Germans had realised that their only remaining chance of victory was to defeat the Allies before the overwhelming human and matériel resources of the United States could be deployed. They also had the temporary advantage in numbers afforded by the nearly 50 divisions freed by the Russian surrender.;The 1918 Spring Offensive was a series of German attacks along the Western Front during World War I, beginning on 21 March 1918, which marked the deepest advances by either side since 1914. The Germans had realised that their only remaining chance of victory was to defeat the Allies before the overwhelming human and matériel resources of the United States could be deployed. They also had the temporary advantage in numbers afforded by the nearly 50 divisions freed by the Russian surrender.;The 1918 Spring Offensive was a series of German attacks along the Western Front during World War I, beginning on 21 March 1918, which marked the deepest advances by either side since 1914. The Germans had realised that their only remaining chance of victory was to defeat the Allies before the overwhelming human and matériel resources of the United States could be deployed. They also had the temporary advantage in numbers afforded by the nearly 50 divisions freed by the Russian surrender.;;The 1918 Spring Offensive was a series of German attacks along the Western Front during World War I, beginning on 21 March 1918, which marked the deepest advances by either side since 1914. The Germans had realised that their only remaining chance of victory was to defeat the Allies before the overwhelming human and matériel resources of the United States could be deployed. They also had the temporary advantage in numbers afforded by the nearly 50 divisions freed by the Russian surrender.;;;;;;;;;x
SCENARIO_Gallipoli;Gallipoli Campaign;Gallipoli Campaign;Gallipoli Campaign;;Gallipoli Campaign;;;;;;;;;x
SCENARIO_Gallipoli_DESC;The Gallipoli Campaign took place on the Gallipoli peninsula in the Ottoman Empire between 25 April 1915 and 9 January 1916. A joint British and French operation was mounted to capture the Ottoman capital of Constantinople and secure a sea route to Russia. The attempt failed, with heavy casualties on both sides. The campaign was considered one of the greatest victories of the Turks and was reflected on as a major failure by the Allies.;The Gallipoli Campaign took place on the Gallipoli peninsula in the Ottoman Empire between 25 April 1915 and 9 January 1916. A joint British and French operation was mounted to capture the Ottoman capital of Constantinople and secure a sea route to Russia. The attempt failed, with heavy casualties on both sides. The campaign was considered one of the greatest victories of the Turks and was reflected on as a major failure by the Allies.;The Gallipoli Campaign took place on the Gallipoli peninsula in the Ottoman Empire between 25 April 1915 and 9 January 1916. A joint British and French operation was mounted to capture the Ottoman capital of Constantinople and secure a sea route to Russia. The attempt failed, with heavy casualties on both sides. The campaign was considered one of the greatest victories of the Turks and was reflected on as a major failure by the Allies.;;The Gallipoli Campaign took place on the Gallipoli peninsula in the Ottoman Empire between 25 April 1915 and 9 January 1916. A joint British and French operation was mounted to capture the Ottoman capital of Constantinople and secure a sea route to Russia. The attempt failed, with heavy casualties on both sides. The campaign was considered one of the greatest victories of the Turks and was reflected on as a major failure by the Allies.;;;;;;;;;x
SCENARIO_Jutland;Battle of Jutland;Battle of Jutland;Battle of Jutland;;Battle of Jutland;;;;;;;;;x
SCENARIO_Jutland_DESC;Battle of Jutland;Battle of Jutland;Battle of Jutland;;Battle of Jutland;;;;;;;;;x
austrian_brigade;Stormtroopers;Stormtroopers;Stormtroopers;;Stormtroopers;;;;;;;;;x
austrian_brigade_short;STM;STM;STM;;STM;;;;;;;;;x
janissary_brigade;Hucum Mufrezesi;Hucum Mufrezesi;Hucum Mufrezesi;;Hucum Mufrezesi;;;;;;;;;x
janissary_brigade_short;Hcm;Hcm;Hcm;;Hcm;;;;;;;;;x
tactic_prolonged_bombardment;Prolonged Bombardment;Prolonged Bombardment;Prolonged Bombardment;;Prolonged Bombardment;;;;;;;;;x
tactic_rolling_barrage;Rolling Barrage;Rolling Barrage;Rolling Barrage;;Rolling Barrage;;;;;;;;;x
tactic_peaceful_penetration;Peaceful Penetration;Peaceful Penetration;Peaceful Penetration;;Peaceful Penetration;;;;;;;;;x
tactic_counter_barrage;Counter Barrage;Counter Barrage;Counter Barrage;;Counter Barrage;;;;;;;;;x
SO_Axis_1;Control Paris;Control Paris;Control Paris;;Control Paris;;;;;;;;;x
SO_Axis_2;Control Calais;Control Calais;Control Calais;;Control Calais;;;;;;;;;x
SO_Axis_3;Control Cherbourg;Control Cherbourg;Control Cherbourg;;Control Cherbourg;;;;;;;;;x
SO_Axis_4;Control Nantes;Control Nantes;Control Nantes;;Control Nantes;;;;;;;;;x
SO_Allies_1;Control Brussels;Control Brussels;Control Brussels;;Control Brussels;;;;;;;;;x
SO_Allies_2;Control Stuttgart;Control Stuttgart;Control Stuttgart;;Control Stuttgart;;;;;;;;;x
SO_Allies_3;Control Munich;Control Munich;Control Munich;;Control Munich;;;;;;;;;x
SO_Allies_4;Control Dusseldorf;Control Dusseldorf;Control Dusseldorf;;Control Dusseldorf;;;;;;;;;x
