FACTION_PROGRESS_DESC;$WHO$ controls 即$PERCENT$%劬 of the victory points. (Currently $OUR$ out of $TOTAL$).;$WHO$ controls 即$PERCENT$%劬 of the victory points. (Currently $OUR$ out of $TOTAL$).;$WHO$ controls 即$PERCENT$%劬 of the victory points. (Currently $OUR$ out of $TOTAL$).;;$WHO$ controls 即$PERCENT$%劬 of the victory points. (Currently $OUR$ out of $TOTAL$).;;;;;;;;;x
CW_WARNALLIES;They are allied with $COUNTRY$.;They are allied with $COUNTRY$.;They are allied with $COUNTRY$.;;They are allied with $COUNTRY$.;;;;;;;;;x
CW_WARNGUARANTEED;They are guaranteed by $COUNTRY$.;They are guaranteed by $COUNTRY$.;They are guaranteed by $COUNTRY$.;;They are guaranteed by $COUNTRY$.;;;;;;;;;x
CW_WARNWARN;We have been warned by $COUNTRY$, so they may intervene.;We have been warned by $COUNTRY$, so they may intervene.;We have been warned by $COUNTRY$, so they may intervene.;;We have been warned by $COUNTRY$, so they may intervene.;;;;;;;;;x
CW_WARNALLIES2;$ENEMY$ is allied with $COUNTRY$.;$ENEMY$ is allied with $COUNTRY$.;$ENEMY$ is allied with $COUNTRY$.;;$ENEMY$ is allied with $COUNTRY$.;;;;;;;;;x
CW_WARNGUARANTEED2;$ENEMY$ is guaranteed by $COUNTRY$.;$ENEMY$ is guaranteed by $COUNTRY$.;$ENEMY$ is guaranteed by $COUNTRY$.;;$ENEMY$ is guaranteed by $COUNTRY$.;;;;;;;;;x
CW_WARNWARN2;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;;$FRIEND$ has been warned by $COUNTRY$, so they may intervene.;;;;;;;;;x
CW_WARNOVERLORD2;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;;$ENEMY$ is a puppet of $COUNTRY$, who will protect them.;;;;;;;;;x
PW_I_DO;I do;I do;I do;;I do;;;;;;;;;x
PW_RUN_AWAY;Rather not;Rather not;Rather not;;Rather not;;;;;;;;;x
INDEPENDANT;Independent Nation;Independent Nation;Independent Nation;;Independent Nation;;;;;;;;;x
VASSAL_SUBJECT;Puppet of $LORD$;Puppet of $LORD$;Puppet of $LORD$;;Puppet of $LORD$;;;;;;;;;x
