REMOVE_MINISTER_EFFECT;§Y$NAME$§W Will be removed§W.\n;§Y$NAME$§W Will be removed§W.\n;§Y$NAME$§W Will be removed§W.\n;;§Y$NAME$§W Will be removed§W.\n;;;;;;;;;x
ADD_UNITY_EFFECT;Gain §G$VALUE$§W unity§W.\n;Gain §G$VALUE$§W unity§W.\n;Gain §G$VALUE$§W unity§W.\n;;Gain §G$VALUE$§W unity§W.\n;;;;;;;;;x
REMOVE_UNITY_EFFECT;Lose §R$VALUE$§W unity§W.\n;Lose §R$VALUE$§W unity§W.\n;Lose §R$VALUE$§W unity§W.\n;;Lose §R$VALUE$§W unity§W.\n;;;;;;;;;x
ADD_MANPOWER_EFFECT;Gain §G$VALUE$§W manpower§W.\n;Gain §G$VALUE$§W manpower§W.\n;Gain §G$VALUE$§W manpower§W.\n;;Gain §G$VALUE$§W manpower§W.\n;;;;;;;;;x
REMOVE_MANPOWER_EFFECT;Lose §R$VALUE$§W manpower§W.\n;Lose §R$VALUE$§W manpower§W.\n;Lose §R$VALUE$§W manpower§W.\n;;Lose §R$VALUE$§W manpower§W.\n;;;;;;;;;x
ADD_CRUDE_OIL_EFFECT;Gain §G$VALUE$§W crude oil§W.\n;Gain §G$VALUE$§W crude oil§W.\n;Gain §G$VALUE$§W crude oil§W.\n;;Gain §G$VALUE$§W crude oil§W.\n;;;;;;;;;x
REMOVE_CRUDE_OIL_EFFECT;Lose §R$VALUE$§W crude oil§W.\n;Lose §R$VALUE$§W crude oil§W.\n;Lose §R$VALUE$§W crude oil§W.\n;;Lose §R$VALUE$§W crude oil§W.\n;;;;;;;;;x
ADD_METAL_EFFECT;Gain §G$VALUE$§W metal§W.\n;Gain §G$VALUE$§W metal§W.\n;Gain §G$VALUE$§W metal§W.\n;;Gain §G$VALUE$§W metal§W.\n;;;;;;;;;x
REMOVE_METAL_EFFECT;Lose §R$VALUE$§W metal§W.\n;Lose §R$VALUE$§W metal§W.\n;Lose §R$VALUE$§W metal§W.\n;;Lose §R$VALUE$§W metal§W.\n;;;;;;;;;x
ADD_ENERGY_EFFECT;Gain §G$VALUE$§W energy§W.\n;Gain §G$VALUE$§W energy§W.\n;Gain §G$VALUE$§W energy§W.\n;;Gain §G$VALUE$§W energy§W.\n;;;;;;;;;x
REMOVE_ENERGY_EFFECT;Lose §R$VALUE$§W energy§W.\n;Lose §R$VALUE$§W energy§W.\n;Lose §R$VALUE$§W energy§W.\n;;Lose §R$VALUE$§W energy§W.\n;;;;;;;;;x
ADD_RARE_MATERIALS_EFFECT;Gain §G$VALUE$§W rare materials§W.\n;Gain §G$VALUE$§W rare materials§W.\n;Gain §G$VALUE$§W rare materials§W.\n;;Gain §G$VALUE$§W rare materials§W.\n;;;;;;;;;x
REMOVE_RARE_MATERIALS_EFFECT;Lose §R$VALUE$§W rare materials§W.\n;Lose §R$VALUE$§W rare materials§W.\n;Lose §R$VALUE$§W rare materials§W.\n;;Lose §R$VALUE$§W rare materials§W.\n;;;;;;;;;x
ADD_SUPPLIES_EFFECT;Gain §G$VALUE$§W supplies§W.\n;Gain §G$VALUE$§W supplies§W.\n;Gain §G$VALUE$§W supplies§W.\n;;Gain §G$VALUE$§W supplies§W.\n;;;;;;;;;x
REMOVE_SUPPLIES_EFFECT;Lose §R$VALUE$§W supplies§W.\n;Lose §R$VALUE$§W supplies§W.\n;Lose §R$VALUE$§W supplies§W.\n;;Lose §R$VALUE$§W supplies§W.\n;;;;;;;;;x
ADD_MONEY_EFFECT;Gain §G$VALUE$§W money§W.\n;Gain §G$VALUE$§W money§W.\n;Gain §G$VALUE$§W money§W.\n;;Gain §G$VALUE$§W money§W.\n;;;;;;;;;x
REMOVE_MONEY_EFFECT;Lose §R$VALUE$§W money§W.\n;Lose §R$VALUE$§W money§W.\n;Lose §R$VALUE$§W money§W.\n;;Lose §R$VALUE$§W money§W.\n;;;;;;;;;x
START_GUARANTEE_EFFECT;§Y$COUNTRY$§W will start guaranteeing §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will start guaranteeing §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will start guaranteeing §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will start guaranteeing §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
END_GUARANTEE_EFFECT;§Y$COUNTRY$§W will end its guarantee to §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will end its guarantee to §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will end its guarantee to §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will end its guarantee to §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
GRANT_MILITARY_ACCESS_EFFECT;§Y$TARGET_COUNTRY$§W will grant §Y$COUNTRY$§W military access§W.\n;§Y$TARGET_COUNTRY$§W will grant §Y$COUNTRY$§W military access§W.\n;§Y$TARGET_COUNTRY$§W will grant §Y$COUNTRY$§W military access§W.\n;;§Y$TARGET_COUNTRY$§W will grant §Y$COUNTRY$§W military access§W.\n;;;;;;;;;x
REVOKE_MILITARY_ACCESS_EFFECT;§Y$COUNTRY$§W will revoke military access with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will revoke military access with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will revoke military access with §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will revoke military access with §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
START_NON_AGGRESSION_PACT_EFFECT;§Y$COUNTRY$§W will be in a  non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will be in a  non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will be in a  non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will be in a  non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
END_NON_AGGRESSION_PACT_EFFECT;§Y$COUNTRY$§W will end a non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will end a non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will end a non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will end a non-aggression pact with §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
LEAVE_ALLIANCE_EFFECT;§Y$COUNTRY$§W will end its alliance with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will end its alliance with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will end its alliance with §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will end its alliance with §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
REPLACE_MINISTER_EFFECT;§Y$NAME$§W will become §Y$POSITION$§W.\n;§Y$NAME$§W will become §Y$POSITION$§W.\n;§Y$NAME$§W will become §Y$POSITION$§W.\n;;§Y$NAME$§W will become §Y$POSITION$§W.\n;;;;;;;;;x
END_WAR_EFFECT;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W will no longer be enemies§W.\n;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W will no longer be enemies§W.\n;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W will no longer be enemies§W.\n;;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W will no longer be enemies§W.\n;;;;;;;;;x
JOIN_ALLIANCE_EFFECT;§Y$COUNTRY$§W will join an alliance with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will join an alliance with §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W will join an alliance with §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W will join an alliance with §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
START_WAR_EFFECT;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W become enemies§W.\n;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W become enemies§W.\n;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W become enemies§W.\n;;§Y$COUNTRY$§W and §Y$TARGET_COUNTRY$§W become enemies§W.\n;;;;;;;;;x
REMOVE_PROVINCE_CRUDE_OIL_EFFECT;Lose §R$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_THREAT_EFFECT;§Y$COUNTRY$§W gains §R$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W gains §R$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W gains §R$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W gains §R$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
REMOVE_THREAT_EFFECT;§Y$COUNTRY$§W loses §G$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W loses §G$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;§Y$COUNTRY$§W loses §G$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;;§Y$COUNTRY$§W loses §G$VALUE$§W threat on §Y$TARGET_COUNTRY$§W.\n;;;;;;;;;x
ADD_PROVINCE_CRUDE_OIL_EFFECT;Gain §G$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W crude oil in §Y$PROVINCE$§W.\n;;;;;;;;;x
REMOVE_PROVINCE_METAL_EFFECT;Lose §R$VALUE$§W metal in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W metal in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W metal in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W metal in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_PROVINCE_METAL_EFFECT;Gain §G$VALUE$§W metal in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W metal in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W metal in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W metal in §Y$PROVINCE$§W.\n;;;;;;;;;x
REMOVE_PROVINCE_ENERGY_EFFECT;Lose §R$VALUE$§W energy in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W energy in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W energy in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W energy in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_PROVINCE_ENERGY_EFFECT;Gain §G$VALUE$§W energy in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W energy in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W energy in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W energy in §Y$PROVINCE$§W.\n;;;;;;;;;x
REMOVE_PROVINCE_RARE_MATERIALS_EFFECT;Lose §R$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_PROVINCE_RARE_MATERIALS_EFFECT;Gain §G$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W rare materials in §Y$PROVINCE$§W.\n;;;;;;;;;x
REMOVE_PROVINCE_SUPPLIES_EFFECT;Lose §R$VALUE$§W supplies in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W supplies in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W supplies in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W supplies in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_PROVINCE_SUPPLIES_EFFECT;Gain §G$VALUE$§W supplies in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W supplies in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W supplies in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W supplies in §Y$PROVINCE$§W.\n;;;;;;;;;x
REMOVE_PROVINCE_MONEY_EFFECT;Lose §R$VALUE$§W money in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W money in §Y$PROVINCE$§W.\n;Lose §R$VALUE$§W money in §Y$PROVINCE$§W.\n;;Lose §R$VALUE$§W money in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_PROVINCE_MONEY_EFFECT;Gain §G$VALUE$§W money in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W money in §Y$PROVINCE$§W.\n;Gain §G$VALUE$§W money in §Y$PROVINCE$§W.\n;;Gain §G$VALUE$§W money in §Y$PROVINCE$§W.\n;;;;;;;;;x
CREATE_VASSAL_EFFECT;§Y$TARGET_COUNTRY$§W becomes a puppet of §Y$COUNTRY$§W.\n;§Y$TARGET_COUNTRY$§W becomes a puppet of §Y$COUNTRY$§W.\n;§Y$TARGET_COUNTRY$§W becomes a puppet of §Y$COUNTRY$§W.\n;;§Y$TARGET_COUNTRY$§W becomes a puppet of §Y$COUNTRY$§W.\n;;;;;;;;;x
ADD_BUILDING_EFFECT;Gain §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;Gain §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;Gain §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;;Gain §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;;;;;;;;;x
REMOVE_BUILDING_EFFECT;Lose §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;Lose §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;Lose §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;;Lose §Y$BUILDING$§W with level §Y$VALUE$§W in §Y$PROVINCE$§W.\n;;;;;;;;;x
ADD_ORGANISATION_POPULARITY_EFFECT;§Y$IDEOLOGY$§W gains §G$ORGANISATION$§W in organisation and §G$POPULARITY$§W in popularity§W.\n;§Y$IDEOLOGY$§W gains §G$ORGANISATION$§W in organisation and §G$POPULARITY$§W in popularity§W.\n;§Y$IDEOLOGY$§W gains §G$ORGANISATION$§W in organisation and §G$POPULARITY$§W in popularity§W.\n;;§Y$IDEOLOGY$§W gains §G$ORGANISATION$§W in organisation and §G$POPULARITY$§W in popularity§W.\n;;;;;;;;;x
REMOVE_ORGANISATION_POPULARITY_EFFECT;§Y$IDEOLOGY$§W loses §R$ORGANISATION$§W in organisation and §R$POPULARITY$§W in popularity§W.\n;§Y$IDEOLOGY$§W loses §R$ORGANISATION$§W in organisation and §R$POPULARITY$§W in popularity§W.\n;§Y$IDEOLOGY$§W loses §R$ORGANISATION$§W in organisation and §R$POPULARITY$§W in popularity§W.\n;;§Y$IDEOLOGY$§W loses §R$ORGANISATION$§W in organisation and §R$POPULARITY$§W in popularity§W.\n;;;;;;;;;x
ADD_NEUTRALITY_EFFECT;§Y$COUNTRY$§W gains §R$VALUE$§W in neutrality§W.\n;§Y$COUNTRY$§W gains §R$VALUE$§W in neutrality§W.\n;§Y$COUNTRY$§W gains §R$VALUE$§W in neutrality§W.\n;;§Y$COUNTRY$§W gains §R$VALUE$§W in neutrality§W.\n;;;;;;;;;x
REMOVE_NEUTRALITY_EFFECT;§Y$COUNTRY$§W loses §G$VALUE$§W in neutrality§W.\n;§Y$COUNTRY$§W loses §G$VALUE$§W in neutrality§W.\n;§Y$COUNTRY$§W loses §G$VALUE$§W in neutrality§W.\n;;§Y$COUNTRY$§W loses §G$VALUE$§W in neutrality§W.\n;;;;;;;;;x
ADD_DISSENT_EFFECT;Gain §R$VALUE$§W in dissent§W.\n;Gain §R$VALUE$§W in dissent§W.\n;Gain §R$VALUE$§W in dissent§W.\n;;Gain §R$VALUE$§W in dissent§W.\n;;;;;;;;;x
REMOVE_DISSENT_EFFECT;Lose §G$VALUE$§W in dissent§W.\n;Lose §G$VALUE$§W in dissent§W.\n;Lose §G$VALUE$§W in dissent§W.\n;;Lose §G$VALUE$§W in dissent§W.\n;;;;;;;;;x
FORM_GOVERMENT_IN_EXILE;Form a Government in Exile.\n;Form a Government in Exile.\n;Form a Government in Exile.\n;;Form a Government in Exile.\n;;;;;;;;;x
REVOKE_GOVERMENT_IN_EXILE;Revoke the Government in Exile.\n;Revoke the Government in Exile.\n;Revoke the Government in Exile.\n;;Revoke the Government in Exile.\n;;;;;;;;;x
ADD_RULING_PARTY_ORG_EFFECT;$NAME$ gains §Y$VALUE$§W organisation.;$NAME$ gains §Y$VALUE$§W organisation.;$NAME$ gains §Y$VALUE$§W organisation.;;$NAME$ gains §Y$VALUE$§W organisation.;;;;;;;;;x
REMOVE_RULING_PARTY_ORG_EFFECT;$NAME$ loses §Y$VALUE$§W organisation.\n;$NAME$ loses §Y$VALUE$§W organisation.\n;$NAME$ loses §Y$VALUE$§W organisation.\n;;$NAME$ loses §Y$VALUE$§W organisation.\n;;;;;;;;;x
ADD_RULING_PARTY_POP_EFFECT;$NAME$ gains §Y$VALUE$§W popularity.\n;$NAME$ gains §Y$VALUE$§W popularity.\n;$NAME$ gains §Y$VALUE$§W popularity.\n;;$NAME$ gains §Y$VALUE$§W popularity.\n;;;;;;;;;x
REMOVE_RULING_PARTY_POP_EFFECT;$NAME$ loses §Y$VALUE$§W popularity.\n;$NAME$ loses §Y$VALUE$§W popularity.\n;$NAME$ loses §Y$VALUE$§W popularity.\n;;$NAME$ loses §Y$VALUE$§W popularity.\n;;;;;;;;;x
JOIN_FACTION_EFFECT;Join $FACTION$.\n;Join $FACTION$.\n;Join $FACTION$.\n;;Join $FACTION$.\n;;;;;;;;;x
LEAVE_FACTION_EFFECT;Leave $FACTION$.\n;Leave $FACTION$.\n;Leave $FACTION$.\n;;Leave $FACTION$.\n;;;;;;;;;x
SPLIT_TROOPS_EFF;Gain §Y$VALUE$%§W of all military forces of §Y$NAME$§W.\n;Gain §Y$VALUE$%§W of all military forces of §Y$NAME$§W.\n;Gain §Y$VALUE$%§W of all military forces of §Y$NAME$§W.\n;;Gain §Y$VALUE$%§W of all military forces of §Y$NAME$§W.\n;;;;;;;;;x
