qing_administration_title;Qing Administration;;;;;;;;;;;;x;;,,,,,,,,,,
qing_administration_desc;Qing Administration;;;;;;;;;;;;x;;,,,,,,,,,,
rebellion_administration_title;Rebel Administration;;;;;;;;;;;;x;;,,,,,,,,,,
rebellion_administration_desc;Rebel Administration;;;;;;;;;;;;x;;,,,,,,,,,,
protect_the_yellow_dragon_flag_title;Protect the Yellow Dragon Flag!;;;;;;;;;;;;x;;,,,,,,,,,,
protect_the_yellow_dragon_flag_desc;Protect the Yellow Dragon Flag!;;;;;;;;;;;;x;;,,,,,,,,,,
ns_peace_conference_title;North - South peace conference;;;;;;;;;;;;x;;,,,,,,,,,,
"ns_peace_conference_desc;After the Provisional Government of ROC was established, the revolutionaries divided into two factions, some militants wanted to keep fighting and others want to negotiate with Yuan Shikai and end this war."," Yuan Shikai knew about this and he wasn't loyal to the Qing but to himself, so he sent Tang Shaoyi to meet with the delegation of the Provisional Government. It is the time that we have to decide what to do.",,,,,,,,,
CHIE6;Protect the Yellow Dragon Flag!;;Protect the Yellow Dragon Flag!;;;;;;;;;;;x,,,,,,,,,,
desc_CHIE6;After the Boxer Rebellion the Qing Empire was forced to sign the Xinchou Treaty with the 11 Great Powers and had to pay a huge amount of indemnity.,This led to a considerable loss in the treasury and national sovereignty.  Some revolutionaries took the opportunity to recruit members and spread their ideals.,"The Empire was already tottering., but there was still a ray of hope.  Firstly, the leader of the Conservatives, Empress Dowager Cixi died in 1908."," This allowed some ministers to gradually support limited modernising reforms including military, political and social.","Yuan Shikai, the most powerful Han minister at that time was relieved of all his posts and sent back to his homeland where he was unable to have any impact on the government for a short time.", Right now the most important thing is to strengthen the rule of the Manchus. The Yellow Dragon Flag must wave on this land forever.;;;;;;;;;;;;;x,,,,,
opta_CHIE6;Wansui!;;Wansui!;;;;;;;;;;;x,,,,,,,,,,
CHIE7;Something you must keep in mind;;Something you must keep in mind;;;;;;;;;;;x,,,,,,,,,,
desc_CHIE7;There are somethings you should note when you are playing. First do not delete or change the name of existing units  as that will break the chain of events.,,"Second, it is recommended that you control the troops yourself, or you will regret your decision to let the AI control them.",Finally select the options of events carefully and make sure that the development of the Empire is on the right way.;;;;;;;;;;;;;x,,,,,,,
opta_CHIE7;I got it!;;I got it!;;;;;;;;;;;x,,,,,,,,,,
CHIE9;Four Powers Consortium;;Four Powers Consortium;;;;;;;;;;;x,,,,,,,,,,
desc_CHIE9;After the Opium war the Great Powers and America tried to get the most economic benefits from the Qing Empire. They were usually stopped by other Great Powers especially Japan.,"When they heard that the Qing Government wanted to build the Hankou-Guangdong Railway and wanted to ask for a loan from Germany, the other Great Powers urged that they also wanted to loan money to the Qing Government.","Finally on 23rd May 1910 America, France, Great Britian and Germany formed the Four Powers Consortium and decided to loan money to the Qing Government together.;;;;;;;;;;;;;x",,,,,,,, 
opta_CHIE9;We need their money.;;We need their money.;;;;;;;;;;;x,,,
CHIErailw1;The Nationalization of Railway Projects;;The Nationalization of Railway Projects;;;;;;;;;;;x,,,
