Tag;English;English;English;;English;;;;;;;;;x
THEYSURRENDER_SETUP;When a wargoal is enforced;When a wargoal is enforced;When a wargoal is enforced;;When a wargoal is enforced;;;;;;;;;x
THEYSURRENDER_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
THEYSURRENDER_1;$AGRESSOR$ enforced;$AGRESSOR$ enforced;$AGRESSOR$ enforced;;$AGRESSOR$ enforced;;;;;;;;;x
THEYSURRENDER_2;$WARGOAL$;$WARGOAL$;$WARGOAL$;;$WARGOAL$;;;;;;;;;x
THEYSURRENDER_3;on $TARGET$;on $TARGET$;on $TARGET$;;on $TARGET$;;;;;;;;;x
THEYSURRENDER_4;*;*;*;;*;;;;;;;;;x
THEYSURRENDER_5;*;*;*;;*;;;;;;;;;x
THEYSURRENDER_6;*;*;*;;*;;;;;;;;;x
THEYSURRENDER_LOG;$TARGET$ surrendered;$TARGET$ surrendered;$TARGET$ surrendered;;$TARGET$ surrendered;;;;;;;;;x
THEYSURRENDER_BTN1;OK;OK;OK;;OK;;;;;;;;;x
THEYSURRENDER_BTN2;OK;OK;OK;;OK;;;;;;;;;x
THEYSURRENDER_BTN3;GOTO;GOTO;GOTO;;GOTO;;;;;;;;;x
THEYSURRENDER_MAP;Surrender!;Surrender!;Surrender!;;Surrender!;;;;;;;;;x
THEYSURRENDERUS_SETUP;When we enforce a wargoal;When we enforce a wargoal;When we enforce a wargoal;;When we enforce a wargoal;;;;;;;;;x
THEYSURRENDERUS_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
THEYSURRENDERUS_1;We enforced;We enforced;We enforced;;We enforced;;;;;;;;;x
THEYSURRENDERUS_2;$WARGOAL$;$WARGOAL$;$WARGOAL$;;$WARGOAL$;;;;;;;;;x
THEYSURRENDERUS_3;on $TARGET$;on $TARGET$;on $TARGET$;;on $TARGET$;;;;;;;;;x
THEYSURRENDERUS_4;*;*;*;;*;;;;;;;;;x
THEYSURRENDERUS_5;*;*;*;;*;;;;;;;;;x
THEYSURRENDERUS_6;*;*;*;;*;;;;;;;;;x
THEYSURRENDERUS_LOG;$TARGET$ surrendered to us;$TARGET$ surrendered to us;$TARGET$ surrendered to us;;$TARGET$ surrendered to us;;;;;;;;;x
THEYSURRENDERUS_BTN1;OK;OK;OK;;OK;;;;;;;;;x
THEYSURRENDERUS_BTN2;OK;OK;OK;;OK;;;;;;;;;x
THEYSURRENDERUS_BTN3;GOTO;GOTO;GOTO;;GOTO;;;;;;;;;x
THEYSURRENDERUS_MAP;Surrender!;Surrender!;Surrender!;;Surrender!;;;;;;;;;x
WESURRENDER_SETUP;When a wargoal is enforced on us;When a wargoal is enforced on us;When a wargoal is enforced on us;;When a wargoal is enforced on us;;;;;;;;;x
WESURRENDER_HEADER;$foreign_minister$ reports;$foreign_minister$ reports;$foreign_minister$ reports;;$foreign_minister$ reports;;;;;;;;;x
WESURRENDER_1;$AGRESSOR$ enforced;$AGRESSOR$ enforced;$AGRESSOR$ enforced;;$AGRESSOR$ enforced;;;;;;;;;x
WESURRENDER_2;$WARGOAL$;$WARGOAL$;$WARGOAL$;;$WARGOAL$;;;;;;;;;x
WESURRENDER_3;on us;on us;on us;;on us;;;;;;;;;x
WESURRENDER_4;*;*;*;;*;;;;;;;;;x
WESURRENDER_5;*;*;*;;*;;;;;;;;;x
WESURRENDER_6;*;*;*;;*;;;;;;;;;x
WESURRENDER_LOG;We surrendered to $AGRESSOR$;We surrendered to $AGRESSOR$;We surrendered to $AGRESSOR$;;We surrendered to $AGRESSOR$;;;;;;;;;x
WESURRENDER_BTN1;OK;OK;OK;;OK;;;;;;;;;x
WESURRENDER_BTN2;OK;OK;OK;;OK;;;;;;;;;x
WESURRENDER_BTN3;GOTO;GOTO;GOTO;;GOTO;;;;;;;;;x
WESURRENDER_MAP;Surrender!;Surrender!;Surrender!;;Surrender!;;;;;;;;;x
SURRENDER_PROGRESS_ATLEAST_TRIGGER;即$COUNTRY$劬 surrender progress at least 即$VALUE$%劬.\n;即$COUNTRY$劬 surrender progress at least 即$VALUE$%劬.\n;即$COUNTRY$劬 surrender progress at least 即$VALUE$%劬.\n;;即$COUNTRY$劬 surrender progress at least 即$VALUE$%劬.\n;;;;;;;;;x
SURRENDER_PROGRESS_NOT_TRIGGER;即$COUNTRY$劬 surrender progress not 即$VALUE$%劬.\n;即$COUNTRY$劬 surrender progress not 即$VALUE$%劬.\n;即$COUNTRY$劬 surrender progress not 即$VALUE$%劬.\n;;即$COUNTRY$劬 surrender progress not 即$VALUE$%劬.\n;;;;;;;;;x
great_patrotic_war;Great Patriotic War;Great Patriotic War;Great Patriotic War;;Great Patriotic War;;;;;;;;;x
fractured_government;Fractured government;Fractured government;Fractured government;;Fractured government;;;;;;;;;x
