LIBERATE_COUNTRY;Liberate Country;Liberate Country;Liberate Country;;Liberate Country;;;;;;;;;x
CREATE_PUPPET;Create Puppet;Create Puppet;Create Puppet;;Create Puppet;;;;;;;;;x
POLITICAL_ORGANIZATION;Organisation;Organisation;Organisation;;Organisation;;;;;;;;;x
POLITICAL_POPULARITY;Popularity;Popularity;Popularity;;Popularity;;;;;;;;;x
RULING_IDEOLOGY;Ruling Ideology;Ruling Ideology;Ruling Ideology;;Ruling Ideology;;;;;;;;;x
head_of_state;Head of State;Head of State;Head of State;;Head of State;;;;;;;;;x
head_of_government;Head of Government;Head of Government;Head of Government;;Head of Government;;;;;;;;;x
foreign_minister;Foreign Minister;Foreign Minister;Foreign Minister;;Foreign Minister;;;;;;;;;x
armament_minister;Armament Minister;Armament Minister;Armament Minister;;Armament Minister;;;;;;;;;x
minister_of_security;Minister of Security;Minister of Security;Minister of Security;;Minister of Security;;;;;;;;;x
minister_of_intelligence;Head of Intelligence;Head of Intelligence;Head of Intelligence;;Head of Intelligence;;;;;;;;;x
chief_of_staff;Chief of Staff;Chief of Staff;Chief of Staff;;Chief of Staff;;;;;;;;;x
chief_of_army;Chief of the Army;Chief of the Army;Chief of the Army;;Chief of the Army;;;;;;;;;x
chief_of_navy;Chief of the Navy;Chief of the Navy;Chief of the Navy;;Chief of the Navy;;;;;;;;;x
chief_of_air;Chief of the Air Force;Chief of the Air Force;Chief of the Air Force;;Chief of the Air Force;;;;;;;;;x
national_socialist;National Socialist;National Socialist;National Socialist;;National Socialist;;;;;;;;;x
fascistic;Fascist;Fascist;Fascist;;Fascist;;;;;;;;;x
paternal_autocrat;Paternal Autocrat;Paternal Autocrat;Paternal Autocrat;;Paternal Autocrat;;;;;;;;;x
social_conservative;Social Conservative;Social Conservative;Social Conservative;;Social Conservative;;;;;;;;;x
market_liberal;Market Liberal;Market Liberal;Market Liberal;;Market Liberal;;;;;;;;;x
social_liberal;Social Liberal;Social Liberal;Social Liberal;;Social Liberal;;;;;;;;;x
social_democrat;Social Democrat;Social Democrat;Social Democrat;;Social Democrat;;;;;;;;;x
left_wing_radical;Left-Wing Radical;Left-Wing Radical;Left-Wing Radical;;Left-Wing Radical;;;;;;;;;x
leninist;Leninist;Leninist;Leninist;;Leninist;;;;;;;;;x
stalinist;Stalinist;Stalinist;Stalinist;;Stalinist;;;;;;;;;x
biased_intellectual;Biased Intellectual;Biased Intellectual;Biased Intellectual;;Biased Intellectual;;;;;;;;;x
ideological_crusader;Ideological Crusader;Ideological Crusader;Ideological Crusader;;Ideological Crusader;;;;;;;;;x
apologetic_clerk;Apologetic Clerk;Apologetic Clerk;Apologetic Clerk;;Apologetic Clerk;;;;;;;;;x
iron_fisted_brute;Iron-Fisted Brute;Iron-Fisted Brute;Iron-Fisted Brute;;Iron-Fisted Brute;;;;;;;;;x
great_compromiser;Great Compromiser;Great Compromiser;Great Compromiser;;Great Compromiser;;;;;;;;;x
general_staffer;General Staffer;General Staffer;General Staffer;;General Staffer;;;;;;;;;x
the_cloak_n_dagger_schemer;Cloak-and-Dagger Schemer;Cloak-and-Dagger Schemer;Cloak-and-Dagger Schemer;;Cloak-and-Dagger Schemer;;;;;;;;;x
administrative_genius;Administrative Genius;Administrative Genius;Administrative Genius;;Administrative Genius;;;;;;;;;x
resource_industrialist;Resource Industrialist;Resource Industrialist;Resource Industrialist;;Resource Industrialist;;;;;;;;;x
laissez_faires_capitalist;Laissez-Faire Capitalist;Laissez-Faire Capitalist;Laissez-Faire Capitalist;;Laissez-Faire Capitalist;;;;;;;;;x
theoretical_scientist;Theoretical Scientist;Theoretical Scientist;Theoretical Scientist;;Theoretical Scientist;;;;;;;;;x
military_entrepreneur;Military Entrepreneur;Military Entrepreneur;Military Entrepreneur;;Military Entrepreneur;;;;;;;;;x
battle_fleet_proponent;Battle Fleet Proponent;Battle Fleet Proponent;Battle Fleet Proponent;;Battle Fleet Proponent;;;;;;;;;x
submarine_proponent;Submarine Proponent;Submarine Proponent;Submarine Proponent;;Submarine Proponent;;;;;;;;;x
tank_proponent;Tank Proponent;Tank Proponent;Tank Proponent;;Tank Proponent;;;;;;;;;x
infantry_proponent;Infantry Proponent;Infantry Proponent;Infantry Proponent;;Infantry Proponent;;;;;;;;;x
air_to_ground_proponent;Air-to-Ground Proponent;Air-to-Ground Proponent;Air-to-Ground Proponent;;Air-to-Ground Proponent;;;;;;;;;x
air_to_sea_proponent;Air-to-Sea Proponent;Air-to-Sea Proponent;Air-to-Sea Proponent;;Air-to-Sea Proponent;;;;;;;;;x
strategic_air_proponent;Strategic Air Proponent;Strategic Air Proponent;Strategic Air Proponent;;Strategic Air Proponent;;;;;;;;;x
silent_lawyer;Silent Lawyer;Silent Lawyer;Silent Lawyer;;Silent Lawyer;;;;;;;;;x
compassionate_gentleman;Compassionate Gentleman;Compassionate Gentleman;Compassionate Gentleman;;Compassionate Gentleman;;;;;;;;;x
crime_fighter;Crime Fighter;Crime Fighter;Crime Fighter;;Crime Fighter;;;;;;;;;x
prince_of_terror;Prince of Terror;Prince of Terror;Prince of Terror;;Prince of Terror;;;;;;;;;x
back_stabber;Back Stabber;Back Stabber;Back Stabber;;Back Stabber;;;;;;;;;x
man_of_the_people;Man of the People;Man of the People;Man of the People;;Man of the People;;;;;;;;;x
efficient_sociopath;Efficient Sociopath;Efficient Sociopath;Efficient Sociopath;;Efficient Sociopath;;;;;;;;;x
technical_specialist;Technical Specialist;Technical Specialist;Technical Specialist;;Technical Specialist;;;;;;;;;x
logistics_specialist;Logistics Specialist;Logistics Specialist;Logistics Specialist;;Logistics Specialist;;;;;;;;;x
political_specialist;Political Specialist;Political Specialist;Political Specialist;;Political Specialist;;;;;;;;;x
dismal_enigma;Dismal Enigma;Dismal Enigma;Dismal Enigma;;Dismal Enigma;;;;;;;;;x
industrial_specialist;Industrial Specialist;Industrial Specialist;Industrial Specialist;;Industrial Specialist;;;;;;;;;x
naval_intelligence_specialist;Naval Intelligence Specialist;Naval Intelligence Specialist;Naval Intelligence Specialist;;Naval Intelligence Specialist;;;;;;;;;x
school_of_manoeuvre;School of Manoeuvre;School of Manoeuvre;School of Manoeuvre;;School of Manoeuvre;;;;;;;;;x
school_of_fire_support;School of Fire Support;School of Fire Support;School of Fire Support;;School of Fire Support;;;;;;;;;x
school_of_mass_combat;School of Mass Combat;School of Mass Combat;School of Mass Combat;;School of Mass Combat;;;;;;;;;x
school_of_psychology;School of Psychology;School of Psychology;School of Psychology;;School of Psychology;;;;;;;;;x
school_of_defence;School of Defence;School of Defence;School of Defence;;School of Defence;;;;;;;;;x
elastic_defence_doctrine;Elastic Defence Doctrine;Elastic Defence Doctrine;Elastic Defence Doctrine;;Elastic Defence Doctrine;;;;;;;;;x
static_defence_doctrine;Static Defence Doctrine;Static Defence Doctrine;Static Defence Doctrine;;Static Defence Doctrine;;;;;;;;;x
decisive_battle_doctrine;Decisive Battle Doctrine;Decisive Battle Doctrine;Decisive Battle Doctrine;;Decisive Battle Doctrine;;;;;;;;;x
armoured_spearhead_doctrine;Armoured Spearhead Doctrine;Armoured Spearhead Doctrine;Armoured Spearhead Doctrine;;Armoured Spearhead Doctrine;;;;;;;;;x
guns_and_butter_doctrine;Guns and Butter Doctrine;Guns and Butter Doctrine;Guns and Butter Doctrine;;Guns and Butter Doctrine;;;;;;;;;x
open_seas_doctrine;Open Seas Doctrine;Open Seas Doctrine;Open Seas Doctrine;;Open Seas Doctrine;;;;;;;;;x
decisive_naval_battle_doctrine;Decisive Naval Battle Doctrine;Decisive Naval Battle Doctrine;Decisive Naval Battle Doctrine;;Decisive Naval Battle Doctrine;;;;;;;;;x
power_projection_doctrine;Power Projection Doctrine;Power Projection Doctrine;Power Projection Doctrine;;Power Projection Doctrine;;;;;;;;;x
indirect_approach_doctrine;Indirect Approach Doctrine;Indirect Approach Doctrine;Indirect Approach Doctrine;;Indirect Approach Doctrine;;;;;;;;;x
base_control_doctrine;Base Control Doctrine;Base Control Doctrine;Base Control Doctrine;;Base Control Doctrine;;;;;;;;;x
air_superiority_doctrine;Air Superiority Doctrine;Air Superiority Doctrine;Air Superiority Doctrine;;Air Superiority Doctrine;;;;;;;;;x
naval_aviation_doctrine;Naval Aviation Doctrine;Naval Aviation Doctrine;Naval Aviation Doctrine;;Naval Aviation Doctrine;;;;;;;;;x
army_aviation_doctrine;Army Aviation Doctrine;Army Aviation Doctrine;Army Aviation Doctrine;;Army Aviation Doctrine;;;;;;;;;x
carpet_bombing_doctrine;Carpet Bombing Doctrine;Carpet Bombing Doctrine;Carpet Bombing Doctrine;;Carpet Bombing Doctrine;;;;;;;;;x
vertical_envelopment_doctrine;Vertical Envelopment Doctrine;Vertical Envelopment Doctrine;Vertical Envelopment Doctrine;;Vertical Envelopment Doctrine;;;;;;;;;x
undistinguished_suit;Undistinguished Suit;Undistinguished Suit;Undistinguished Suit;;Undistinguished Suit;;;;;;;;;x
air_superiority_proponent;Air Superiority Proponent;Air Superiority Proponent;Air Superiority Proponent;;Air Superiority Proponent;;;;;;;;;x
corrupt_kleptocrat;Corrupt Kleptocrat;Corrupt Kleptocrat;Corrupt Kleptocrat;;Corrupt Kleptocrat;;;;;;;;;x
crooked_kleptocrat;Crooked Kleptocrat;Crooked Kleptocrat;Crooked Kleptocrat;;Crooked Kleptocrat;;;;;;;;;x
power_hungry_demagogue;Power-Hungry Demagogue;Power-Hungry Demagogue;Power-Hungry Demagogue;;Power-Hungry Demagogue;;;;;;;;;x
barking_buffoon;Barking Buffoon;Barking Buffoon;Barking Buffoon;;Barking Buffoon;;;;;;;;;x
stern_imperialist;Stern Imperialist;Stern Imperialist;Stern Imperialist;;Stern Imperialist;;;;;;;;;x
ruthless_powermonger;Ruthless Powermonger;Ruthless Powermonger;Ruthless Powermonger;;Ruthless Powermonger;;;;;;;;;x
autocratic_charmer;Autocratic Charmer;Autocratic Charmer;Autocratic Charmer;;Autocratic Charmer;;;;;;;;;x
resigned_generalissimo;Resigned Generalissimo;Resigned Generalissimo;Resigned Generalissimo;;Resigned Generalissimo;;;;;;;;;x
benevolent_gentleman;Benevolent Gentleman;Benevolent Gentleman;Benevolent Gentleman;;Benevolent Gentleman;;;;;;;;;x
weary_stiff_neck;Weary Stiff Neck;Weary Stiff Neck;Weary Stiff Neck;;Weary Stiff Neck;;;;;;;;;x
insignificant_layman;Insignificant Layman;Insignificant Layman;Insignificant Layman;;Insignificant Layman;;;;;;;;;x
die_hard_reformer;Die-Hard Reformer;Die-Hard Reformer;Die-Hard Reformer;;Die-Hard Reformer;;;;;;;;;x
pig_headed_isolationist;Pig-Headed Isolationist;Pig-Headed Isolationist;Pig-Headed Isolationist;;Pig-Headed Isolationist;;;;;;;;;x
popular_figurehead;Popular Figurehead;Popular Figurehead;Popular Figurehead;;Popular Figurehead;;;;;;;;;x
silent_workhorse;Silent Workhorse;Silent Workhorse;Silent Workhorse;;Silent Workhorse;;;;;;;;;x
naive_optimist;Naive Optimist;Naive Optimist;Naive Optimist;;Naive Optimist;;;;;;;;;x
flamboyant_tough_guy;Flamboyant Tough Guy;Flamboyant Tough Guy;Flamboyant Tough Guy;;Flamboyant Tough Guy;;;;;;;;;x
happy_amateur;Happy Amateur;Happy Amateur;Happy Amateur;;Happy Amateur;;;;;;;;;x
backroom_backstabber;Backroom Backstabber;Backroom Backstabber;Backroom Backstabber;;Backroom Backstabber;;;;;;;;;x
smiling_oilman;Smiling Oilman;Smiling Oilman;Smiling Oilman;;Smiling Oilman;;;;;;;;;x
old_general;Old General;Old General;Old General;;Old General;;;;;;;;;x
old_admiral;Old Armiral;Old Armiral;Old Armiral;;Old Armiral;;;;;;;;;x
old_air_marshal;Old Air Marshal;Old Air Marshal;Old Air Marshal;;Old Air Marshal;;;;;;;;;x
political_protege;Political Protege;Political Protege;Political Protege;;Political Protege;;;;;;;;;x
ambitious_union_boss;Ambitious Union Boss;Ambitious Union Boss;Ambitious Union Boss;;Ambitious Union Boss;;;;;;;;;x
corporate_suit;Corporate Suit;Corporate Suit;Corporate Suit;;Corporate Suit;;;;;;;;;x
research_specialist;Research Specialist;Research Specialist;Research Specialist;;Research Specialist;;;;;;;;;x
national_socialism;National Socialism;National Socialism;National Socialism;;National Socialism;;;;;;;;;x
fascist_republic;Fascist Republic;Fascist Republic;Fascist Republic;;Fascist Republic;;;;;;;;;x
germanic_fascist_republic;Fascist Republic;Fascist Republic;Fascist Republic;;Fascist Republic;;;;;;;;;x
right_wing_autocrat;Right-Wing Autocracy;Right-Wing Autocracy;Right-Wing Autocracy;;Right-Wing Autocracy;;;;;;;;;x
right_wing_republic;Right-Wing Republic;Right-Wing Republic;Right-Wing Republic;;Right-Wing Republic;;;;;;;;;x
hungarian_right_wing_republic;Right-Wing Republic;Right-Wing Republic;Right-Wing Republic;;Right-Wing Republic;;;;;;;;;x
absolute_monarchy;Absolute Monarchy;Absolute Monarchy;Absolute Monarchy;;Absolute Monarchy;;;;;;;;;x
social_conservatism;Social Conservatism;Social Conservatism;Social Conservatism;;Social Conservatism;;;;;;;;;x
spanish_social_conservatism;Social Conservatism;Social Conservatism;Social Conservatism;;Social Conservatism;;;;;;;;;x
market_liberalism;Market Liberalism;Market Liberalism;Market Liberalism;;Market Liberalism;;;;;;;;;x
social_democracy;Social Democracy;Social Democracy;Social Democracy;;Social Democracy;;;;;;;;;x
social_liberalism;Social Liberalism;Social Liberalism;Social Liberalism;;Social Liberalism;;;;;;;;;x
