EVTNAME10000;The Hindenburg Disaster;The Hindenburg Disaster;The Hindenburg Disaster;;The Hindenburg Disaster;;;;;;;;;x
EVTDESC10000;The German passenger airship Hindenburg was destroyed today while attempting to dock at the Lakehurst Naval Air Station in the United States. For reasons not yet determined, the airship was engulfed in flames and crashed to the ground, claiming 35 lives.\n\nDue to the scarcity and expense of helium, the Hindenburg, like all German passenger airships, was designed to use hydrogen, which provides greater lift but is also flammable. With public faith shaken by this disaster and the rise of much faster passenger aircraft, could this spell the end of the airship era?;The German passenger airship Hindenburg was destroyed today while attempting to dock at the Lakehurst Naval Air Station in the United States. For reasons not yet determined, the airship was engulfed in flames and crashed to the ground, claiming 35 lives.\n\nDue to the scarcity and expense of helium, the Hindenburg, like all German passenger airships, was designed to use hydrogen, which provides greater lift but is also flammable. With public faith shaken by this disaster and the rise of much faster passenger aircraft, could this spell the end of the airship era?;The German passenger airship Hindenburg was destroyed today while attempting to dock at the Lakehurst Naval Air Station in the United States. For reasons not yet determined, the airship was engulfed in flames and crashed to the ground, claiming 35 lives.\n\nDue to the scarcity and expense of helium, the Hindenburg, like all German passenger airships, was designed to use hydrogen, which provides greater lift but is also flammable. With public faith shaken by this disaster and the rise of much faster passenger aircraft, could this spell the end of the airship era?;;The German passenger airship Hindenburg was destroyed today while attempting to dock at the Lakehurst Naval Air Station in the United States. For reasons not yet determined, the airship was engulfed in flames and crashed to the ground, claiming 35 lives.\n\nDue to the scarcity and expense of helium, the Hindenburg, like all German passenger airships, was designed to use hydrogen, which provides greater lift but is also flammable. With public faith shaken by this disaster and the rise of much faster passenger aircraft, could this spell the end of the airship era?;;;;;;;;;x
EVTOPTA10000;Oh, the humanity!;Oh, the humanity!;Oh, the humanity!;;Oh, the humanity!;;;;;;;;;x
EVTNAME10001;The Pentagon is Finished;The Pentagon is Finished;The Pentagon is Finished;;The Pentagon is Finished;;;;;;;;;x
EVTOPTA10001;Running a war isn't easy.;Running a war isn't easy.;Running a war isn't easy.;;Running a war isn't easy.;;;;;;;;;x
EVTNAME10002;The Assassination of Leon Trotsky;The Assassination of Leon Trotsky;The Assassination of Leon Trotsky;;The Assassination of Leon Trotsky;;;;;;;;;x
EVTOPTA10002;He staked his life.;He staked his life.;He staked his life.;;He staked his life.;;;;;;;;;x
EVTNAME10003;Kaiser Wilhelm II;Kaiser Wilhelm II;Kaiser Wilhelm II;;Kaiser Wilhelm II;;;;;;;;;x
EVTDESC10003;Wilhelm II, the last Kaiser of the German Empire, passed away today at the age of 82. Wilhelm fled into exile in the Netherlands at the conclusion of the First World War, after abdicating the throne and vowing never to return to Germany until the monarchy had been restored.\n\nHe assumed the throne in 1888, upon the deaths of his grandfather Wilhelm I and his father Frederick III, who only reigned for 99 days. His oldest son, the former Crown Prince Wilhelm, who commanded the 5th Army during the Great War, is now the new head of the House of Hohenzollern.;Wilhelm II, the last Kaiser of the German Empire, passed away today at the age of 82. Wilhelm fled into exile in the Netherlands at the conclusion of the First World War, after abdicating the throne and vowing never to return to Germany until the monarchy had been restored.\n\nHe assumed the throne in 1888, upon the deaths of his grandfather Wilhelm I and his father Frederick III, who only reigned for 99 days. His oldest son, the former Crown Prince Wilhelm, who commanded the 5th Army during the Great War, is now the new head of the House of Hohenzollern.;Wilhelm II, the last Kaiser of the German Empire, passed away today at the age of 82. Wilhelm fled into exile in the Netherlands at the conclusion of the First World War, after abdicating the throne and vowing never to return to Germany until the monarchy had been restored.\n\nHe assumed the throne in 1888, upon the deaths of his grandfather Wilhelm I and his father Frederick III, who only reigned for 99 days. His oldest son, the former Crown Prince Wilhelm, who commanded the 5th Army during the Great War, is now the new head of the House of Hohenzollern.;;Wilhelm II, the last Kaiser of the German Empire, passed away today at the age of 82. Wilhelm fled into exile in the Netherlands at the conclusion of the First World War, after abdicating the throne and vowing never to return to Germany until the monarchy had been restored.\n\nHe assumed the throne in 1888, upon the deaths of his grandfather Wilhelm I and his father Frederick III, who only reigned for 99 days. His oldest son, the former Crown Prince Wilhelm, who commanded the 5th Army during the Great War, is now the new head of the House of Hohenzollern.;;;;;;;;;x
EVTOPTA10003;Nihil Sine Deo!;Nihil Sine Deo!;Nihil Sine Deo!;;Nihil Sine Deo!;;;;;;;;;x
EVTNAME10004;Amelia Earhart Disappears;Amelia Earhart Disappears;Amelia Earhart Disappears;;Amelia Earhart Disappears;;;;;;;;;x
