JOIN_FACTION_INTENTION;§Y$COUNTRY$§! is going to join the §Y$FACTION$§!.;§Y$COUNTRY$§! is going to join the §Y$FACTION$§!.;§Y$COUNTRY$§! is going to join the §Y$FACTION$§!.;;§Y$COUNTRY$§! is going to join the §Y$FACTION$§!.;;;;;;;;;x
LOWEST_TECH_LEVEL;Technology minimum level is §Y$LEVEL$§!.;Technology minimum level is §Y$LEVEL$§!.;Technology minimum level is §Y$LEVEL$§!.;;Technology minimum level is §Y$LEVEL$§!.;;;;;;;;;x
sino_jap_peace_region;Japanese coastal claims;Japanese coastal claims;Japanese coastal claims;;Japanese coastal claims;;;;;;;;;x
CAN_NOT_JOIN_WAR_NAP;They can not be called to our war because of a non-aggression pact with §Y$COUNTRY$§!;They can not be called to our war because of a non-aggression pact with §Y$COUNTRY$§!;They can not be called to our war because of a non-aggression pact with §Y$COUNTRY$§!;;They can not be called to our war because of a non-aggression pact with §Y$COUNTRY$§!;;;;;;;;;x
BP_TOOL_ARROW_SLIM_DASHED;Slim Dashed Arrow;Slim Dashed Arrow;Slim Dashed Arrow;;Slim Dashed Arrow;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_1_DASHED;Medium Dashed Arrow 1;Medium Dashed Arrow 1;Medium Dashed Arrow 1;;Medium Dashed Arrow 1;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_2_DASHED;Medium Dashed Arrow 2;Medium Dashed Arrow 2;Medium Dashed Arrow 2;;Medium Dashed Arrow 2;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_3_DASHED;Medium Dashed Arrow 3;Medium Dashed Arrow 3;Medium Dashed Arrow 3;;Medium Dashed Arrow 3;;;;;;;;;x
BP_TOOL_ARROW_THICK_DASHED;Thick Dashed Arrow;Thick Dashed Arrow;Thick Dashed Arrow;;Thick Dashed Arrow;;;;;;;;;x
BP_OPEN_TOOLTIP;Open/Close the battle plan editor.;Open/Close the battle plan editor.;Open/Close the battle plan editor.;;Open/Close the battle plan editor.;;;;;;;;;x
BP_TOGGLE_TOOLTIP;Show/Hide the current battle plans.;Show/Hide the current battle plans.;Show/Hide the current battle plans.;;Show/Hide the current battle plans.;;;;;;;;;x
panzer_leader;Battle Master;Battle Master;Battle Master;;Battle Master;;;;;;;;;x
BUILD_CA_BONUS_VALUE;Combined arms bonus for combat;Combined arms bonus for combat;Combined arms bonus for combat;;Combined arms bonus for combat;;;;;;;;;x
ENDGAMEBUTTON_winter_war_FIN_LOSS;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_winter_war_FIN_WIN;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_winter_war_SOV_LOSS;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_winter_war_SOV_WIN;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_SCW_SPR_LOSS;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_SCW_SPR_WIN;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_SCW_SPA_LOSS;Ok;Ok;Ok;;Ok;;;;;;;;;x
ENDGAMEBUTTON_SCW_SPA_WIN;Ok;Ok;Ok;;Ok;;;;;;;;;x
LEND_LEASE_DESC;Request industrial aid;Request industrial aid;Request industrial aid;;Request industrial aid;;;;;;;;;x
LEND_LEASE_CANCEL_DESC;Cancel any lend-lease aid;Cancel any lend-lease aid;Cancel any lend-lease aid;;Cancel any lend-lease aid;;;;;;;;;x
ACT_LENDLEASE_ONLY_AT_WAR;We need to be at war to request lend-lease;We need to be at war to request lend-lease;We need to be at war to request lend-lease;;We need to be at war to request lend-lease;;;;;;;;;x
ACT_LENDLEASE_NEUTRALITY;Their neutrality must be less then §Y$LIMIT$§!, it is currently §Y$VAL$§!;Their neutrality must be less then §Y$LIMIT$§!, it is currently §Y$VAL$§!;Their neutrality must be less then §Y$LIMIT$§!, it is currently §Y$VAL$§!;;Their neutrality must be less then §Y$LIMIT$§!, it is currently §Y$VAL$§!;;;;;;;;;x
LEND_LEASE_DESCRIPTION;Request that they help us by sharing some of their industrial capacity;Request that they help us by sharing some of their industrial capacity;Request that they help us by sharing some of their industrial capacity;;Request that they help us by sharing some of their industrial capacity;;;;;;;;;x
LEND_LEASE_BREAK_DESCRIPTION;Cancel lend-lease;Cancel lend-lease;Cancel lend-lease;;Cancel lend-lease;;;;;;;;;x
ASK_LEND_LEASE_DESC;§Y$ACTOR$§! is requesting lend-lease support from us.\n This will let us share some of our industrial capacity with them.;§Y$ACTOR$§! is requesting lend-lease support from us.\n This will let us share some of our industrial capacity with them.;§Y$ACTOR$§! is requesting lend-lease support from us.\n This will let us share some of our industrial capacity with them.;;§Y$ACTOR$§! is requesting lend-lease support from us.\n This will let us share some of our industrial capacity with them.;;;;;;;;;x
LEND_LEASE_RECEIVED_VALUE;Received by Lend-Lease: §G$VAL$§!;Received by Lend-Lease: §G$VAL$§!;Received by Lend-Lease: §G$VAL$§!;;Received by Lend-Lease: §G$VAL$§!;;;;;;;;;x
