ID;TitleKey;Title;Tag
1;---;DH_EVENT_2058500_TITLE;ALB
2;DH_EVENT_2058501_TITLE;Greece proclaimed the annexation of Northern Epirus;ALB
3;DH_EVENT_2020500_TITLE;The Fall of Serbia;BUL
4;DH_EVENT_2020501_TITLE;Central Power's proposal;BUL
6;RUSE4;Troops Head Home;---
11;DH_EVENT_2001505_TITLE;A foot on Cape Helles;ENG
12;DH_EVENT_2001506_TITLE;Seize Thessaloniki?;ENG
13;DH_EVENT_2001507_TITLE;The Dardanelles' operation has failed;ENG
14;DH_EVENT_2001508_TITLE;Letters with Hussein bin Ali;ENG
15;DH_EVENT_2001509_TITLE;Promises for a great Arab Empire;ENG
16;DH_EVENT_2001510_TITLE;Send T.E. Lawrence;ENG
17;DH_EVENT_2001511_TITLE;Send assistance to Hedjaz;ENG
18;DH_EVENT_2001512_TITLE;Renewed assistance to Hedjaz;ENG
41;DH_EVENT_2001535_TITLE;British Intelligence intercept The Zimmermann telegram.;ENG
42;DH_EVENT_2001536_TITLE;Align Portugal;ENG
43;DH_EVENT_2001537_TITLE;The British government invites us to participate in the war;POR
44;DH_EVENT_2001538_TITLE;Declare War Against Germany;BRA
50;DH_EVENT_2001544_TITLE;The Entente offered a white peace to Central Powers;SER
51;DH_EVENT_2001545_TITLE;The Entente offered a white peace to Central Powers;MTN
53;DH_EVENT_2001547_TITLE;Serbia surrendered to us!;AUH
54;DH_EVENT_2001548_TITLE;Montenegro surrendered to us!;AUH
55;DH_EVENT_2001549_TITLE;The Entente offered a white peace to Central Powers;HJZ
56;DH_EVENT_2001550_TITLE;Hedjaz surrendered to us!;TUR
57;DH_EVENT_2001551_TITLE;The Entente offered a white peace to Central Powers;ENG
84;DH_EVENT_2002507_TITLE;Ottoman Empire has fallen;FRA
85;DH_EVENT_2002508_TITLE;Negotiate with Greece;FRA
86;DH_EVENT_2002509_TITLE;Treaty of London signed!;FRA
88;DH_EVENT_2002511_TITLE;The Gounalis plan;FRA
89;DH_EVENT_2002512_TITLE;The Gounalis plan;FRA
90;DH_EVENT_2002513_TITLE;Ask Greece for demobilization;FRA
91;DH_EVENT_2002514_TITLE;Greece demobilizes!;FRA
92;DH_EVENT_2002516_TITLE;Venizelos leaves Greek government;FRA
93;DH_EVENT_2002517_TITLE;Venizelos is back;FRA
94;DH_EVENT_2002518_TITLE;Serbian army evacuate through Albania!;FRA
96;DH_EVENT_2002520_TITLE;Greece grants Bulgaria military access;FRA
97;DH_EVENT_2002521_TITLE;Athens on fire!;FRA
98;DH_EVENT_2002522_TITLE;Renewed call for demobilization;FRA
99;DH_EVENT_2002523_TITLE;Greece accepts our demands;FRA
100;DH_EVENT_2002524_TITLE;The 'Vêpres Grecques';FRA
101;DH_EVENT_2002533_TITLE;Ultimatum to Greece;FRA
121;DH_EVENT_2002549_TITLE;Pacifist Jaurès Assassination;FRA
122;DH_EVENT_2002550_TITLE;Dissolve Viviani Administration;FRA
123;DH_EVENT_2002551_TITLE;Russians denounce Janin's behavior;FRA
124;DH_EVENT_2002554_TITLE;Appoint Foch as Supreme Allied Commander;FRA
125;DH_EVENT_2002555_TITLE;Appoint Clemenceau as Prime Minister;FRA
138;DH_EVENT_2019501_TITLE;Austria-Hungary declares war on Serbia!;GRE
139;DH_EVENT_2019502_TITLE;Austria-Hungary declares war on Serbia!;GRE
140;DH_EVENT_2019503_TITLE;Bulgaria joins the Central Powers!;GRE
141;DH_EVENT_2019504_TITLE;Negotiation with the Entente;GRE
142;DH_EVENT_2019505_TITLE;Negotiation with the Entente;GRE
143;DH_EVENT_2019506_TITLE;King Konstantinos is sick!;GRE
144;DH_EVENT_2019507_TITLE;King Konstantinos is back at its office;GRE
145;DH_EVENT_2019508_TITLE;Greece and the Dardanelles;GRE
146;DH_EVENT_2019509_TITLE;The Gounaris plan;GRE
147;DH_EVENT_2019510_TITLE;Legislative elections, 1915;GRE
148;DH_EVENT_2019511_TITLE;Bulgaria joins the Central Powers!;GRE
149;DH_EVENT_2019512_TITLE;The Entente seizes Thessaloniki;GRE
150;DH_EVENT_2019513_TITLE;The Entente asks for demobilization;GRE
151;DH_EVENT_2019514_TITLE;Anticipated Elections;GRE
152;DH_EVENT_2019515_TITLE;Serb refugees land on Corfu;GRE
153;DH_EVENT_2019517_TITLE;Grant Bulgaria military access?;GRE
154;DH_EVENT_2019518_TITLE;The Royal residence burns!;GRE
155;DH_EVENT_2019519_TITLE;The Thessaloniki government;GRE
156;DH_EVENT_2019520_TITLE;The Entente asks again for demobilization;GRE
157;DH_EVENT_2019521_TITLE;The 'Vêpres Grecques';GRE
158;DH_EVENT_2019522_TITLE;Last warning from the Entente;GRE
176;DH_EVENT_2006516_TITLE;Appoint Diaz as new Chief of Staff;ITA
177;DH_EVENT_2011500_TITLE;Ultimatum on Germany;JAP
178;DH_EVENT_2011501_TITLE;Germany did not answer;JAP
179;DH_EVENT_2011502_TITLE;Germany accepts our conditions;JAP
180;DH_EVENT_2011503_TITLE;Offer peace to Germany;JAP
181;DH_EVENT_2011504_TITLE;Japan offers a white peace;GER
182;DH_EVENT_2011505_TITLE;Germany accepted our proposal;JAP
183;DH_EVENT_2038500_TITLE;The Zimmermann telegram received by Mexico;MEX
184;DH_EVENT_2038501_TITLE;The United States declare war on Germany;MEX
185;DH_EVENT_2038502_TITLE;War against the United States;MEX
186;DH_EVENT_2038503_TITLE;United States ask for full transit;MEX
187;DH_EVENT_2038504_TITLE;The Zimmermann telegram received by Mexico;MXR
188;DH_EVENT_2038505_TITLE;The United States declare war on Germany;MXR
189;DH_EVENT_2038506_TITLE;United States ask for full transit;MXR
190;DH_EVENT_2038601_TITLE;Huerta has been defeated!;MXR
191;DH_EVENT_2038602_TITLE;Huerta has been defeated!;MXR
192;DH_EVENT_2038603_TITLE;Huerta is victorious!;MEX
193;DH_EVENT_2038604_TITLE;Convention of Aguascalientes;MXR
194;DH_EVENT_2038605_TITLE;Convention of Aguascalientes;MXR
195;DH_EVENT_2038606_TITLE;Convention of Aguascalientes;MXR
196;DH_EVENT_2038607_TITLE;Villistas submit to us;MXR
197;DH_EVENT_2038608_TITLE;Zapatistas submit to us;MXR
198;DH_EVENT_2038609_TITLE;Constitucionalistas win the Mexican Revolution;MXR
199;DH_EVENT_2038610_TITLE;Carranza leads Mexico!;MEX
200;DH_EVENT_2038611_TITLE;Villistas win the Mexican Revolution;MXR
201;DH_EVENT_2038612_TITLE;Villa leads Mexico!;MEX
202;DH_EVENT_2038613_TITLE;Zapatistas win the Mexican Revolution;MXR
203;DH_EVENT_2038614_TITLE;Zapata leads Mexico!;MEX
204;DH_EVENT_2038615_TITLE;Villistas and Zapatistas win the Mexican Revolution;MXR
205;DH_EVENT_2038616_TITLE;Zapatistas and Villistas win the Mexican Revolution;MXR
206;DH_EVENT_2038617_TITLE;General González suggests a plan for the assassination of Zapata;MXR
207;DH_EVENT_2038618_TITLE;The tragedy! Zapata has been assassinated!;MXR
208;DH_EVENT_2038619_TITLE;The Zapatistas submits to us!;MXR
209;DH_EVENT_2038620_TITLE;Plan of Agua Prieta;MEX
210;DH_EVENT_2038621_TITLE;The end of the Mexican Revolution?;MXR
211;DH_EVENT_2038622_TITLE;The end of the Mexican Revolution?;MXR
215;DH_EVENT_2191560_TITLE;Baghdad Railway;GER
216;DH_EVENT_2191561_TITLE;Oil from Mosul;GER
217;DH_EVENT_2191566_TITLE;Oil in Mosul;TUR
218;DH_EVENT_2191562_TITLE;Baghdad Railway: Karapinar-Dorak;GER
219;DH_EVENT_2191563_TITLE;Section completed;GER
220;DH_EVENT_2191564_TITLE;Baghdad Railway: Tall Abyad - Rasulain;GER
221;DH_EVENT_2191565_TITLE;Section completed;GER
222;DH_EVENT_2191567_TITLE;Baghdad Railway: Nusaybin - Tall Kutschak;GER
223;DH_EVENT_2191568_TITLE;Section completed;GER
224;DH_EVENT_2191569_TITLE;Baghdad Railway: Tall Kutschak – Samarra;GER
225;DH_EVENT_2191570_TITLE;Section completed;GER
226;DH_EVENT_2191571_TITLE;Baghdad Railway: Rasulain - Nusaybin;GER
227;DH_EVENT_2191572_TITLE;Section completed;GER
250;DH_EVENT_2191580_TITLE;Extend military mission in the Ottoman Empire;GER
251;DH_EVENT_2145525_TITLE;Germany extends its military support;TUR
252;DH_EVENT_2191581_TITLE;Prepare the Asienkorps;GER
253;DH_EVENT_2145526_TITLE;The Asienkorps has arrived;TUR
254;DH_EVENT_2145527_TITLE;The British naval mission leaves the country;TUR
